Probability,CI_95,CI_5,Posterior_Predictive,Posterior_Mode,Analysis
1.00E-06,94117.89462,36100.48571,72859.19321,57706.73633,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
2.00E-06,84041.7422,34325.15145,65098.96549,53223.90461,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
5.00E-06,72195.87887,32001.71556,56132.25919,47680.99596,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
1.00E-05,64409.49283,30221.93499,50196.17832,43762.46177,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
2.00E-05,57374.50885,28496.62343,44892.9669,40067.73299,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
5.00E-05,49016.00989,26192.57652,38722.72055,35508.39432,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.0001,43336.65164,24489.94256,34605.30744,32291.48315,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.0002,38225.26523,22757.80014,30897.82324,29263.11042,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.0005,32211.96297,20571.50948,26540.27545,25532.18109,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.001,28212.62338,18908.6728,23594.09988,22903.23745,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.002,24604.57881,17254.89747,20905.46856,20430.0365,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.005,20375.31013,15086.71053,17681.89654,17382.72842,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.01,17525.21714,13442.23559,15451.8293,15232.06373,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.02,14952.02126,11828.48959,13368.75375,13201.68597,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.05,11950.56824,9677.522362,10794.81175,10678.22295,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.1,9846.598934,8070.953773,8947.216411,8865.575683,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
0.2,7843.983492,6474.316557,7143.346393,7099.201385,0a - CGR_3day_winter_paleo_best_RRFT_noPISBest_Ext
