Ord,Date,Time,Flow,Hydro
1,12/15/1964,0:00,3152,Dec-1964
2,12/15/1964,0:15,3149,Dec-1964
3,12/15/1964,0:30,3145,Dec-1964
4,12/15/1964,0:45,3142,Dec-1964
5,12/15/1964,1:00,3138,Dec-1964
6,12/15/1964,1:15,3135,Dec-1964
7,12/15/1964,1:30,3131,Dec-1964
8,12/15/1964,1:45,3128,Dec-1964
9,12/15/1964,2:00,3124,Dec-1964
10,12/15/1964,2:15,3121,Dec-1964
11,12/15/1964,2:30,3118,Dec-1964
12,12/15/1964,2:45,3114,Dec-1964
13,12/15/1964,3:00,3111,Dec-1964
14,12/15/1964,3:15,3107,Dec-1964
15,12/15/1964,3:30,3104,Dec-1964
16,12/15/1964,3:45,3101,Dec-1964
17,12/15/1964,4:00,3098,Dec-1964
18,12/15/1964,4:15,3095,Dec-1964
19,12/15/1964,4:30,3093,Dec-1964
20,12/15/1964,4:45,3092,Dec-1964
21,12/15/1964,5:00,3092,Dec-1964
22,12/15/1964,5:15,3093,Dec-1964
23,12/15/1964,5:30,3096,Dec-1964
24,12/15/1964,5:45,3100,Dec-1964
25,12/15/1964,6:00,3106,Dec-1964
26,12/15/1964,6:15,3114,Dec-1964
27,12/15/1964,6:30,3124,Dec-1964
28,12/15/1964,6:45,3137,Dec-1964
29,12/15/1964,7:00,3152,Dec-1964
30,12/15/1964,7:15,3170,Dec-1964
31,12/15/1964,7:30,3189,Dec-1964
32,12/15/1964,7:45,3211,Dec-1964
33,12/15/1964,8:00,3235,Dec-1964
34,12/15/1964,8:15,3261,Dec-1964
35,12/15/1964,8:30,3286,Dec-1964
36,12/15/1964,8:45,3310,Dec-1964
37,12/15/1964,9:00,3333,Dec-1964
38,12/15/1964,9:15,3353,Dec-1964
39,12/15/1964,9:30,3369,Dec-1964
40,12/15/1964,9:45,3383,Dec-1964
41,12/15/1964,10:00,3395,Dec-1964
42,12/15/1964,10:15,3404,Dec-1964
43,12/15/1964,10:30,3412,Dec-1964
44,12/15/1964,10:45,3420,Dec-1964
45,12/15/1964,11:00,3428,Dec-1964
46,12/15/1964,11:15,3438,Dec-1964
47,12/15/1964,11:30,3450,Dec-1964
48,12/15/1964,11:45,3465,Dec-1964
49,12/15/1964,12:00,3483,Dec-1964
50,12/15/1964,12:15,3507,Dec-1964
51,12/15/1964,12:30,3546,Dec-1964
52,12/15/1964,12:45,3605,Dec-1964
53,12/15/1964,13:00,3692,Dec-1964
54,12/15/1964,13:15,3812,Dec-1964
55,12/15/1964,13:30,3972,Dec-1964
56,12/15/1964,13:45,4177,Dec-1964
57,12/15/1964,14:00,4431,Dec-1964
58,12/15/1964,14:15,4725,Dec-1964
59,12/15/1964,14:30,5047,Dec-1964
60,12/15/1964,14:45,5383,Dec-1964
61,12/15/1964,15:00,5726,Dec-1964
62,12/15/1964,15:15,6063,Dec-1964
63,12/15/1964,15:30,6385,Dec-1964
64,12/15/1964,15:45,6686,Dec-1964
65,12/15/1964,16:00,6964,Dec-1964
66,12/15/1964,16:15,7218,Dec-1964
67,12/15/1964,16:30,7446,Dec-1964
68,12/15/1964,16:45,7648,Dec-1964
69,12/15/1964,17:00,7827,Dec-1964
70,12/15/1964,17:15,7989,Dec-1964
71,12/15/1964,17:30,8139,Dec-1964
72,12/15/1964,17:45,8278,Dec-1964
73,12/15/1964,18:00,8404,Dec-1964
74,12/15/1964,18:15,8517,Dec-1964
75,12/15/1964,18:30,8617,Dec-1964
76,12/15/1964,18:45,8700,Dec-1964
77,12/15/1964,19:00,8767,Dec-1964
78,12/15/1964,19:15,8816,Dec-1964
79,12/15/1964,19:30,8847,Dec-1964
80,12/15/1964,19:45,8862,Dec-1964
81,12/15/1964,20:00,8863,Dec-1964
82,12/15/1964,20:15,8850,Dec-1964
83,12/15/1964,20:30,8825,Dec-1964
84,12/15/1964,20:45,8791,Dec-1964
85,12/15/1964,21:00,8750,Dec-1964
