Date,Time,Inflow,Storage,Elevation,Outflow,Hydro
1/1/3000,0:00,5134,42896.9,1517.4,5134,Dec-1964
1/1/3000,0:15,5111,42896.6,1517.4,5133.7,Dec-1964
1/1/3000,0:30,5088.1,42895.9,1517.4,5132.8,Dec-1964
1/1/3000,0:45,5065.4,42894.8,1517.4,5131.2,Dec-1964
1/1/3000,1:00,5042.7,42893.2,1517.4,5129.1,Dec-1964
1/1/3000,1:15,5020.1,42891.2,1517.4,5126.5,Dec-1964
1/1/3000,1:30,4997.6,42888.8,1517.4,5123.3,Dec-64
1/1/3000,1:45,4975.3,42886.1,1517.3,5119.5,Dec-64
1/1/3000,2:00,4953,42882.9,1517.3,5115.3,Dec-64
1/1/3000,2:15,4930.8,42879.4,1517.3,5110.6,Dec-64
1/1/3000,2:30,4908.7,42875.5,1517.3,5105.4,Dec-64
1/1/3000,2:45,4886.8,42871.2,1517.3,5099.7,Dec-64
1/1/3000,3:00,4864.9,42866.7,1517.2,5093.6,Dec-64
1/1/3000,3:15,4843.1,42861.8,1517.2,5087.1,Dec-64
1/1/3000,3:30,4821.4,42856.6,1517.2,5080.1,Dec-64
1/1/3000,3:45,4799.9,42851.1,1517.2,5072.8,Dec-64
1/1/3000,4:00,4778.4,42845.3,1517.1,5065,Dec-64
1/1/3000,4:15,4757,42839.3,1517.1,5056.9,Dec-64
1/1/3000,4:30,4735.7,42832.9,1517.1,5048.4,Dec-64
1/1/3000,4:45,4714.5,42826.3,1517,5039.6,Dec-64
1/1/3000,5:00,4693.4,42819.5,1517,5030.5,Dec-64
1/1/3000,5:15,4672.4,42812.4,1517,5021,Dec-64
1/1/3000,5:30,4651.5,42805.1,1516.9,5011.2,Dec-64
1/1/3000,5:45,4630.7,42797.6,1516.9,5001.1,Dec-64
1/1/3000,6:00,4610,42789.8,1516.9,4990.7,Dec-64
1/1/3000,6:15,4589.4,42781.8,1516.8,4980.1,Dec-64
1/1/3000,6:30,4568.8,42773.7,1516.8,4969.1,Dec-64
1/1/3000,6:45,4548.4,42765.3,1516.7,4957.9,Dec-64
1/1/3000,7:00,4528.1,42756.7,1516.7,4946.5,Dec-64
1/1/3000,7:15,4507.9,42748,1516.7,4934.8,Dec-64
1/1/3000,7:30,4488.2,42739.1,1516.6,4922.9,Dec-64
1/1/3000,7:45,4470.4,42730.1,1516.6,4910.8,Dec-64
1/1/3000,8:00,4455.9,42720.9,1516.5,4898.6,Dec-64
1/1/3000,8:15,4445.7,42711.8,1516.5,4886.4,Dec-64
1/1/3000,8:30,4442.2,42702.8,1516.4,4874.3,Dec-64
1/1/3000,8:45,4449.1,42694.1,1516.4,4862.6,Dec-64
1/1/3000,9:00,4469.2,42685.8,1516.3,4851.6,Dec-64
1/1/3000,9:15,4505.2,42678.4,1516.3,4841.7,Dec-64
1/1/3000,9:30,4559.8,42672.1,1516.3,4833.3,Dec-64
1/1/3000,9:45,4633.9,42667.3,1516.3,4826.8,Dec-64
1/1/3000,10:00,4726.9,42664.3,1516.2,4822.8,Dec-64
1/1/3000,10:15,4836.8,42663.5,1516.2,4821.7,Dec-64
1/1/3000,10:30,4959.7,42665,1516.2,4823.8,Dec-64
1/1/3000,10:45,5090.6,42669.1,1516.3,4829.3,Dec-64
1/1/3000,11:00,5225.5,42675.8,1516.3,4838.2,Dec-64
1/1/3000,11:15,5362.3,42685.1,1516.3,4850.7,Dec-64
1/1/3000,11:30,5498.7,42696.9,1516.4,4866.5,Dec-64
1/1/3000,11:45,5633.7,42711.2,1516.5,4885.6,Dec-64
1/1/3000,12:00,5767.3,42727.8,1516.6,4907.8,Dec-64
1/1/3000,12:15,5900,42746.7,1516.6,4933,Dec-64
1/1/3000,12:30,6032.8,42767.7,1516.8,4961.2,Dec-64
1/1/3000,12:45,6166.4,42790.9,1516.9,4992.3,Dec-64
1/1/3000,13:00,6300.3,42816.2,1517,5026.1,Dec-64
1/1/3000,13:15,6432.5,42843.6,1517.1,5062.6,Dec-64
1/1/3000,13:30,6560.8,42872.8,1517.3,5101.7,Dec-64
1/1/3000,13:45,6683.8,42903.8,1517.4,5143.2,Dec-64
1/1/3000,14:00,6800.1,42936.3,1517.6,5186.8,Dec-64
1/1/3000,14:15,6907.4,42970.3,1517.8,5232.3,Dec-64
1/1/3000,14:30,7002.5,43005.4,1517.9,5279.2,Dec-64
1/1/3000,14:45,7083.8,43041.4,1518.1,5327.3,Dec-64
1/1/3000,15:00,7150.9,43077.8,1518.3,5376.1,Dec-64
1/1/3000,15:15,7204.2,43114.6,1518.5,5425.3,Dec-64
1/1/3000,15:30,7245.7,43151.2,1518.7,5474.3,Dec-64
1/1/3000,15:45,7278.6,43187.7,1518.8,5523.1,Dec-64
1/1/3000,16:00,7305.7,43223.7,1519,5571.3,Dec-64
1/1/3000,16:15,7331.8,43259.3,1519.2,5619,Dec-64
1/1/3000,16:30,7362.3,43294.6,1519.4,5666.1,Dec-64
1/1/3000,16:45,7400.9,43329.5,1519.6,5712.9,Dec-64
1/1/3000,17:00,7449.2,43364.4,1519.7,5759.6,Dec-64
1/1/3000,17:15,7507.6,43399.4,1519.9,5806.4,Dec-64
1/1/3000,17:30,7575.3,43434.8,1520.1,5853.8,Dec-64
