Ord,Date,Time,Flow,Hydro
1,1/2/2002,0:00,3152,Jan-1996
2,1/2/2002,0:15,3149,Jan-1996
3,1/2/2002,0:30,3145,Jan-1996
4,1/2/2002,0:45,3142,Jan-1996
5,1/2/2002,1:00,3139,Jan-1996
6,1/2/2002,1:15,3136,Jan-1996
7,1/2/2002,1:30,3133,Jan-1996
8,1/2/2002,1:45,3131,Jan-1996
9,1/2/2002,2:00,3129,Jan-1996
10,1/2/2002,2:15,3129,Jan-1996
11,1/2/2002,2:30,3129,Jan-1996
12,1/2/2002,2:45,3130,Jan-1996
13,1/2/2002,3:00,3133,Jan-1996
14,1/2/2002,3:15,3136,Jan-1996
15,1/2/2002,3:30,3141,Jan-1996
16,1/2/2002,3:45,3147,Jan-1996
17,1/2/2002,4:00,3156,Jan-1996
18,1/2/2002,4:15,3166,Jan-1996
19,1/2/2002,4:30,3177,Jan-1996
20,1/2/2002,4:45,3189,Jan-1996
21,1/2/2002,5:00,3202,Jan-1996
22,1/2/2002,5:15,3216,Jan-1996
23,1/2/2002,5:30,3230,Jan-1996
24,1/2/2002,5:45,3244,Jan-1996
25,1/2/2002,6:00,3258,Jan-1996
26,1/2/2002,6:15,3273,Jan-1996
27,1/2/2002,6:30,3292,Jan-1996
28,1/2/2002,6:45,3316,Jan-1996
29,1/2/2002,7:00,3348,Jan-1996
30,1/2/2002,7:15,3391,Jan-1996
31,1/2/2002,7:30,3447,Jan-1996
32,1/2/2002,7:45,3518,Jan-1996
33,1/2/2002,8:00,3605,Jan-1996
34,1/2/2002,8:15,3709,Jan-1996
35,1/2/2002,8:30,3832,Jan-1996
36,1/2/2002,8:45,3975,Jan-1996
37,1/2/2002,9:00,4138,Jan-1996
38,1/2/2002,9:15,4320,Jan-1996
39,1/2/2002,9:30,4522,Jan-1996
40,1/2/2002,9:45,4743,Jan-1996
41,1/2/2002,10:00,4980,Jan-1996
42,1/2/2002,10:15,5235,Jan-1996
43,1/2/2002,10:30,5507,Jan-1996
44,1/2/2002,10:45,5793,Jan-1996
45,1/2/2002,11:00,6093,Jan-1996
46,1/2/2002,11:15,6406,Jan-1996
47,1/2/2002,11:30,6731,Jan-1996
48,1/2/2002,11:45,7065,Jan-1996
49,1/2/2002,12:00,7406,Jan-1996
50,1/2/2002,12:15,7751,Jan-1996
51,1/2/2002,12:30,8096,Jan-1996
52,1/2/2002,12:45,8436,Jan-1996
53,1/2/2002,13:00,8768,Jan-1996
54,1/2/2002,13:15,9089,Jan-1996
55,1/2/2002,13:30,9402,Jan-1996
56,1/2/2002,13:45,9708,Jan-1996
57,1/2/2002,14:00,10008,Jan-1996
58,1/2/2002,14:15,10301,Jan-1996
59,1/2/2002,14:30,10585,Jan-1996
60,1/2/2002,14:45,10857,Jan-1996
61,1/2/2002,15:00,11115,Jan-1996
62,1/2/2002,15:15,11359,Jan-1996
63,1/2/2002,15:30,11587,Jan-1996
64,1/2/2002,15:45,11798,Jan-1996
65,1/2/2002,16:00,11991,Jan-1996
66,1/2/2002,16:15,12165,Jan-1996
67,1/2/2002,16:30,12318,Jan-1996
68,1/2/2002,16:45,12450,Jan-1996
69,1/2/2002,17:00,12562,Jan-1996
70,1/2/2002,17:15,12658,Jan-1996
71,1/2/2002,17:30,12740,Jan-1996
72,1/2/2002,17:45,12808,Jan-1996
73,1/2/2002,18:00,12862,Jan-1996
74,1/2/2002,18:15,12903,Jan-1996
75,1/2/2002,18:30,12934,Jan-1996
76,1/2/2002,18:45,12958,Jan-1996
77,1/2/2002,19:00,12978,Jan-1996
78,1/2/2002,19:15,12996,Jan-1996
79,1/2/2002,19:30,13014,Jan-1996
80,1/2/2002,19:45,13033,Jan-1996
81,1/2/2002,20:00,13052,Jan-1996
82,1/2/2002,20:15,13071,Jan-1996
83,1/2/2002,20:30,13091,Jan-1996
84,1/2/2002,20:45,13111,Jan-1996
85,1/2/2002,21:00,13133,Jan-1996
86,1/2/2002,21:15,13158,Jan-1996
87,1/2/2002,21:30,13186,Jan-1996
88,1/2/2002,21:45,13214,Jan-1996
89,1/2/2002,22:00,13243,Jan-1996
90,1/2/2002,22:15,13273,Jan-1996
91,1/2/2002,22:30,13307,Jan-1996
92,1/2/2002,22:45,13348,Jan-1996
93,1/2/2002,23:00,13395,Jan-1996
94,1/2/2002,23:15,13451,Jan-1996
95,1/2/2002,23:30,13515,Jan-1996
96,1/2/2002,23:45,13589,Jan-1996
97,1/3/2002,0:00,13673,Jan-1996
98,1/3/2002,0:15,13767,Jan-1996
99,1/3/2002,0:30,13873,Jan-1996
100,1/3/2002,0:45,13989,Jan-1996
101,1/3/2002,1:00,14117,Jan-1996
102,1/3/2002,1:15,14254,Jan-1996
103,1/3/2002,1:30,14401,Jan-1996
104,1/3/2002,1:45,14559,Jan-1996
105,1/3/2002,2:00,14729,Jan-1996
106,1/3/2002,2:15,14911,Jan-1996
107,1/3/2002,2:30,15108,Jan-1996
108,1/3/2002,2:45,15320,Jan-1996
109,1/3/2002,3:00,15547,Jan-1996
110,1/3/2002,3:15,15792,Jan-1996
111,1/3/2002,3:30,16063,Jan-1996
112,1/3/2002,3:45,16367,Jan-1996
113,1/3/2002,4:00,16706,Jan-1996
114,1/3/2002,4:15,17077,Jan-1996
115,1/3/2002,4:30,17473,Jan-1996
116,1/3/2002,4:45,17887,Jan-1996
117,1/3/2002,5:00,18314,Jan-1996
118,1/3/2002,5:15,18748,Jan-1996
119,1/3/2002,5:30,19189,Jan-1996
120,1/3/2002,5:45,19635,Jan-1996
121,1/3/2002,6:00,20086,Jan-1996
122,1/3/2002,6:15,20536,Jan-1996
123,1/3/2002,6:30,20980,Jan-1996
124,1/3/2002,6:45,21415,Jan-1996
125,1/3/2002,7:00,21840,Jan-1996
126,1/3/2002,7:15,22255,Jan-1996
127,1/3/2002,7:30,22653,Jan-1996
128,1/3/2002,7:45,23029,Jan-1996
129,1/3/2002,8:00,23376,Jan-1996
130,1/3/2002,8:15,23709,Jan-1996
131,1/3/2002,8:30,24058,Jan-1996
132,1/3/2002,8:45,24449,Jan-1996
133,1/3/2002,9:00,24900,Jan-1996
134,1/3/2002,9:15,25413,Jan-1996
135,1/3/2002,9:30,25977,Jan-1996
136,1/3/2002,9:45,26583,Jan-1996
137,1/3/2002,10:00,27218,Jan-1996
138,1/3/2002,10:15,27862,Jan-1996
139,1/3/2002,10:30,28494,Jan-1996
140,1/3/2002,10:45,29095,Jan-1996
141,1/3/2002,11:00,29650,Jan-1996
142,1/3/2002,11:15,30151,Jan-1996
143,1/3/2002,11:30,30592,Jan-1996
144,1/3/2002,11:45,30976,Jan-1996
145,1/3/2002,12:00,31316,Jan-1996
146,1/3/2002,12:15,31627,Jan-1996
147,1/3/2002,12:30,31923,Jan-1996
148,1/3/2002,12:45,32209,Jan-1996
149,1/3/2002,13:00,32486,Jan-1996
150,1/3/2002,13:15,32755,Jan-1996
151,1/3/2002,13:30,33022,Jan-1996
152,1/3/2002,13:45,33287,Jan-1996
153,1/3/2002,14:00,33551,Jan-1996
154,1/3/2002,14:15,33812,Jan-1996
155,1/3/2002,14:30,34070,Jan-1996
156,1/3/2002,14:45,34323,Jan-1996
157,1/3/2002,15:00,34571,Jan-1996
158,1/3/2002,15:15,34808,Jan-1996
159,1/3/2002,15:30,35032,Jan-1996
160,1/3/2002,15:45,35247,Jan-1996
161,1/3/2002,16:00,35457,Jan-1996
162,1/3/2002,16:15,35664,Jan-1996
163,1/3/2002,16:30,35865,Jan-1996
164,1/3/2002,16:45,36057,Jan-1996
165,1/3/2002,17:00,36238,Jan-1996
166,1/3/2002,17:15,36409,Jan-1996
167,1/3/2002,17:30,36571,Jan-1996
168,1/3/2002,17:45,36724,Jan-1996
169,1/3/2002,18:00,36870,Jan-1996
170,1/3/2002,18:15,37008,Jan-1996
171,1/3/2002,18:30,37139,Jan-1996
172,1/3/2002,18:45,37262,Jan-1996
173,1/3/2002,19:00,37380,Jan-1996
174,1/3/2002,19:15,37491,Jan-1996
175,1/3/2002,19:30,37593,Jan-1996
176,1/3/2002,19:45,37679,Jan-1996
177,1/3/2002,20:00,37747,Jan-1996
178,1/3/2002,20:15,37794,Jan-1996
179,1/3/2002,20:30,37821,Jan-1996
180,1/3/2002,20:45,37830,Jan-1996
181,1/3/2002,21:00,37825,Jan-1996
182,1/3/2002,21:15,37807,Jan-1996
183,1/3/2002,21:30,37779,Jan-1996
184,1/3/2002,21:45,37742,Jan-1996
185,1/3/2002,22:00,37697,Jan-1996
186,1/3/2002,22:15,37645,Jan-1996
187,1/3/2002,22:30,37587,Jan-1996
188,1/3/2002,22:45,37521,Jan-1996
189,1/3/2002,23:00,37446,Jan-1996
190,1/3/2002,23:15,37360,Jan-1996
191,1/3/2002,23:30,37260,Jan-1996
192,1/3/2002,23:45,37144,Jan-1996
193,1/4/2002,0:00,37013,Jan-1996
194,1/4/2002,0:15,36868,Jan-1996
195,1/4/2002,0:30,36710,Jan-1996
196,1/4/2002,0:45,36541,Jan-1996
197,1/4/2002,1:00,36362,Jan-1996
198,1/4/2002,1:15,36175,Jan-1996
199,1/4/2002,1:30,35984,Jan-1996
200,1/4/2002,1:45,35790,Jan-1996
201,1/4/2002,2:00,35595,Jan-1996
202,1/4/2002,2:15,35400,Jan-1996
203,1/4/2002,2:30,35204,Jan-1996
204,1/4/2002,2:45,35007,Jan-1996
205,1/4/2002,3:00,34808,Jan-1996
206,1/4/2002,3:15,34604,Jan-1996
207,1/4/2002,3:30,34395,Jan-1996
208,1/4/2002,3:45,34182,Jan-1996
209,1/4/2002,4:00,33964,Jan-1996
210,1/4/2002,4:15,33748,Jan-1996
211,1/4/2002,4:30,33543,Jan-1996
212,1/4/2002,4:45,33357,Jan-1996
213,1/4/2002,5:00,33196,Jan-1996
214,1/4/2002,5:15,33064,Jan-1996
215,1/4/2002,5:30,32962,Jan-1996
216,1/4/2002,5:45,32891,Jan-1996
217,1/4/2002,6:00,32851,Jan-1996
218,1/4/2002,6:15,32834,Jan-1996
219,1/4/2002,6:30,32831,Jan-1996
220,1/4/2002,6:45,32833,Jan-1996
221,1/4/2002,7:00,32835,Jan-1996
222,1/4/2002,7:15,32828,Jan-1996
223,1/4/2002,7:30,32803,Jan-1996
224,1/4/2002,7:45,32757,Jan-1996
225,1/4/2002,8:00,32689,Jan-1996
226,1/4/2002,8:15,32602,Jan-1996
227,1/4/2002,8:30,32496,Jan-1996
228,1/4/2002,8:45,32374,Jan-1996
229,1/4/2002,9:00,32238,Jan-1996
230,1/4/2002,9:15,32092,Jan-1996
231,1/4/2002,9:30,31938,Jan-1996
232,1/4/2002,9:45,31779,Jan-1996
233,1/4/2002,10:00,31614,Jan-1996
234,1/4/2002,10:15,31443,Jan-1996
235,1/4/2002,10:30,31268,Jan-1996
236,1/4/2002,10:45,31088,Jan-1996
237,1/4/2002,11:00,30901,Jan-1996
238,1/4/2002,11:15,30707,Jan-1996
239,1/4/2002,11:30,30504,Jan-1996
240,1/4/2002,11:45,30292,Jan-1996
241,1/4/2002,12:00,30073,Jan-1996
242,1/4/2002,12:15,29848,Jan-1996
243,1/4/2002,12:30,29620,Jan-1996
244,1/4/2002,12:45,29388,Jan-1996
245,1/4/2002,13:00,29156,Jan-1996
246,1/4/2002,13:15,28925,Jan-1996
247,1/4/2002,13:30,28695,Jan-1996
248,1/4/2002,13:45,28468,Jan-1996
249,1/4/2002,14:00,28243,Jan-1996
250,1/4/2002,14:15,28021,Jan-1996
251,1/4/2002,14:30,27803,Jan-1996
252,1/4/2002,14:45,27590,Jan-1996
253,1/4/2002,15:00,27382,Jan-1996
254,1/4/2002,15:15,27180,Jan-1996
255,1/4/2002,15:30,26984,Jan-1996
256,1/4/2002,15:45,26793,Jan-1996
257,1/4/2002,16:00,26609,Jan-1996
258,1/4/2002,16:15,26432,Jan-1996
259,1/4/2002,16:30,26262,Jan-1996
260,1/4/2002,16:45,26101,Jan-1996
261,1/4/2002,17:00,25948,Jan-1996
262,1/4/2002,17:15,25802,Jan-1996
263,1/4/2002,17:30,25662,Jan-1996
264,1/4/2002,17:45,25526,Jan-1996
265,1/4/2002,18:00,25395,Jan-1996
266,1/4/2002,18:15,25267,Jan-1996
267,1/4/2002,18:30,25142,Jan-1996
268,1/4/2002,18:45,25020,Jan-1996
269,1/4/2002,19:00,24900,Jan-1996
270,1/4/2002,19:15,24782,Jan-1996
271,1/4/2002,19:30,24667,Jan-1996
272,1/4/2002,19:45,24555,Jan-1996
273,1/4/2002,20:00,24448,Jan-1996
274,1/4/2002,20:15,24345,Jan-1996
275,1/4/2002,20:30,24247,Jan-1996
276,1/4/2002,20:45,24152,Jan-1996
277,1/4/2002,21:00,24060,Jan-1996
278,1/4/2002,21:15,23971,Jan-1996
279,1/4/2002,21:30,23885,Jan-1996
280,1/4/2002,21:45,23802,Jan-1996
281,1/4/2002,22:00,23724,Jan-1996
282,1/4/2002,22:15,23650,Jan-1996
283,1/4/2002,22:30,23584,Jan-1996
284,1/4/2002,22:45,23525,Jan-1996
285,1/4/2002,23:00,23475,Jan-1996
286,1/4/2002,23:15,23432,Jan-1996
287,1/4/2002,23:30,23392,Jan-1996
288,1/4/2002,23:45,23351,Jan-1996
289,1/5/2002,0:00,23307,Jan-1996
290,1/5/2002,0:15,23258,Jan-1996
291,1/5/2002,0:30,23199,Jan-1996
292,1/5/2002,0:45,23130,Jan-1996
293,1/5/2002,1:00,23048,Jan-1996
294,1/5/2002,1:15,22954,Jan-1996
295,1/5/2002,1:30,22847,Jan-1996
296,1/5/2002,1:45,22729,Jan-1996
297,1/5/2002,2:00,22601,Jan-1996
298,1/5/2002,2:15,22465,Jan-1996
299,1/5/2002,2:30,22324,Jan-1996
300,1/5/2002,2:45,22179,Jan-1996
301,1/5/2002,3:00,22031,Jan-1996
302,1/5/2002,3:15,21879,Jan-1996
303,1/5/2002,3:30,21724,Jan-1996
304,1/5/2002,3:45,21566,Jan-1996
305,1/5/2002,4:00,21405,Jan-1996
306,1/5/2002,4:15,21241,Jan-1996
307,1/5/2002,4:30,21074,Jan-1996
308,1/5/2002,4:45,20904,Jan-1996
309,1/5/2002,5:00,20732,Jan-1996
310,1/5/2002,5:15,20558,Jan-1996
311,1/5/2002,5:30,20382,Jan-1996
312,1/5/2002,5:45,20206,Jan-1996
313,1/5/2002,6:00,20030,Jan-1996
314,1/5/2002,6:15,19855,Jan-1996
315,1/5/2002,6:30,19681,Jan-1996
316,1/5/2002,6:45,19510,Jan-1996
317,1/5/2002,7:00,19341,Jan-1996
318,1/5/2002,7:15,19173,Jan-1996
319,1/5/2002,7:30,19008,Jan-1996
