Ord,Date,Elev_29
33878,1-Oct-20,1648.2
33879,2-Oct-20,1646.7
33880,3-Oct-20,1645.3
33881,4-Oct-20,1643.8
33882,5-Oct-20,1642.3
33883,6-Oct-20,1640.8
33884,7-Oct-20,1639.3
33885,8-Oct-20,1637.7
33886,9-Oct-20,1636.1
33887,10-Oct-20,1634.6
33888,11-Oct-20,1633
33889,12-Oct-20,1631.5
33890,13-Oct-20,1629.9
33891,14-Oct-20,1628.3
33892,15-Oct-20,1626.7
33893,16-Oct-20,1625.1
33894,17-Oct-20,1623.4
33895,18-Oct-20,1621.8
33896,19-Oct-20,1620.1
33897,20-Oct-20,1618.4
33898,21-Oct-20,1616.7
33899,22-Oct-20,1615.1
33900,23-Oct-20,1613.4
33901,24-Oct-20,1611.6
33902,25-Oct-20,1609.9
33903,26-Oct-20,1608.2
33904,27-Oct-20,1606.4
33905,28-Oct-20,1604.6
33906,29-Oct-20,1602.8
33907,30-Oct-20,1600.9
33908,31-Oct-20,1599.1
33909,1-Nov-20,1597.2
33910,2-Nov-20,1595.4
33911,3-Nov-20,1593.5
33912,4-Nov-20,1591.6
33913,5-Nov-20,1589.6
33914,6-Nov-20,1587.7
33915,7-Nov-20,1585.7
33916,8-Nov-20,1583.6
33917,9-Nov-20,1581.6
33918,10-Nov-20,1579.6
33919,11-Nov-20,1577.5
33920,12-Nov-20,1575.5
33921,13-Nov-20,1573.3
33922,14-Nov-20,1571.2
33923,15-Nov-20,1568.9
33924,16-Nov-20,1566.7
33925,17-Nov-20,1564.5
33926,18-Nov-20,1562.2
33927,19-Nov-20,1559.9
33928,20-Nov-20,1557.6
33929,21-Nov-20,1555.3
33930,22-Nov-20,1552.8
33931,23-Nov-20,1550.4
33932,24-Nov-20,1547.9
33933,25-Nov-20,1545.4
33934,26-Nov-20,1542.9
33935,27-Nov-20,1540.3
33936,28-Nov-20,1537.6
33937,29-Nov-20,1534.8
33938,30-Nov-20,1532
33939,1-Dec-20,1532
33940,2-Dec-20,1532
33941,3-Dec-20,1532
33942,4-Dec-20,1532
33943,5-Dec-20,1532
33944,6-Dec-20,1532
33945,7-Dec-20,1532
33946,8-Dec-20,1532
33947,9-Dec-20,1532
33948,10-Dec-20,1532
33949,11-Dec-20,1532
33950,12-Dec-20,1532
33951,13-Dec-20,1532
33952,14-Dec-20,1532
33953,15-Dec-20,1532
33954,16-Dec-20,1532
33955,17-Dec-20,1532
33956,18-Dec-20,1532
33957,19-Dec-20,1532
33958,20-Dec-20,1532
33959,21-Dec-20,1532
33960,22-Dec-20,1532
33961,23-Dec-20,1532
33962,24-Dec-20,1532
33963,25-Dec-20,1532
33964,26-Dec-20,1532
33965,27-Dec-20,1532
33966,28-Dec-20,1532
33967,29-Dec-20,1532
33968,30-Dec-20,1532
33969,31-Dec-20,1532
33970,1-Jan-21,1532
33971,2-Jan-21,1532
33972,3-Jan-21,1532
33973,4-Jan-21,1532
33974,5-Jan-21,1532
33975,6-Jan-21,1532
33976,7-Jan-21,1532
33977,8-Jan-21,1532
33978,9-Jan-21,1532
33979,10-Jan-21,1532
33980,11-Jan-21,1532
33981,12-Jan-21,1532
33982,13-Jan-21,1532
33983,14-Jan-21,1532
33984,15-Jan-21,1532
33985,16-Jan-21,1532
33986,17-Jan-21,1532
33987,18-Jan-21,1532
33988,19-Jan-21,1532
33989,20-Jan-21,1532
33990,21-Jan-21,1532
33991,22-Jan-21,1532
33992,23-Jan-21,1532
33993,24-Jan-21,1532
33994,25-Jan-21,1532
33995,26-Jan-21,1532
33996,27-Jan-21,1532
33997,28-Jan-21,1532
33998,29-Jan-21,1532
33999,30-Jan-21,1532
34000,31-Jan-21,1532
34001,1-Feb-21,1535.7
34002,2-Feb-21,1539.2
34003,3-Feb-21,1542.8
34004,4-Feb-21,1546.1
34005,5-Feb-21,1549.5
34006,6-Feb-21,1552.6
34007,7-Feb-21,1555.9
34008,8-Feb-21,1559
34009,9-Feb-21,1561.9
34010,10-Feb-21,1564.9
34011,11-Feb-21,1567.8
34012,12-Feb-21,1570.8
34013,13-Feb-21,1573.6
34014,14-Feb-21,1576.3
34015,15-Feb-21,1579
34016,16-Feb-21,1581.7
34017,17-Feb-21,1584.3
34018,18-Feb-21,1586.9
34019,19-Feb-21,1589.5
34020,20-Feb-21,1592
34021,21-Feb-21,1594.5
34022,22-Feb-21,1596.9
34023,23-Feb-21,1599.4
34024,24-Feb-21,1601.7
34025,25-Feb-21,1604.2
34026,26-Feb-21,1606.4
34027,27-Feb-21,1608.7
34028,28-Feb-21,1611
34029,1-Mar-21,1612.3
34030,2-Mar-21,1613.7
34031,3-Mar-21,1615
34032,4-Mar-21,1616.3
34033,5-Mar-21,1617.5
34034,6-Mar-21,1618.8
34035,7-Mar-21,1620.1
34036,8-Mar-21,1621.4
34037,9-Mar-21,1622.7
34038,10-Mar-21,1623.9
34039,11-Mar-21,1625.2
34040,12-Mar-21,1626.4
34041,13-Mar-21,1627.7
34042,14-Mar-21,1628.9
34043,15-Mar-21,1630.1
34044,16-Mar-21,1631.3
34045,17-Mar-21,1632.5
34046,18-Mar-21,1633.7
34047,19-Mar-21,1634.9
34048,20-Mar-21,1636.1
34049,21-Mar-21,1637.3
34050,22-Mar-21,1638.5
34051,23-Mar-21,1639.6
34052,24-Mar-21,1640.8
34053,25-Mar-21,1641.9
34054,26-Mar-21,1643.1
34055,27-Mar-21,1644.3
34056,28-Mar-21,1645.4
