DT,Vida_3day,CGR_3day
"28 Nov 1927, 24:00",20681,5470
"21 Mar 1929, 24:00",11811,2928
"19 Dec 1929, 24:00",13937,3522
"01 Apr 1931, 24:00",23733,6377
"18 Mar 1932, 24:00",24653,6653
"09 Jun 1933, 24:00",18468,4821
"23 Jan 1934, 24:00",16836,4348
"20 Dec 1934, 24:00",17904,4657
"04 Jan 1936, 24:00",16599,4280
"14 Apr 1937, 24:00",19814,5214
"22 Jan 1938, 24:00",16932,4376
"24 Mar 1939, 24:00",10800,2650
"28 Feb 1940, 24:00",9833,2387
"22 Jan 1941, 24:00",7617,1795
"22 Dec 1941, 24:00",14867,3785
"01 Jan 1943, 01:00",34331,9626
"04 Nov 1943, 24:00",10693,2621
"13 Feb 1945, 24:00",17857,4643
"28 Dec 1945, 19:00",34407,9650
"14 Dec 1946, 07:00",30721,8504
"07 Jan 1948, 24:00",26641,6976
"24 Feb 1950, 24:00",18078,4316
"29 Oct 1950, 24:00",20904,5851
"06 Feb 1952, 24:00",14200,3503
"18 Jan 1953, 24:00",33555,8829
"23 Nov 1953, 24:00",25673,7212
"22 Dec 1955, 24:00",38737,10049
"11 Dec 1956, 24:00",26334,7875
"27 Jan 1959, 24:00",14707,3291
"24 Dec 1961, 24:00",17533,4425
"03 Feb 1963, 24:00",15220,3418
"09 Nov 1963, 04:00",13030,2811
"22 Dec 1964, 20:00",63726,22655
"07 Jan 1966, 07:00",14934,2800
"28 Jan 1967, 24:00",15713,3103
"23 Feb 1968, 24:00",19324,4073
"09 Nov 1968, 24:00",16265,3516
"23 Jan 1970, 08:00",23066,5477
"18 Jan 1971, 13:00",39427,11244
"21 Jan 1972, 14:00",32925,8159
"16 Jan 1974, 02:00",24025,6118
"21 Dec 1974, 10:00",16618,3909
"09 Jan 1976, 01:00",19208,4242
"08 Apr 1977, 06:00",5634,1368
"05 Dec 1978, 07:00",12047,3290
"13 Jan 1980, 19:00",28160,7763
"26 Dec 1980, 04:00",21965,4954
"06 Dec 1982, 07:00",17126,4122
"13 Feb 1984, 20:00",20005,5205
"03 Nov 1984, 02:00",14946,3878
"23 Feb 1986, 20:00",34421,9308
"28 Nov 1986, 06:00",15150,3457
"10 Jan 1988, 18:00",13855,3581
"23 Nov 1988, 04:00",14681,3357
"28 Apr 1990, 04:00",18875,5998
"15 Jan 1991, 18:00",14502,3814
"07 Dec 1991, 03:00",15520,4097
"18 Mar 1993, 10:00",20628,6191
"03 Jan 1994, 07:00",9705,2330
"07 Feb 1996, 13:00",43581,10877
"19 Nov 1996, 10:00",31123,8954
"17 Jan 1998, 08:00",14419,3910
"28 Dec 1998, 10:00",26892,6658
"26 Nov 1999, 07:00",23533,5765
"14 Apr 2002, 08:00",15949,4902
"30 Jan 2003, 20:00",17661,4787
"13 Dec 2003, 20:00",16097,4289
"09 Dec 2004, 22:00",14728,4754
"31 Dec 2005, 01:00",28163,7762
"14 Dec 2006, 19:00",19242,4615
"04 Jun 2010, 13:00",15187,4524
"16 Jan 2011, 21:00",27586,7918
"05 Dec 2012, 05:00",19410,4739
"14 Feb 2014, 15:00",29899,8092
"21 Dec 2014, 23:00",29747,9150
"18 Dec 2015, 06:00",17205,4100
"09 Mar 2017, 23:00",16063,3766
"23 Nov 2017, 24:00",12426,3007
"08 Apr 2019, 17:00",32502,9326
"28 Jan 2020, 23:00",13438,3394
"20 Dec 2020, 19:00",16142,3756
