Cougar_3day_inflow,Sample_AEP
18355.68621,AEP = 0.001
19025.5926,AEP = 0.001
23800.26523,AEP = 0.001
19255.36775,AEP = 0.001
24920.45114,AEP = 0.001
28984.94739,AEP = 0.001
24094.83556,AEP = 0.001
22792.68577,AEP = 0.001
22238.98732,AEP = 0.001
22742.98171,AEP = 0.001
22441.98373,AEP = 0.001
25917.32137,AEP = 0.001
25823.74993,AEP = 0.001
18175.46492,AEP = 0.001
16330.40685,AEP = 0.001
19637.52277,AEP = 0.001
21018.89436,AEP = 0.001
18818.25191,AEP = 0.001
22540.92999,AEP = 0.001
20795.82056,AEP = 0.001
16036.9044,AEP = 0.001
18852.12722,AEP = 0.001
26133.05908,AEP = 0.001
20187.8334,AEP = 0.001
16975.31587,AEP = 0.001
17522.06658,AEP = 0.001
29933.83189,AEP = 0.001
22497.24683,AEP = 0.001
19952.63177,AEP = 0.001
24680.73018,AEP = 0.001
21179.12557,AEP = 0.001
20356.18914,AEP = 0.001
22634.54659,AEP = 0.001
23140.62288,AEP = 0.001
18737.82561,AEP = 0.001
24229.57783,AEP = 0.001
19341.71443,AEP = 0.001
20993.73457,AEP = 0.001
17209.07179,AEP = 0.001
20451.2205,AEP = 0.001
23631.2463,AEP = 0.001
22178.31106,AEP = 0.001
19745.13463,AEP = 0.001
21894.26292,AEP = 0.001
19486.68268,AEP = 0.001
19414.45241,AEP = 0.001
19978.41183,AEP = 0.001
23504.50902,AEP = 0.001
20375.48679,AEP = 0.001
20415.61216,AEP = 0.001
20559.24726,AEP = 0.001
22437.26524,AEP = 0.001
19838.75645,AEP = 0.001
19770.04286,AEP = 0.001
20778.09306,AEP = 0.001
19562.27479,AEP = 0.001
17222.41168,AEP = 0.001
17791.26209,AEP = 0.001
16506.43089,AEP = 0.001
31714.54821,AEP = 0.001
19036.6767,AEP = 0.001
26327.61649,AEP = 0.001
27005.77836,AEP = 0.001
22590.84478,AEP = 0.001
24727.59038,AEP = 0.001
24715.38262,AEP = 0.001
21102.6799,AEP = 0.001
22748.2572,AEP = 0.001
24168.42963,AEP = 0.001
16527.93114,AEP = 0.001
21892.29376,AEP = 0.001
29294.67477,AEP = 0.001
29554.17486,AEP = 0.001
20185.24378,AEP = 0.001
15458.40509,AEP = 0.001
20221.75678,AEP = 0.001
33279.04811,AEP = 0.001
17356.80562,AEP = 0.001
18677.18412,AEP = 0.001
24622.69841,AEP = 0.001
17024.01184,AEP = 0.001
22744.86752,AEP = 0.001
18456.99226,AEP = 0.001
22311.92009,AEP = 0.001
21884.77837,AEP = 0.001
18576.6092,AEP = 0.001
23931.06916,AEP = 0.001
14923.37669,AEP = 0.001
22033.38259,AEP = 0.001
24384.49479,AEP = 0.001
18725.97794,AEP = 0.001
26050.65039,AEP = 0.001
18962.139,AEP = 0.001
21326.18106,AEP = 0.001
23433.64188,AEP = 0.001
20697.78147,AEP = 0.001
29213.36721,AEP = 0.001
19844.22619,AEP = 0.001
24457.62459,AEP = 0.001
26454.54692,AEP = 0.001
29455.10447,AEP = 0.001
21756.93834,AEP = 0.001
21300.65267,AEP = 0.001
13849.01035,AEP = 0.001
19901.04714,AEP = 0.001
16727.20851,AEP = 0.001
19826.09082,AEP = 0.001
19863.98013,AEP = 0.001
21191.50389,AEP = 0.001
19503.76079,AEP = 0.001
22151.11549,AEP = 0.001
22462.94746,AEP = 0.001
21132.79217,AEP = 0.001
24910.0552,AEP = 0.001
22381.93251,AEP = 0.001
20492.52386,AEP = 0.001
23007.34148,AEP = 0.001
26354.37381,AEP = 0.001
25401.84367,AEP = 0.001
28636.16672,AEP = 0.001
27577.30483,AEP = 0.001
30873.34611,AEP = 0.001
30366.41986,AEP = 0.001
23780.99889,AEP = 0.001
29821.47456,AEP = 0.001
19052.66948,AEP = 0.001
20974.44761,AEP = 0.001
27770.35067,AEP = 0.001
24918.96888,AEP = 0.001
23921.53658,AEP = 0.001
23349.72118,AEP = 0.001
19631.21763,AEP = 0.001
27738.25836,AEP = 0.001
25680.20228,AEP = 0.001
21272.58262,AEP = 0.001
19704.62049,AEP = 0.001
21159.28826,AEP = 0.001
28431.84421,AEP = 0.001
28049.59374,AEP = 0.001
21502.42102,AEP = 0.001
25218.14182,AEP = 0.001
24557.84514,AEP = 0.001
28784.44876,AEP = 0.001
26287.20989,AEP = 0.001
21789.3334,AEP = 0.001
18065.93825,AEP = 0.001
17592.74563,AEP = 0.001
23326.70479,AEP = 0.001
22076.14607,AEP = 0.001
19840.12113,AEP = 0.001
23557.26575,AEP = 0.001
19708.14993,AEP = 0.001
15393.14408,AEP = 0.001
27301.00581,AEP = 0.001
22082.50843,AEP = 0.001
22710.22722,AEP = 0.001
21353.39741,AEP = 0.001
