Probability,CI_95,CI_5,Posterior_Predictive,Posterior_Mode,Analysis
1.00E-06,121229.5497,43674.36569,91399.07279,76239.65373,2018 Final
2.00E-06,106481.3528,41107.44199,80675.49358,69083.84037,2018 Final
5.00E-06,89983.26085,37821.75292,68454.27503,60482.26387,2018 Final
1.00E-05,78914.29381,35438.55955,60477.5587,54572.21679,2018 Final
2.00E-05,69140.44496,33035.9171,53441.28371,49134.49375,2018 Final
5.00E-05,57850.46216,30024.00346,45375.14591,42611.93969,2018 Final
0.0001,50515.3051,27850.30335,40075.93915,38139.82104,2018 Final
0.0002,43991.72823,25731.31449,35372.60634,34032.3067,2018 Final
0.0005,36530.74536,22946.65785,29935.24146,29114.55968,2018 Final
0.001,31572.72053,20933.84659,26327.00892,25748.21006,2018 Final
0.002,27192.49988,18930.08487,23087.95613,22659.37116,2018 Final
0.005,22260.1252,16372.71787,19285.37553,18962.52764,2018 Final
0.01,19012.65402,14469.95734,16711.04677,16429.38547,2018 Final
0.02,16114.29813,12619.12891,14352.4048,14098.41508,2018 Final
0.05,12797.00623,10261.36775,11502.91041,11287.22106,2018 Final
0.1,10529.81086,8524.025608,9504.432774,9329.371203,2018 Final
0.2,8395.912292,6837.149221,7593.106297,7472.986812,2018 Final
0.3,7165.494489,5864.760749,6486.866941,6405.911934,2018 Final
0.5,5539.888478,4595.740675,5043.22579,5018.933939,2018 Final
0.7,4347.422262,3619.787922,3965.003042,3984.100892,2018 Final
0.8,3784.652126,3130.217205,3446.711185,3486.412948,2018 Final
0.9,3165.575339,2537.773272,2854.839321,2919.648074,2018 Final
0.95,2770.494043,2113.834396,2451.85851,2538.416634,2018 Final
0.98,2421.259049,1706.536549,2065.273858,2183.761507,2018 Final
0.99,2230.652381,1472.386398,1835.540009,1983.30128,2018 Final
