Simulation,Sensit_ID,Name,Sensitivity,Description,VFC,Flood_Seasonality,Starting Stage,Res_Model,,,
0a - stage_winter_PaleoNoPSIUppe_BestEst_FullUnc,0b ,Final Stage Frequency with full uncertainty,Final-Full,Final. Full Uncert. Sys+Hist+Paleo(NEB)+Precip,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
0b - stage_winter_PaleoNoPSIUppe_BestEst_Expect,1a ,Final Stage Frequency,Final,Final. Expected Only Sys+Hist+Paleo(NEB)+Precip,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1a - stage_winter_syst_BestEstimate,1b ,Syst,Record Length,Sys record with stage seasonality,CGR_3Day_winter_syst,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1b - stage_winter_hist_BestEstimate,1c ,Syst + Hist,Record Length,Sys + Hist record with stage seasonality,CGR_3Day_winter_hist,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1c - stage_winter_paleoOnly_BestEstimate,1d ,Syst + Hist + Paleo,Record Length,Sys+Hist+Paleo record with stage seasonality,CGR_3Day_winter_paleoOnly_Best,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
1d - stage_winter_precip_BestEstimate,2a ,Syst + Hist + Paleo + Precip,Record Length,Sys+Hist+Paleo+Precip record with stage seasonality,CGR_3Day_winter_precip_RRFT,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2a - rain_winter_syst_BestEstimate,2b ,Syst (Inflow-based Seasonality),Seasonality,Winter Sys using rain seasonality,CGR_3Day_winter_syst,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2b - rain_winter_hist_BestEstimate,2c ,Syst + Hist (Inflow-based Seasonality),Seasonality,Winter Sys + Hist using rain seasonality,CGR_3Day_winter_hist,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2c - rain_winter_paleoOnly_BestEstimate,2d ,Syst + Hist + Paleo (Inflow-based Seasonality),Seasonality,Winter Sys + Hist + Paleo using rain seasonality,CGR_3Day_winter_paleoOnly_Best,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
2d - rain_winter_precip_BestEstimate,3a ,Syst + Hist + Paleo + Precip (Inflow-based Seasonality),Seasonality,Winter Sys + Hist + Paleo + Precip using rain seasonality,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Rain,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate,,,
3a - stage_winter_paleoNoPSIUpper_Debris_10P,3b,Spillway Reduction 10%,Reservoir Operations,10% Discharge Reduction from Debris,CGR_3Day_winter_paleo_best_RRFT_noPSIUpper,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_10P,,,
