AEP,0b ,1a ,1b ,1c ,1d ,2a ,2b ,2c ,2d ,3a ,3b,3c ,3d,3e,3f,3g,3h,3i,3j,4a ,4b ,4c ,4d ,5a ,5b ,5c ,6a ,6b 
9.80E-01,1610.98,1610.36,1609.98,1610.93,1610.88,1565.59,1565.41,1565.55,1565.39,1610.98,1610.98,1610.98,1610.98,1610.98,1624.28,1610.98,1610.98,1610.98,1610.98,1610.54,1610.93,1610.98,1611.65,1599.16,1543.67,1610.41,1580.51,1580.45
9.70E-01,1620.24,1619.54,1618.81,1620.83,1620.15,1568.13,1567.51,1567.54,1567.58,1620.24,1620.24,1620.24,1620.24,1620.24,1635.74,1620.24,1620.24,1620.24,1620.24,1619.92,1620.25,1620.24,1620.82,1605.89,1550.23,1620.44,1590.16,1590.22
9.60E-01,1627.15,1625.61,1625.82,1627.80,1626.66,1569.89,1569.82,1569.60,1569.59,1627.15,1627.15,1627.15,1627.15,1627.15,1640.74,1627.15,1627.15,1627.15,1627.15,1626.90,1626.76,1627.15,1627.59,1610.97,1553.81,1627.17,1598.69,1598.67
9.50E-01,1632.49,1632.39,1631.84,1633.42,1632.30,1571.53,1571.53,1571.93,1571.88,1632.49,1632.49,1632.49,1632.49,1632.49,1647.38,1632.49,1632.49,1632.49,1632.49,1632.32,1632.18,1632.49,1633.32,1616.71,1557.26,1632.66,1605.81,1605.80
9.40E-01,1637.48,1636.47,1636.64,1638.82,1637.27,1573.36,1573.82,1573.95,1573.99,1637.48,1637.48,1637.48,1637.48,1637.48,1651.25,1637.48,1637.48,1637.48,1637.48,1637.20,1637.05,1637.48,1638.23,1621.11,1559.76,1637.89,1609.56,1609.56
9.30E-01,1643.16,1644.17,1642.98,1644.49,1642.86,1575.45,1575.98,1576.16,1576.22,1643.16,1643.16,1643.16,1643.16,1643.16,1656.26,1643.16,1643.16,1643.16,1643.16,1643.47,1643.08,1643.16,1644.74,1624.89,1562.38,1643.24,1615.69,1615.70
9.20E-01,1650.45,1649.70,1650.23,1651.30,1650.45,1577.12,1577.58,1577.83,1577.76,1650.45,1650.45,1650.45,1650.45,1650.45,1661.15,1650.45,1650.45,1650.45,1650.45,1650.33,1650.34,1650.45,1651.17,1627.72,1564.46,1650.72,1622.53,1622.44
9.10E-01,1657.21,1656.21,1656.27,1658.38,1656.92,1578.50,1578.74,1578.86,1578.93,1657.21,1657.21,1657.21,1657.21,1657.21,1663.33,1657.21,1657.21,1657.21,1657.21,1657.00,1656.95,1657.21,1657.89,1630.43,1566.41,1657.30,1631.88,1631.65
9.00E-01,1660.86,1660.92,1661.54,1662.64,1660.78,1579.66,1579.89,1579.91,1580.02,1660.86,1660.86,1660.86,1660.86,1660.86,1664.96,1660.86,1660.86,1660.86,1660.86,1661.30,1660.69,1660.86,1661.86,1635.23,1568.28,1660.76,1642.84,1642.75
8.00E-01,1686.26,1686.09,1686.72,1686.85,1686.16,1588.52,1588.49,1588.88,1588.93,1686.26,1686.26,1686.26,1684.54,1684.54,1682.26,1686.26,1686.26,1686.26,1686.26,1686.22,1686.21,1686.26,1686.80,1658.53,1582.82,1686.37,1678.78,1678.77
7.00E-01,1692.99,1692.73,1692.83,1693.01,1692.86,1594.57,1594.82,1595.18,1595.17,1692.99,1692.99,1692.99,1692.17,1692.17,1690.04,1692.99,1692.99,1692.99,1692.99,1693.02,1693.04,1692.99,1693.06,1673.82,1590.26,1693.03,1687.11,1687.10
6.00E-01,1694.14,1694.03,1694.05,1694.11,1694.08,1599.61,1599.76,1600.71,1600.25,1694.14,1694.14,1694.14,1693.86,1693.86,1693.28,1694.14,1694.14,1694.14,1694.14,1694.37,1694.18,1694.14,1694.42,1686.03,1594.61,1694.22,1691.99,1691.99
5.00E-01,1694.92,1694.76,1694.74,1694.96,1694.92,1605.16,1605.24,1606.71,1605.80,1694.92,1694.92,1694.92,1694.80,1694.80,1694.34,1694.92,1694.92,1694.92,1694.92,1694.95,1694.93,1694.92,1695.00,1690.57,1598.96,1694.96,1693.45,1693.45
4.00E-01,1695.44,1695.41,1695.38,1695.52,1695.44,1612.87,1612.74,1615.17,1613.40,1695.44,1695.44,1695.44,1695.34,1695.35,1695.10,1695.44,1695.44,1695.44,1695.44,1695.45,1695.44,1695.44,1695.52,1692.21,1603.24,1695.47,1694.15,1694.15
3.00E-01,1695.96,1695.98,1695.98,1696.08,1695.97,1624.10,1624.42,1627.25,1624.81,1695.96,1695.96,1695.96,1695.88,1695.89,1695.76,1695.96,1695.96,1695.96,1695.96,1695.95,1695.95,1695.96,1696.03,1693.98,1609.02,1695.98,1694.85,1694.85
2.00E-01,1696.73,1696.55,1696.57,1696.88,1696.69,1640.84,1640.88,1645.59,1641.64,1696.73,1696.73,1696.73,1696.62,1696.68,1696.72,1696.73,1696.73,1696.73,1696.73,1696.74,1696.71,1696.73,1696.90,1695.35,1618.31,1696.76,1695.55,1695.55
1.00E-01,1697.75,1697.83,1697.86,1698.16,1697.74,1661.84,1661.67,1665.81,1662.14,1697.75,1697.75,1697.75,1697.70,1697.99,1699.50,1697.75,1697.75,1697.75,1697.75,1697.66,1697.72,1697.75,1698.07,1696.86,1633.06,1697.74,1696.24,1696.24
9.00E-02,1697.93,1697.98,1698.00,1698.45,1697.85,1664.54,1664.43,1668.02,1664.59,1697.93,1697.93,1697.93,1697.81,1698.37,1699.87,1697.93,1697.93,1697.93,1697.93,1697.90,1697.88,1697.93,1698.35,1697.01,1635.17,1697.96,1696.31,1696.31
8.00E-02,1698.24,1698.12,1698.15,1698.73,1698.12,1667.26,1666.79,1670.54,1667.01,1698.24,1698.24,1698.24,1698.13,1698.75,1700.25,1698.24,1698.24,1698.24,1698.24,1698.19,1698.18,1698.24,1698.63,1697.17,1637.45,1698.26,1696.38,1696.38
7.00E-02,1698.54,1698.34,1698.37,1699.02,1698.45,1669.50,1669.47,1673.67,1669.46,1698.54,1698.54,1698.54,1698.46,1699.13,1700.62,1698.55,1698.55,1698.55,1698.55,1698.49,1698.49,1698.54,1698.91,1697.40,1640.42,1698.55,1696.45,1696.45
6.00E-02,1698.85,1698.66,1698.68,1699.31,1698.77,1672.70,1672.31,1677.78,1672.77,1698.85,1698.85,1698.85,1698.78,1699.61,1701.02,1698.86,1698.86,1698.86,1698.86,1698.78,1698.79,1698.85,1699.19,1697.80,1643.67,1698.85,1696.73,1696.72
5.00E-02,1699.16,1698.98,1699.00,1699.61,1699.10,1676.92,1676.44,1681.68,1676.24,1699.16,1699.16,1699.16,1699.11,1700.29,1701.68,1699.17,1699.17,1699.17,1699.17,1699.08,1699.10,1699.16,1699.55,1698.20,1647.37,1699.14,1697.06,1697.06
4.00E-02,1699.51,1699.30,1699.32,1700.07,1699.43,1681.32,1681.04,1685.60,1681.37,1699.51,1699.51,1699.51,1699.46,1700.98,1702.33,1699.55,1699.55,1699.55,1699.55,1699.44,1699.42,1699.51,1699.98,1698.59,1651.69,1699.49,1697.40,1697.40
3.00E-02,1700.01,1699.62,1699.63,1700.53,1699.93,1685.67,1685.05,1692.48,1685.55,1700.01,1700.01,1700.01,1700.02,1702.64,1703.75,1700.13,1700.13,1700.13,1700.13,1699.95,1699.94,1700.01,1700.41,1698.99,1656.80,1700.00,1697.74,1697.73
2.00E-02,1700.51,1700.23,1700.20,1701.00,1700.45,1692.26,1692.14,1695.01,1692.44,1700.51,1700.51,1700.51,1700.58,1705.54,1706.34,1700.70,1700.70,1700.70,1700.70,1700.46,1700.46,1700.51,1700.84,1699.93,1663.01,1700.51,1698.07,1698.07
9.99E-03,1701.09,1701.05,1700.98,1701.84,1700.97,1695.72,1695.66,1697.33,1695.76,1701.09,1701.09,1701.09,1701.42,1710.82,1711.50,1701.82,1701.82,1701.82,1701.82,1701.15,1701.01,1701.09,1701.70,1701.00,1675.81,1701.14,1698.88,1698.88
8.99E-03,1701.25,1701.13,1701.06,1701.94,1701.02,1696.06,1695.90,1697.59,1696.05,1701.25,1701.25,1701.25,1701.57,1711.61,1712.18,1701.98,1701.98,1701.98,1701.98,1701.29,1701.17,1701.25,1701.79,1701.17,1678.19,1701.29,1698.98,1698.97
7.99E-03,1701.41,1701.22,1701.14,1702.04,1701.19,1696.40,1696.13,1697.85,1696.38,1701.41,1701.41,1701.41,1701.73,1712.21,1712.54,1702.14,1702.14,1702.14,1702.14,1701.43,1701.34,1701.41,1701.89,1701.33,1680.72,1701.44,1699.08,1699.07
6.99E-03,1701.56,1701.30,1701.22,1702.14,1701.38,1696.75,1696.54,1698.24,1696.72,1701.56,1701.56,1701.57,1701.88,1712.55,1712.89,1702.31,1702.31,1702.31,1702.31,1701.57,1701.50,1701.56,1701.98,1701.50,1683.46,1701.59,1699.17,1699.17
5.99E-03,1701.72,1701.50,1701.30,1702.24,1701.57,1697.10,1696.99,1698.91,1697.05,1701.72,1701.72,1701.72,1702.03,1712.88,1713.25,1702.47,1702.47,1702.47,1702.47,1701.71,1701.67,1701.72,1702.07,1701.66,1686.60,1701.74,1699.27,1699.26
4.99E-03,1701.88,1701.75,1701.49,1702.34,1701.76,1697.44,1697.44,1699.57,1697.38,1701.88,1701.88,1701.88,1702.18,1713.22,1713.60,1702.74,1702.74,1702.74,1702.74,1701.85,1701.83,1701.88,1702.17,1701.83,1690.00,1701.89,1699.37,1699.36
4.00E-03,1702.04,1701.99,1701.78,1702.44,1701.95,1698.08,1697.88,1700.21,1697.71,1702.04,1702.04,1702.04,1702.33,1713.56,1713.98,1703.16,1703.16,1703.16,1703.16,1702.00,1702.00,1702.04,1702.26,1702.00,1693.25,1702.04,1699.46,1699.46
3.00E-03,1702.20,1702.23,1702.07,1702.54,1702.14,1699.08,1698.76,1700.83,1698.54,1702.20,1702.20,1702.20,1702.49,1714.02,1714.36,1703.57,1703.57,1703.57,1703.57,1702.14,1702.16,1702.20,1702.35,1702.16,1695.18,1702.19,1699.56,1699.55
2.00E-03,1702.36,1702.47,1702.36,1702.64,1702.33,1700.21,1699.84,1701.45,1699.56,1702.36,1702.36,1702.36,1703.31,1714.54,1714.74,1703.99,1703.99,1703.99,1703.99,1702.28,1702.32,1702.36,1702.44,1702.33,1696.45,1702.34,1699.65,1699.65
9.99E-04,1702.51,1702.71,1702.66,1703.17,1702.52,1701.45,1701.13,1702.43,1700.91,1702.51,1702.51,1702.52,1705.88,1715.06,1715.12,1705.19,1705.19,1705.19,1705.19,1702.42,1702.49,1702.51,1703.08,1702.49,1698.35,1702.49,1699.75,1699.75
8.99E-04,1702.53,1702.73,1702.68,1703.29,1702.54,1701.65,1701.26,1702.56,1701.05,1702.53,1702.53,1702.53,1706.45,1715.11,1715.16,1705.35,1705.35,1705.35,1705.35,1702.43,1702.51,1702.53,1703.18,1702.51,1698.65,1702.51,1699.76,1699.76
7.99E-04,1702.55,1702.75,1702.71,1703.41,1702.55,1701.85,1701.39,1702.69,1701.19,1702.55,1702.55,1702.55,1707.02,1715.16,1715.20,1705.52,1705.52,1705.52,1705.52,1702.45,1702.52,1702.55,1703.28,1702.53,1698.95,1702.52,1699.77,1699.77
6.99E-04,1702.56,1702.78,1702.74,1703.53,1702.57,1702.06,1701.52,1702.81,1701.33,1702.56,1702.56,1702.60,1707.86,1715.21,1715.29,1705.69,1705.69,1705.69,1705.69,1702.46,1702.54,1702.56,1703.38,1702.54,1699.26,1702.54,1699.78,1699.78
6.00E-04,1702.78,1702.80,1702.77,1703.66,1702.59,1702.26,1701.65,1702.94,1701.47,1702.79,1702.80,1702.89,1708.97,1715.39,1715.53,1706.09,1706.09,1706.10,1706.10,1702.60,1702.67,1702.78,1703.48,1702.70,1699.69,1702.77,1699.79,1699.79
5.00E-04,1703.01,1702.83,1702.80,1703.78,1702.61,1702.46,1701.86,1703.07,1701.70,1703.02,1703.03,1703.17,1710.05,1715.66,1715.77,1706.57,1706.58,1706.58,1706.59,1702.84,1702.92,1703.01,1703.59,1702.97,1700.21,1703.00,1699.80,1699.80
4.00E-04,1703.24,1702.85,1702.83,1703.90,1702.90,1702.66,1702.22,1703.19,1702.05,1703.25,1703.27,1703.46,1711.30,1715.93,1716.01,1707.05,1707.06,1707.06,1707.08,1703.09,1703.16,1703.24,1703.69,1703.24,1700.72,1703.22,1699.81,1699.81
3.00E-04,1703.47,1703.01,1702.86,1704.02,1703.23,1702.86,1702.59,1703.32,1702.40,1703.48,1703.50,1703.75,1712.54,1716.20,1716.26,1707.63,1707.66,1707.72,1707.85,1703.33,1703.41,1703.47,1703.79,1703.51,1701.24,1703.45,1699.82,1699.82
2.00E-04,1703.70,1703.54,1702.89,1704.14,1703.56,1703.07,1702.95,1703.45,1702.76,1703.71,1703.74,1704.04,1713.64,1716.46,1716.50,1708.33,1708.40,1708.55,1708.89,1703.58,1703.65,1703.70,1703.89,1703.78,1701.94,1703.68,1699.83,1699.82
1.00E-04,1703.93,1704.07,1703.76,1704.26,1703.89,1703.27,1703.32,1703.57,1703.11,1703.94,1703.98,1706.66,1714.78,1716.73,1716.74,1709.17,1709.31,1709.56,1710.62,1703.82,1703.90,1703.93,1703.99,1704.06,1702.80,1703.91,1699.84,1699.83
9.00E-05,1703.95,1704.13,1703.85,1704.27,1703.92,1703.29,1703.35,1703.93,1703.14,1703.96,1704.00,1707.26,1714.90,1716.76,1716.76,1709.30,1709.44,1709.68,1711.01,1703.85,1703.92,1703.95,1704.00,1704.08,1702.89,1703.93,1699.84,1699.84
8.00E-05,1703.98,1704.18,1703.93,1704.88,1703.95,1703.44,1703.39,1704.43,1703.18,1703.99,1704.02,1708.00,1715.01,1716.79,1716.79,1709.44,1709.56,1709.79,1711.41,1703.87,1703.95,1703.98,1704.02,1704.11,1702.98,1703.96,1699.84,1699.84
7.00E-05,1704.00,1704.23,1704.02,1705.83,1703.99,1703.79,1703.42,1704.94,1703.21,1704.01,1704.05,1708.75,1715.13,1716.81,1716.81,1709.58,1709.69,1709.90,1711.81,1703.90,1703.97,1704.00,1704.03,1704.14,1703.06,1703.98,1699.84,1699.84
6.00E-05,1704.02,1704.29,1704.11,1706.72,1704.02,1704.13,1703.46,1705.46,1703.25,1704.03,1704.07,1709.74,1715.26,1717.03,1717.04,1709.71,1709.82,1710.02,1712.24,1703.92,1704.00,1704.02,1704.04,1704.16,1703.15,1704.00,1699.84,1699.84
5.00E-05,1704.05,1704.34,1704.20,1708.01,1704.05,1704.47,1703.50,1706.67,1703.28,1704.06,1704.09,1710.86,1715.57,1717.29,1717.30,1709.85,1709.94,1710.13,1712.73,1703.95,1704.02,1704.05,1704.05,1704.19,1703.24,1704.03,1699.84,1699.84
4.00E-05,1704.07,1704.39,1704.28,1710.49,1704.09,1704.82,1703.53,1708.67,1703.32,1704.08,1704.12,1712.11,1715.87,1717.55,1717.55,1709.99,1710.07,1710.24,1713.22,1703.97,1704.05,1704.07,1704.06,1704.22,1703.32,1704.05,1701.00,1699.84
3.00E-05,1704.09,1706.09,1704.37,1712.24,1704.12,1705.16,1703.57,1711.24,1703.36,1704.10,1704.14,1713.08,1716.18,1717.80,1717.80,1710.12,1710.19,1710.36,1713.74,1704.00,1704.07,1704.09,1704.07,1704.25,1703.41,1704.07,1703.37,1699.84
