AEP,Upper,Lower,Expected,Median
9.80E-01,1616.73,1608.33,1612.12,1612.11
9.70E-01,1624.93,1615.15,1619.77,1619.81
9.60E-01,1632.11,1621.77,1626.75,1626.74
9.50E-01,1639.36,1628.17,1633.23,1633.48
9.40E-01,1646.66,1634.00,1640.05,1640.27
9.30E-01,1653.14,1640.40,1646.91,1647.09
9.20E-01,1658.94,1646.70,1653.11,1653.29
9.10E-01,1664.21,1652.56,1658.57,1658.70
9.00E-01,1668.22,1657.85,1663.65,1663.83
8.00E-01,1688.53,1684.59,1686.73,1686.77
7.00E-01,1693.30,1692.75,1693.08,1693.08
6.00E-01,1694.41,1693.81,1694.08,1694.08
5.00E-01,1695.05,1694.68,1694.86,1694.86
4.00E-01,1695.59,1695.24,1695.41,1695.41
3.00E-01,1696.13,1695.79,1695.95,1695.95
2.00E-01,1696.98,1696.39,1696.70,1696.69
1.00E-01,1697.99,1697.55,1697.78,1697.78
9.00E-02,1698.27,1697.66,1697.89,1697.89
8.00E-02,1698.58,1697.78,1698.00,1698.00
7.00E-02,1698.88,1697.89,1698.33,1698.33
6.00E-02,1699.18,1698.03,1698.68,1698.68
5.00E-02,1699.49,1698.44,1699.02,1699.02
4.00E-02,1699.87,1698.84,1699.37,1699.36
3.00E-02,1700.41,1699.24,1699.72,1699.71
2.00E-02,1700.95,1699.65,1700.43,1700.41
9.99E-03,1701.65,1700.60,1701.14,1701.11
8.99E-03,1701.81,1700.71,1701.21,1701.18
7.99E-03,1701.96,1700.81,1701.28,1701.25
6.99E-03,1702.12,1700.92,1701.35,1701.32
5.99E-03,1702.28,1701.02,1701.49,1701.39
4.99E-03,1702.43,1701.12,1701.77,1701.66
4.00E-03,1702.59,1701.23,1702.05,1701.96
3.00E-03,1702.75,1701.33,1702.33,1702.25
2.00E-03,1702.90,1701.65,1702.61,1702.55
9.99E-04,1703.06,1702.37,1702.89,1702.85
8.99E-04,1703.08,1702.45,1702.91,1702.88
7.99E-04,1703.09,1702.52,1702.94,1702.91
6.99E-04,1703.19,1702.59,1702.97,1702.94
6.00E-04,1703.43,1702.67,1703.00,1702.97
5.00E-04,1703.67,1702.74,1703.02,1703.00
4.00E-04,1703.91,1702.81,1703.05,1703.02
3.00E-04,1704.14,1702.89,1703.08,1703.05
2.00E-04,1704.38,1702.96,1703.30,1703.08
1.00E-04,1704.62,1703.03,1704.07,1703.62
9.00E-05,1704.65,1703.04,1704.15,1703.74
8.00E-05,1704.67,1703.05,1704.23,1703.86
7.00E-05,1704.69,1703.05,1704.30,1703.98
6.00E-05,1704.72,1703.06,1704.38,1704.10
5.00E-05,1704.74,1703.07,1704.46,1704.22
4.00E-05,1704.76,1703.07,1704.53,1704.34
3.00E-05,1704.79,1703.08,1704.61,1704.46
2.00E-05,1706.06,1703.09,1704.69,1704.58
1.00E-05,1710.98,1703.10,1704.76,1704.70
9.01E-06,1711.73,1703.10,1704.77,1704.71
8.01E-06,1712.37,1703.10,1704.78,1704.72
7.01E-06,1713.00,1703.10,1704.79,1704.73
6.01E-06,1713.60,1703.10,1704.79,1704.74
5.01E-06,1714.15,1703.10,1705.02,1704.76
4.01E-06,1714.70,1703.23,1706.19,1704.77
3.00E-06,1715.35,1703.62,1707.95,1704.78
2.00E-06,1716.12,1704.01,1710.92,1704.79
1.00E-06,1717.16,1704.41,1714.09,1705.45
9.02E-07,1717.35,1704.45,1714.37,1705.82
8.02E-07,1717.54,1704.49,1714.65,1706.18
7.02E-07,1717.74,1704.53,1714.93,1706.60
6.01E-07,1717.93,1704.56,1715.30,1707.37
5.01E-07,1718.12,1704.60,1715.70,1708.15
4.01E-07,1718.32,1704.64,1716.09,1709.32
3.01E-07,1718.40,1704.68,1716.49,1710.74
2.01E-07,1718.40,1704.72,1717.16,1712.45
1.00E-07,1718.40,1704.76,1718.14,1714.25
9.03E-08,1718.40,1704.77,1718.24,1714.43
8.03E-08,1718.40,1704.77,1718.34,1714.61
7.02E-08,1718.40,1704.77,1718.40,1714.78
6.02E-08,1718.40,1704.78,1718.40,1714.96
5.02E-08,1718.40,1704.78,1718.40,1715.27
4.02E-08,1718.40,1704.78,1718.40,1715.61
3.01E-08,1718.40,1704.79,1718.40,1715.95
2.01E-08,1718.40,1704.79,1718.40,1716.30
1.00E-08,1718.40,1704.80,1718.40,1716.64
9.04E-09,1718.40,1704.80,1718.40,1716.67
8.04E-09,1718.40,1704.80,1718.40,1716.74
7.03E-09,1718.40,1704.80,1718.40,1716.94
6.03E-09,1718.40,1704.80,1718.40,1717.15
5.02E-09,1718.40,1704.80,1718.40,1717.36
4.02E-09,1718.40,1704.80,1718.40,1717.57
3.02E-09,1718.40,1704.80,1718.40,1717.78
2.01E-09,1718.40,1704.80,1718.40,1717.98
1.01E-09,1718.40,1704.80,1718.40,1718.19
