Simulation,Sensit_ID,Name,Sensitivity,Description,VFC,Flood_Seasonality,Starting Stage,Res_Model
0b - stage_winter_paleo_best_RRFT_noPISBest_Ext,Stage_0b ,Final Stage Frequency,Final,3-Day Final,0a - CGR_3Day_winter_paleo_best_RRFT_noPSIBestExt,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
1a - stage_winter_syst_BestEstimate,Stage_1a ,Syst,Record Length,3-Day Winter Syst,1a - CGR_3Day_winter_syst,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
1b - stage_winter_hist_BestEstimate,Stage_1b ,Syst + Hist,Record Length,3-Day Winter Syst + Hist,1b - CGR_3Day_winter_hist,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
1c - stage_winter_paleoOnly_BestEstimate,Stage_1c ,Syst + Hist + Paleo (PSI),Record Length,3-Day Winter Syst + Hist + Paleo (w/PSIs),1c - CGR_3Day_winter_paleoOnly_Best,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
1d - stage_winter_precip_BestEstimate,Stage_1d ,Syst + Hist + Precip,Record Length,3-Day Winter Syst + Hist + PF,1d - CGR_3Day_winter_precip_RRFT,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
1e - stage_winter_paleoOnly_noPSI,Stage_1e ,Syst + Hist + Paleo (NEB) + Precip,Record Length,3-Day Winter Syst + Hist + Paleo (no PSIs),1e - CGR_3day_winter_paleoOnly_noPSI,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
2a - stage_annual_syst_BestEstimate,Stage_2a ,Syst (all season),Inflow AMS Seasonality,3-Day Annual Syst,2a - CGR_3day_annual_syst,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
2b - stage_annual_hist_BestEstimate,Stage_2b ,Syst (all season) + Hist,Inflow AMS Seasonality,3-Day Annual Syst + Hist,2b - CGR_3day_annual_hist,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_BestEstimate
3a - stage_winter_paleoNoPSIUpper_Debris_10P,Stage_3a ,Spillway Reduction 10%,Reservoir Operations,10% Discharge Reduction from Debris,0a - CGR_3Day_winter_paleo_best_RRFT_noPSIBestExt,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_10P
3b- stage_winter_paleoNoPSIUpper_Debris_25P,Stage_3b,Spillway Reduction 25%,Reservoir Operations,25% Discharge Reduction from Debris,0a - CGR_3Day_winter_paleo_best_RRFT_noPSIBestExt,CGR_Seasonality_Stage,CGR_StageDuration_Modified_NWP_POR,CGR_Adjusted_Debris_25P
