AEP,Stage_0b ,Stage_1a ,Stage_1b ,Stage_1c ,Stage_1d ,Stage_1e ,Stage_2a ,Stage_2b ,Stage_3a ,Stage_3b,Stage_3c ,Stage_3d ,Stage_3e ,Stage_3f ,Stage_3g ,Stage_3h ,Stage_3i ,Stage_3j ,Stage_4a ,Stage_4b ,Stage_4c ,Stage_4d ,Stage_4e ,Stage_4f ,Stage_5a ,Stage_5b ,Stage_5c,Stage_5d,Stage_6a ,Stage_6b ,Stage_7a ,Stage_7b ,Stage_7c ,Stage_7d ,Stage_7e ,Stage_8a ,Stage_8b ,Stage_8c
9.80E-01,1610.93,1610.2,1610.2,1610.93,1610.82,1610.65,1611.65,1611.85,1610.93,1610.93,1610.93,1610.93,1610.93,1624.07,1610.93,1610.93,1610.93,1610.93,1611.65,1610.54,1611.63,1611.33,1610.98,1610.41,1598.95,1543.25,1554.08,1526.32,1580.51,1580.4,1565.59,1565.48,1565.55,1565.29,1565.45,1611.42,1611.89,
9.70E-01,1620.25,1619.8,1618.78,1620.83,1620.09,1620.09,1621.58,1621.77,1620.25,1620.25,1620.25,1620.25,1620.25,1635.43,1620.25,1620.25,1620.25,1620.25,1620.82,1619.92,1621.16,1621.39,1620.24,1620.44,1605.72,1549.88,1557.30,1528.31,1590.16,1590.2,1568.04,1567.67,1567.54,1567.27,1567.45,1621.98,1621.61,
9.60E-01,1626.76,1625.47,1625.83,1627.8,1626.61,1626.51,1627.19,1627.88,1626.76,1626.76,1626.76,1626.76,1626.76,1640.44,1626.76,1626.76,1626.76,1626.76,1627.59,1626.9,1627.96,1627.84,1627.15,1627.17,1611.19,1553.56,1559.89,1530.52,1598.69,1598.63,1569.79,1569.81,1569.6,1569.3,1569.4,1627.85,1627.93,
9.50E-01,1632.18,1632.43,1632.12,1633.42,1632.29,1632.17,1633.62,1633.57,1632.18,1632.18,1632.18,1632.18,1632.18,1647.16,1632.18,1632.18,1632.18,1632.18,1633.32,1632.32,1633.72,1633.16,1632.49,1632.66,1616.59,1557.39,1563.09,1532.31,1605.8,1605.79,1571.51,1571.71,1571.93,1571.56,1571.67,1634.24,1633.79,
9.40E-01,1637.05,1636.6,1636.95,1638.82,1637.22,1636.91,1637.81,1638.32,1637.05,1637.05,1637.05,1637.05,1637.05,1650.87,1637.05,1637.05,1637.05,1637.05,1638.23,1637.2,1639.05,1638.48,1637.48,1637.89,1620.57,1559.98,1565.77,1533.53,1609.54,1609.55,1573.41,1573.76,1573.95,1573.81,1573.88,1638.32,1637.87,
9.30E-01,1643.08,1644.04,1643.53,1644.49,1642.98,1642.93,1644.72,1644.58,1643.08,1643.08,1643.08,1643.08,1643.08,1656.09,1643.08,1643.08,1643.08,1643.08,1644.74,1643.47,1644.76,1644.24,1643.16,1643.24,1624.79,1562.32,1567.12,1534.67,1615.68,1615.69,1575.34,1575.8,1576.16,1576.2,1576.24,1645.3,1644.76,
9.20E-01,1650.34,1649.92,1650.51,1651.3,1650.41,1650.25,1651.31,1651.33,1650.34,1650.34,1650.34,1650.34,1650.34,1661.31,1650.34,1650.34,1650.34,1650.34,1651.17,1650.33,1651.41,1650.99,1650.45,1650.72,1627.55,1564.67,1568.55,1535.78,1622.48,1622.4,1576.96,1577.56,1577.83,1577.52,1577.58,1651.43,1651.08,
9.10E-01,1656.95,1656.25,1657.05,1658.38,1656.94,1656.96,1656.9,1657.53,1656.95,1656.95,1656.95,1656.95,1656.95,1663.32,1656.95,1656.95,1656.95,1656.95,1657.89,1657,1658.13,1657.65,1657.21,1657.3,1630.27,1566.51,1570.06,1536.84,1631.81,1631.61,1578.33,1578.88,1578.86,1578.76,1578.82,1657.43,1657.08,
9.00E-01,1660.69,1660.79,1662.09,1662.64,1660.78,1660.59,1661.3,1661.53,1660.69,1660.69,1660.69,1660.68,1660.68,1664.92,1660.69,1660.69,1660.69,1660.69,1661.86,1661.3,1662.24,1661.79,1660.86,1660.76,1635.29,1568.08,1571.55,1537.89,1642.81,1642.64,1579.58,1580.05,1579.91,1579.91,1579.98,1661.4,1661.51,1662.34
8.00E-01,1686.21,1686.12,1686.84,1686.85,1686.15,1686.15,1686.75,1686.84,1686.21,1686.21,1686.21,1684.57,1684.57,1682.15,1686.21,1686.21,1686.21,1686.21,1686.8,1686.22,1686.94,1686.76,1686.26,1686.37,1658.42,1582.67,1585.78,1545.87,1678.78,1678.77,1588.54,1588.58,1588.88,1588.75,1588.76,1686.88,1686.84,1687.29
