Ordinate,Stage_FT,Storage_ACFT,Discharge_CFS,Model
1,1500.00,33748.00,0.00,CGR_Adjusted _Debris_NoGates
2,1514.40,40510.00,100.00,CGR_Adjusted _Debris_NoGates
3,1520.40,43500.00,100.00,CGR_Adjusted _Debris_NoGates
4,1524.40,45600.00,100.00,CGR_Adjusted _Debris_NoGates
5,1534.40,51100.00,100.00,CGR_Adjusted _Debris_NoGates
6,1541.40,54900.00,100.00,CGR_Adjusted _Debris_NoGates
7,1544.40,56500.00,100.00,CGR_Adjusted _Debris_NoGates
8,1554.40,62300.00,100.00,CGR_Adjusted _Debris_NoGates
9,1564.40,68600.00,100.00,CGR_Adjusted _Debris_NoGates
10,1569.40,71900.00,100.00,CGR_Adjusted _Debris_NoGates
11,1574.40,75200.00,100.00,CGR_Adjusted _Debris_NoGates
12,1584.40,82300.00,100.00,CGR_Adjusted _Debris_NoGates
13,1587.40,84600.00,100.00,CGR_Adjusted _Debris_NoGates
14,1594.40,89900.00,100.00,CGR_Adjusted _Debris_NoGates
15,1604.40,97800.00,100.00,CGR_Adjusted _Debris_NoGates
16,1608.40,101100.00,100.00,CGR_Adjusted _Debris_NoGates
17,1614.40,106200.00,100.00,CGR_Adjusted _Debris_NoGates
18,1624.40,115100.00,150.00,CGR_Adjusted _Debris_NoGates
19,1634.40,124300.00,200.00,CGR_Adjusted _Debris_NoGates
20,1636.40,126200.00,210.00,CGR_Adjusted _Debris_NoGates
21,1644.40,134000.00,250.00,CGR_Adjusted _Debris_NoGates
22,1654.40,144100.00,500.00,CGR_Adjusted _Debris_NoGates
23,1661.40,151500.00,1000.00,CGR_Adjusted _Debris_NoGates
24,1662.40,152600.00,1750.00,CGR_Adjusted _Debris_NoGates
25,1663.40,153600.00,2500.00,CGR_Adjusted _Debris_NoGates
26,1664.40,154700.00,3250.00,CGR_Adjusted _Debris_NoGates
27,1665.40,155800.00,4000.00,CGR_Adjusted _Debris_NoGates
28,1666.40,156900.00,4000.00,CGR_Adjusted _Debris_NoGates
29,1667.40,158000.00,4000.00,CGR_Adjusted _Debris_NoGates
30,1668.40,159100.00,4000.00,CGR_Adjusted _Debris_NoGates
31,1669.40,160200.00,4000.00,CGR_Adjusted _Debris_NoGates
32,1670.40,161300.00,4000.00,CGR_Adjusted _Debris_NoGates
