"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
9707,1990-04-28,"4/28/1990",1990,1700.9,"Cougar",1990.40999315537
5004,1977-06-12,"6/12/1977",1977,1699.4,"Cougar",1977.53285420945
1016,1966-07-12,"7/12/1966",1966,1699.2,"Cougar",1966.61618754278
639,1965-06-30,"6/30/1965",1965,1697.5,"Cougar",1965.58213552361
2049,1969-05-10,"5/10/1969",1969,1697.5,"Cougar",1969.44404517454
7922,1985-06-08,"6/8/1985",1985,1697.2,"Cougar",1985.5219028063
5706,1979-05-15,"5/15/1979",1979,1696.9,"Cougar",1979.45773442847
6091,1980-06-03,"6/3/1980",1980,1696.8,"Cougar",1980.50821355236
3195,1972-06-29,"6/29/1972",1972,1696.6,"Cougar",1972.57939767283
7556,1984-06-07,"6/7/1984",1984,1696.5,"Cougar",1984.51916495551
12665,1998-06-03,"6/3/1998",1998,1696.4,"Cougar",1998.50821355236
6830,1982-06-12,"6/12/1982",1982,1696.3,"Cougar",1982.53285420945
1368,1967-06-29,"6/29/1967",1967,1696.2,"Cougar",1967.57939767283
11949,1996-06-17,"6/17/1996",1996,1696.2,"Cougar",1996.54654346338
12295,1997-05-29,"5/29/1997",1997,1696.2,"Cougar",1997.49606433949
2825,1971-06-25,"6/25/1971",1971,1695.9,"Cougar",1971.56844626968
13429,2000-07-06,"7/6/2000",2000,1695.9,"Cougar",2000.59976043806
20282,2019-04-12,"4/12/2019",2019,1695.86,"Cougar",2019.36618754278
17050,2010-06-05,"6/5/2010",2010,1695.8,"Cougar",2010.51368925394
4261,1975-05-31,"5/31/1975",1975,1695.6,"Cougar",1975.50154004107
6483,1981-06-30,"6/30/1981",1981,1695.6,"Cougar",1981.58213552361
15570,2006-05-17,"5/17/2006",2006,1695.6,"Cougar",2006.46321013005
10087,1991-05-13,"5/13/1991",1991,1695.4,"Cougar",1991.4522587269
9011,1988-06-01,"6/1/1988",1988,1695.3,"Cougar",1988.50273785079
11573,1995-06-07,"6/7/1995",1995,1695.3,"Cougar",1995.51916495551
3921,1974-06-25,"6/25/1974",1974,1695.2,"Cougar",1974.56844626968
9378,1989-06-03,"6/3/1989",1989,1695.2,"Cougar",1989.50821355236
18484,2014-05-09,"5/9/2014",2014,1695.2,"Cougar",2014.44130732375
19588,2017-05-18,"5/18/2017",2017,1695.11,"Cougar",2017.46594798084
10836,1993-05-31,"5/31/1993",1993,1695.1,"Cougar",1993.50154004107
291,1964-07-17,"7/17/1964",1964,1694.8,"Cougar",1964.62987679671
7215,1983-07-02,"7/2/1983",1983,1694.8,"Cougar",1983.58880903491
2431,1970-05-27,"5/27/1970",1970,1694.7,"Cougar",1970.49058863792
8270,1986-05-22,"5/22/1986",1986,1694.7,"Cougar",1986.47689938398
13014,1999-05-18,"5/18/1999",1999,1694.7,"Cougar",1999.46594798084
4610,1976-05-14,"5/14/1976",1976,1694.6,"Cougar",1976.45499657769
16344,2008-06-29,"6/29/2008",2008,1694.3,"Cougar",2008.57939767283
17424,2011-06-14,"6/14/2011",2011,1694.2,"Cougar",2011.53832991102
17771,2012-05-26,"5/26/2012",2012,1694.2,"Cougar",2012.48785078713
16660,2009-05-11,"5/11/2009",2009,1692.9,"Cougar",2009.44678302533
15238,2005-06-19,"6/19/2005",2005,1692.6,"Cougar",2005.55201916496
11231,1994-06-30,"6/30/1994",1994,1692.4,"Cougar",1994.58213552361
3559,1973-06-28,"6/28/1973",1973,1689.8,"Cougar",1973.57665982204
1723,1968-06-18,"6/18/1968",1968,1689.7,"Cougar",1968.54928131417
5407,1978-07-20,"7/20/1978",1978,1689,"Cougar",1978.63809034908
20700,2020-06-03,"6/3/2020",2020,1688.33,"Cougar",2020.50821355236
19944,2018-05-09,"5/9/2018",2018,1688.15,"Cougar",2018.44130732375
15930,2007-05-12,"5/12/2007",2007,1686.3,"Cougar",2007.44952087611
8651,1987-06-07,"6/7/1987",1987,1682.7,"Cougar",1987.51916495551
18150,2013-06-09,"6/9/2013",2013,1674.4,"Cougar",2013.52464065708
10470,1992-05-30,"5/30/1992",1992,1669.4,"Cougar",1992.49880219028
13791,2001-07-03,"7/3/2001",2001,1657.7,"Cougar",2001.59154688569
21059,2021-05-28,"5/28/2021",2021,1651.61,"Cougar",2021.49332648871
22032,2024-01-31,"1/31/2024",2024,1645.42,"Cougar",2024.16820670773
22375,2025-01-08,"1/8/2025",2025,1642.87,"Cougar",2025.10523613963
21484,2022-07-27,"7/27/2022",2022,1641.16,"Cougar",2022.65725530459
18629,2014-10-01,"10/1/2014",2015,1631.3,"Cougar",2014.83607118412
21808,2023-06-20,"6/20/2023",2023,1613.42,"Cougar",2023.55475701574
13881,2001-10-01,"10/1/2001",2002,1593.7,"Cougar",2001.83607118412
19278,2016-07-12,"7/12/2016",2016,1583.56,"Cougar",2016.61618754278
14639,2003-10-29,"10/29/2003",2004,1510.8,"Cougar",2003.91273100616
14423,2003-03-27,"3/27/2003",2003,1474.1,"Cougar",2003.32392197125
