Percent_Time_Exceedance,Elev_ft_88,Project,Operations
0.0054028,"1,700.10",Cougar,Observed
0.0108056,"1,700.00",Cougar,Observed
0.0162083,"1,699.40",Cougar,Observed
0.0216111,"1,699.40",Cougar,Observed
0.0270139,"1,699.40",Cougar,Observed
0.0324167,"1,699.40",Cougar,Observed
0.0378194,"1,699.40",Cougar,Observed
0.0432222,"1,699.40",Cougar,Observed
0.048625,"1,699.40",Cougar,Observed
0.0540278,"1,699.40",Cougar,Observed
0.0594305,"1,699.40",Cougar,Observed
0.0648333,"1,699.40",Cougar,Observed
0.0702361,"1,699.40",Cougar,Observed
0.0756389,"1,699.40",Cougar,Observed
0.0810417,"1,699.40",Cougar,Observed
0.0864444,"1,699.40",Cougar,Observed
0.0918472,"1,699.40",Cougar,Observed
0.09725,"1,699.40",Cougar,Observed
0.10265,"1,699.40",Cougar,Observed
0.10806,"1,699.40",Cougar,Observed
0.11346,"1,699.40",Cougar,Observed
0.11886,"1,699.30",Cougar,Observed
0.12426,"1,699.30",Cougar,Observed
0.12967,"1,699.30",Cougar,Observed
0.13507,"1,699.20",Cougar,Observed
0.14047,"1,699.00",Cougar,Observed
0.14587,"1,699.00",Cougar,Observed
0.15128,"1,698.90",Cougar,Observed
0.15668,"1,698.90",Cougar,Observed
0.16208,"1,698.90",Cougar,Observed
0.16749,"1,698.90",Cougar,Observed
0.17289,"1,698.80",Cougar,Observed
0.17829,"1,698.70",Cougar,Observed
0.18369,"1,698.40",Cougar,Observed
0.1891,"1,698.20",Cougar,Observed
0.1945,"1,698.00",Cougar,Observed
0.1999,"1,698.00",Cougar,Observed
0.20531,"1,697.70",Cougar,Observed
0.21071,"1,697.60",Cougar,Observed
0.21611,"1,697.40",Cougar,Observed
0.22151,"1,697.30",Cougar,Observed
0.22692,"1,697.10",Cougar,Observed
0.23232,"1,696.90",Cougar,Observed
0.23772,"1,696.80",Cougar,Observed
0.24312,"1,696.80",Cougar,Observed
0.24853,"1,696.80",Cougar,Observed
0.25393,"1,696.80",Cougar,Observed
