Probability,January,February,March,April,May,June,July,August,September,October,November,December
0.999,1509.38,1509.38,1514.98,1522.38,1521.56,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.998,1509.38,1509.38,1516.77,1522.38,1522.24,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.997,1509.38,1509.38,1521.93,1522.64,1522.92,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.996,1509.38,1509.38,1522.42,1523.39,1523.16,1510.22,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.995,1509.38,1509.38,1522.78,1523.94,1523.38,1511.34,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.994,1509.48,1509.38,1522.84,1524.29,1523.44,1512.19,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.993,1509.58,1509.38,1522.98,1524.38,1523.58,1512.88,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.992,1509.58,1509.38,1522.98,1524.38,1523.68,1513.53,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.991,1509.68,1509.48,1523.18,1524.38,1523.68,1513.98,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.99,1509.68,1509.48,1523.28,1524.38,1523.78,1514.44,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.98,1519.19,1523.38,1524.08,1524.38,1524.18,1517.86,1509.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.97,1521.29,1523.98,1524.28,1524.38,1524.38,1519.78,1511.28,1509.38,1509.38,1509.38,1509.38,1509.38
0.96,1522.58,1524.08,1524.38,1524.38,1524.38,1521.43,1513.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.95,1524.18,1524.18,1524.38,1524.38,1524.38,1522.98,1514.90,1509.38,1509.38,1509.38,1509.38,1509.38
0.94,1525.52,1524.28,1524.38,1524.38,1524.38,1524.29,1516.38,1509.38,1509.38,1509.38,1509.38,1509.38
0.93,1526.98,1524.38,1524.38,1524.38,1524.38,1526.11,1517.40,1510.88,1509.38,1509.38,1509.38,1509.38
0.92,1529.40,1524.38,1524.38,1524.38,1524.38,1531.18,1521.50,1512.88,1509.38,1509.38,1509.38,1509.38
0.91,1531.01,1524.38,1524.38,1524.38,1524.38,1533.85,1527.43,1514.08,1509.38,1509.38,1509.38,1509.38
0.9,1532.11,1524.38,1524.38,1524.38,1524.38,1536.16,1529.88,1515.18,1509.38,1509.38,1509.38,1509.38
0.8,1536.38,1524.38,1524.38,1524.38,1524.38,1553.88,1555.94,1546.98,1536.54,1522.28,1509.38,1509.38
0.7,1536.38,1524.38,1524.38,1524.38,1525.08,1563.08,1567.37,1558.85,1548.36,1538.38,1509.38,1510.78
0.6,1536.38,1524.38,1524.38,1524.38,1526.38,1574.14,1582.30,1576.18,1565.40,1544.20,1509.68,1514.58
0.5,1538.58,1524.48,1524.38,1524.58,1529.78,1584.68,1593.98,1590.43,1579.88,1551.88,1513.28,1520.98
0.4,1543.28,1526.20,1524.68,1525.08,1538.58,1594.92,1607.16,1602.48,1598.68,1559.56,1517.08,1532.06
0.3,1547.48,1531.78,1525.58,1525.98,1549.18,1608.81,1621.78,1620.89,1613.28,1569.78,1520.98,1539.28
0.2,1552.88,1544.28,1529.48,1528.40,1561.52,1623.18,1646.18,1646.12,1623.92,1584.38,1526.78,1547.98
0.1,1564.55,1559.56,1550.88,1543.08,1576.95,1641.59,1664.32,1658.68,1636.58,1597.98,1532.88,1559.12
0.09,1567.35,1562.34,1554.75,1545.08,1578.98,1643.38,1667.15,1659.55,1637.68,1599.55,1534.48,1560.88
0.08,1570.86,1564.98,1558.83,1550.26,1581.86,1646.98,1669.18,1660.68,1638.88,1601.18,1534.48,1562.68
0.07,1573.74,1569.96,1566.04,1559.42,1586.11,1649.35,1673.02,1661.98,1640.78,1602.98,1535.45,1565.32
0.06,1578.63,1574.48,1573.46,1564.60,1589.46,1652.58,1674.88,1662.98,1642.57,1604.68,1539.78,1568.56
0.05,1586.52,1577.92,1584.24,1577.00,1593.97,1655.39,1675.98,1664.57,1643.99,1606.37,1545.78,1572.27
0.04,1597.96,1584.89,1596.27,1583.68,1598.32,1657.98,1676.88,1665.18,1645.51,1607.78,1550.00,1579.18
0.03,1608.94,1588.55,1606.54,1592.17,1603.25,1662.78,1678.18,1667.78,1647.18,1609.78,1555.58,1586.57
0.02,1619.97,1604.85,1620.97,1607.02,1608.58,1667.07,1682.68,1669.18,1648.98,1612.57,1560.47,1599.33
0.01,1637.57,1620.28,1638.38,1626.83,1616.27,1680.44,1687.88,1671.68,1651.06,1617.08,1571.36,1625.77
0.009,1638.37,1621.52,1639.54,1627.58,1617.78,1681.94,1688.54,1671.68,1651.31,1617.81,1573.21,1628.24
0.008,1641.00,1624.00,1640.40,1627.93,1618.18,1682.95,1688.69,1671.80,1651.65,1618.40,1575.82,1628.94
0.007,1644.06,1625.48,1640.89,1629.83,1619.68,1684.02,1689.18,1672.38,1651.82,1619.76,1577.29,1631.51
0.006,1647.40,1626.70,1641.39,1631.82,1620.32,1685.17,1689.88,1672.38,1651.98,1628.66,1581.27,1633.59
0.005,1648.58,1628.11,1642.97,1632.64,1622.06,1686.14,1689.98,1672.97,1652.16,1635.37,1584.25,1636.08
0.004,1650.88,1631.34,1644.58,1633.66,1622.77,1687.76,1690.48,1672.98,1652.77,1637.77,1588.59,1640.19
0.003,1654.05,1633.53,1645.92,1635.30,1624.12,1689.94,1691.18,1672.98,1652.98,1640.93,1594.72,1658.32
0.002,1656.71,1636.88,1646.86,1636.46,1625.96,1693.43,1691.70,1673.68,1652.98,1644.23,1602.43,1670.18
0.001,1662.81,1639.15,1647.18,1637.48,1628.82,1694.38,1692.42,1673.68,1653.08,1647.36,1616.09,1678.09
