Probability,January,February,March,April,May,June,July,August,September,October,November,December
0.999,"1,400.22","1,450.34","1,449.86","1,450.20","1,400.02","1,399.15","1,399.20","1,399.36","1,399.20","1,399.40","1,399.05","1,399.70"
0.998,"1,400.30","1,450.40","1,449.92","1,450.20","1,400.10","1,399.20","1,399.20","1,399.40","1,399.30","1,399.40","1,399.30","1,399.93"
0.997,"1,400.37","1,450.40","1,450.07","1,450.26","1,400.32","1,399.20","1,399.20","1,399.40","1,399.30","1,399.40","1,399.45","1,400.10"
0.996,"1,400.40","1,450.48","1,450.20","1,450.40","1,403.36","1,399.21","1,399.20","1,399.43","1,399.40","1,399.42","1,399.50","1,400.13"
0.995,"1,400.49","1,450.50","1,450.47","1,450.40","1,408.10","1,399.30","1,399.29","1,399.50","1,399.40","1,399.50","1,399.55","1,400.20"
0.994,"1,400.90","1,450.50","1,450.55","1,450.40","1,412.69","1,399.32","1,399.30","1,399.50","1,399.40","1,399.50","1,399.60","1,400.30"
0.993,"1,401.00","1,450.50","1,450.61","1,450.40","1,417.49","1,399.40","1,399.30","1,399.50","1,399.47","1,399.59","1,399.65","1,400.49"
0.992,"1,401.06","1,450.50","1,450.76","1,450.40","1,422.48","1,399.40","1,399.30","1,399.50","1,399.50","1,399.60","1,399.70","1,400.50"
0.991,"1,401.49","1,450.60","1,450.90","1,450.48","1,426.92","1,399.40","1,399.32","1,399.50","1,399.50","1,399.60","1,399.90","1,400.70"
0.99,"1,401.88","1,450.60","1,450.90","1,450.50","1,431.42","1,399.50","1,399.40","1,399.50","1,399.50","1,399.60","1,399.90","1,400.70"
0.98,"1,450.22","1,450.98","1,451.40","1,450.80","1,450.40","1,450.10","1,450.16","1,450.26","1,450.20","1,450.20","1,449.21","1,450.16"
0.97,"1,451.28","1,452.20","1,452.04","1,451.69","1,450.90","1,450.50","1,451.14","1,450.60","1,450.70","1,450.80","1,450.80","1,452.29"
0.96,"1,467.54","1,504.76","1,458.12","1,463.73","1,451.44","1,450.60","1,451.60","1,452.02","1,451.22","1,451.20","1,451.10","1,462.39"
0.95,"1,479.20","1,513.00","1,480.90","1,496.05","1,453.20","1,451.10","1,452.20","1,453.10","1,453.38","1,451.95","1,452.40","1,473.16"
