Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,78.6290728,36.44828589,165.5040895,78.6290728,35.551087,164.1680294
-6.190430798,76.16441927,35.95013216,157.4890106,76.16441927,35.02149859,156.1983177
-6.14492758,74.45504227,35.57680652,152.03097,74.45504227,34.64582435,150.771851
-6.109410192,73.15123342,35.28700103,147.9234578,73.15123342,34.35447119,146.6887077
-6.080243717,72.10000639,35.05006874,144.6468874,72.10000639,34.11645427,143.4316897
-6.055479517,71.22099196,34.849641,141.9311902,71.22099196,33.91522466,140.732379
-6.033949594,70.46671115,34.67594361,139.6184412,70.46671115,33.74092581,138.4337171
-6.014898008,69.80683903,34.5226741,137.6085546,69.80683903,33.58719431,136.4361728
-5.88419335,65.46538009,33.48210939,124.6966626,65.46538009,32.54525243,123.6058976
-5.816757739,63.3464767,32.9527469,118.5925488,63.3464767,32.01635446,117.5418437
-5.768458305,61.87693591,32.57675345,114.4357494,61.87693591,31.64116635,113.4129126
-5.730728869,60.75603166,32.2848779,111.307484,60.75603166,31.3501904,110.3059221
-5.699726202,59.85229735,32.04624775,108.8120802,59.85229735,31.1124716,107.8276955
-5.673388788,59.09659488,31.84438291,106.7665505,59.09659488,30.91150284,105.8647219
-5.650480454,58.4481274,31.66944082,105.0271313,58.4481274,30.73742902,104.2035383
-5.630200741,57.8808395,31.51507055,103.5151038,57.8808395,30.58389636,102.7584215
-5.490851752,54.14845492,30.46701683,93.7924968,54.14845492,29.54328733,93.44070141
-5.418801167,52.32682381,29.92346594,89.19037884,52.32682381,29.01506492,89.01410909
-5.36712864,51.0634491,29.53535475,86.05416022,51.0634491,28.64035712,85.99120567
-5.326723886,50.09980012,29.23431123,83.70528304,50.09980012,28.34975227,83.68641108
-5.293495799,49.32285369,28.98834004,81.86282589,49.32285369,28.1152078,81.78086794
-5.265248311,48.67317112,28.78037384,80.3341977,48.67317112,27.92805681,80.20145824
-5.240663789,48.11568061,28.60022493,79.03125026,48.11568061,27.76573551,78.85636148
-5.218888582,47.62797936,28.441322,77.89806655,47.62797936,27.6224008,77.68738152
-5.06895775,44.41922414,27.36403418,70.59831626,44.41922414,26.64676885,70.17697229
-4.99121714,42.85315615,26.81700419,67.13466328,42.85315615,26.14875362,66.62601435
-4.935367445,41.76702493,26.42887741,64.77100554,41.76702493,25.79433532,64.20770958
-4.891638476,40.93856957,26.12782118,62.98944156,40.93856957,25.51881335,62.38768837
-4.855637585,40.27062358,25.88183918,61.56655018,40.27062358,25.29329665,60.93581119
-4.825004652,39.7120873,25.67386353,60.38601559,39.7120873,25.09379365,59.7324168
-4.798322513,39.23280897,25.49370619,59.37976549,39.23280897,24.88798355,58.70754731
-4.77467243,38.81352892,25.33389724,58.50461798,38.81352892,24.70705706,57.81686343
-4.611382362,36.05494019,24.24594544,52.86699799,36.05494019,23.68506775,52.0943637
-4.526389321,34.70858024,23.69390657,50.01534349,34.70858024,23.18460689,49.38869054
-4.465183916,33.77482504,23.30239113,48.07197253,33.77482504,22.82853499,47.54603024
-4.417173413,33.06259542,22.99880066,46.61251745,33.06259542,22.55177725,46.15922973
-4.377587847,32.48835675,22.74596339,45.45024932,32.48835675,22.32528134,45.05293692
-4.343861183,32.0081783,22.53037831,44.48825499,32.0081783,22.13352291,44.13597684
-4.314451022,31.59613845,22.34380877,43.66995956,31.59613845,21.96722223,43.35504533
-4.288356537,31.23567949,22.17911822,42.95955055,31.23567949,21.82038654,42.67635809
-4.107479655,28.86409018,20.98439336,38.44161455,28.86409018,20.82124526,38.4323199
-4.012810811,27.70660453,20.37377014,36.36764315,27.70660453,20.31144329,36.27991063
-3.944400084,26.90383806,19.98197555,34.84982428,26.90383806,19.89813192,34.8499336
-3.890591886,26.29151873,19.68949847,33.77211009,26.29151873,19.56438557,33.79314855
-3.846126145,25.79783124,19.45046462,32.92050066,25.79783124,19.29311176,32.95011092
-3.808168264,25.38500804,19.24831943,32.21496886,25.38500804,19.06474216,32.25134605
-3.775011939,25.03076412,19.07317937,31.61965316,25.03076412,18.8676489,31.65623632
-3.745548593,24.72086472,18.90974248,31.11253946,24.72086472,18.69436037,31.13903808
-3.540083799,22.68188205,17.74373685,27.89932085,22.68188205,17.66061196,27.81596378
-3.431614404,21.68668594,17.16150543,26.28658917,21.68668594,17.12921639,26.24464271
-3.352794781,20.99644632,16.75050159,25.1910109,20.99644632,16.69842983,25.17444922
-3.290526731,20.46993688,16.42396505,24.36863767,20.46993688,16.40543493,24.36765048
-3.238880118,20.04541724,16.17803259,23.72170575,20.04541724,16.15145623,23.7263738
-3.194651054,19.69041814,15.96946268,23.19138131,19.69041814,15.94957461,23.1937272
-3.155906758,19.38578088,15.78916489,22.75924479,19.38578088,15.76711146,22.76563504
-3.121389149,19.11926763,15.63391409,22.38678952,19.11926763,15.6015307,22.400454
-2.878161739,17.36537507,14.55941231,19.84199816,17.36537507,14.54772876,19.8520128
-2.747781385,16.50895141,14.01823276,18.65344047,16.50895141,13.98896652,18.66682431
-2.652069808,15.91471874,13.62678529,17.82594909,15.91471874,13.61649394,17.88673101
-2.575829304,15.46125885,13.32779039,17.2157639,15.46125885,13.32265361,17.34578642
