Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,73.42773792,38.09856381,162.1641808,73.42773792,38.33805406,163.1674077
-6.190430798,71.129624,37.35981643,154.0312281,71.129624,37.63430804,155.395619
-6.14492758,69.53616606,36.83758792,148.5035559,69.53616606,37.14908473,150.0992064
-6.109410192,68.32098187,36.43520304,144.3494609,68.32098187,36.77430378,146.0706303
-6.080243717,67.34134112,36.10816351,141.0396118,67.34134112,36.4691112,142.6168786
-6.055479517,66.52225993,35.83286515,138.2988276,66.52225993,36.21179221,139.7595088
-6.033949594,65.81947703,35.59528232,135.9666399,65.81947703,35.98940839,137.3294924
-6.014898008,65.20472406,35.38640447,133.9412707,65.20472406,35.79367336,135.2205941
-5.88419335,61.16129699,33.98710068,121.075684,61.16129699,34.4696366,121.7346338
-5.816757739,59.18865981,33.28762947,115.1270169,59.18865981,33.76378779,115.3987689
-5.768458305,57.82086784,32.79580708,111.0919322,57.82086784,33.26722596,111.1757361
-5.730728869,56.77775015,32.416849,107.9712522,56.77775015,32.88447125,108.2368947
-5.699726202,55.93684437,32.11583693,105.4961013,55.93684437,32.5732908,105.8901452
-5.673388788,55.2337572,31.88205139,103.4460686,55.2337572,32.31127595,103.9434074
-5.650480454,54.63049882,31.67999398,101.7012546,54.63049882,32.08510833,102.2842866
-5.630200741,54.10280124,31.50211731,100.1857172,54.10280124,31.88622863,100.8414968
-5.490851752,50.63193131,30.30478293,90.4789392,50.63193131,30.55297544,91.55098099
-5.418801167,48.93860208,29.7024495,85.98594756,48.93860208,29.88590319,87.14507324
-5.36712864,47.76447393,29.27735912,82.92695145,47.76447393,29.41660921,84.13932126
-5.326723886,46.86904588,28.94891982,80.62520845,46.86904588,29.05486512,81.87429963
-5.293495799,46.1471971,28.66874977,78.78933672,46.1471971,28.76076077,80.05112084
-5.265248311,45.54365254,28.43118869,77.26786075,45.54365254,28.51311975,78.47324297
-5.240663789,45.02580054,28.22602904,75.97223648,45.02580054,28.29935599,77.13022125
-5.218888582,44.57281209,28.04554519,74.84635183,44.57281209,28.11138082,75.96362939
-5.06895775,41.59330843,26.87162463,67.61504792,41.59330843,26.98286531,68.48206139
-4.99121714,40.1396866,26.29288291,64.22825727,40.1396866,26.41409449,64.95329355
-4.935367445,39.13176193,25.88393565,61.93368906,39.13176193,26.01214782,62.55343168
-4.891638476,38.3630827,25.56768449,60.20590677,38.3630827,25.70127857,60.74913455
-4.855637585,37.74341028,25.30990373,58.82704631,37.74341028,25.44786106,59.31096703
-4.825004652,37.22529486,25.08803229,57.68378157,37.22529486,25.2165998,58.11973742
-4.798322513,36.78074149,24.89617083,56.70983568,36.78074149,25.0166287,57.10581131
-4.77467243,36.39186981,24.72724485,55.86319014,36.39186981,24.84072428,56.2250806
-4.611382362,33.83407035,23.58956898,50.4185409,33.83407035,23.65997832,50.57560472
-4.526389321,32.58617378,23.01687709,47.81161957,32.58617378,23.06817532,47.91260896
-4.465183916,31.72089126,22.61256537,46.00819593,31.72089126,22.65139795,46.10075895
