Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,58.85047697,35.24374923,160.3381437,58.85047697,35.63623721,155.4186601
-6.190430798,57.15404768,34.64667921,152.1286557,57.15404768,34.95721187,147.5201914
-6.14492758,55.97742236,34.22470507,146.5541997,55.97742236,34.48005259,142.1554928
-6.109410192,55.07984173,33.8983211,142.3680627,55.07984173,34.11253795,138.1257909
-6.080243717,54.35607261,33.63228135,139.0342339,54.35607261,33.81391649,134.9161775
-6.055479517,53.75077937,33.40776178,136.2749119,53.75077937,33.5625992,132.2592962
-6.033949594,53.23131203,33.21357802,133.9278969,53.23131203,33.34574847,129.99905
-6.014898008,52.77676163,33.042555,131.890244,52.77676163,33.15512324,128.03662
-5.88419335,49.78474549,31.88898266,118.8487545,49.78474549,31.87856957,115.4717105
-5.816757739,48.32295056,31.30716159,112.7140967,48.32295056,31.24065603,109.5582276
-5.768458305,47.3083982,30.89594724,108.5483989,47.3083982,30.79214256,105.5415517
-5.730728869,46.53405042,30.5778915,105.4200417,46.53405042,30.4787102,102.5244283
-5.699726202,45.90939422,30.31860565,102.9394992,45.90939422,30.22823393,100.1644004
-5.673388788,45.38681436,30.09979381,100.8964684,45.38681436,30.01671858,98.25098549
-5.650480454,44.93819147,29.91055315,99.1582051,44.93819147,29.83368615,96.62152175
-5.630200741,44.54557527,29.74386297,97.6488355,44.54557527,29.67238556,95.20553587
-5.490851752,41.95832732,28.61951707,87.98126496,41.95832732,28.58247435,86.11122399
-5.418801167,40.69255948,28.05238819,83.42920428,40.69255948,28.03144571,81.81324226
-5.36712864,39.81332098,27.65153939,80.33642823,39.81332098,27.64146378,78.88690664
-5.326723886,39.14183808,27.34148974,78.01284172,39.14183808,27.33952832,76.68495577
-5.293495799,38.59988583,27.07979369,76.16181205,38.59988583,27.07532808,74.92866012
-5.265248311,38.1462946,26.85589313,74.62932983,38.1462946,26.84613478,73.47311812
-5.240663789,37.75675776,26.66244114,73.32546994,37.75675776,26.64820206,72.23364276
-5.218888582,37.41573907,26.49218801,72.19329024,37.41573907,26.47407645,71.1565449
-5.06895775,35.16573815,25.34736088,64.94151372,35.16573815,25.30494417,64.23867609
-4.99121714,34.06310238,24.77224523,61.52688004,34.06310238,24.71876634,60.96927973
-4.935367445,33.29640314,24.35925175,59.20687192,33.29640314,24.30588134,58.74327863
-4.891638476,32.71041929,24.03956174,57.46384582,32.71041929,23.98733155,57.06829439
