Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,76.6501183,40.9329929,193.8744372,76.6501183,41.41034354,194.199425
-6.190430798,74.09679501,40.19837172,183.1935132,74.09679501,40.60993057,183.5407271
-6.14492758,72.33095243,39.65572078,175.9701079,72.33095243,40.04651779,176.3308269
-6.109410192,70.98691446,39.23428115,170.5616051,70.98691446,39.61203293,170.9316231
-6.080243717,69.90498264,38.89143632,166.26465,69.90498264,39.25866657,166.6415435
-6.055479517,69.0015635,38.60260541,162.7151222,69.0015635,38.96104111,163.097344
-6.033949594,68.22719264,38.34743754,159.7008962,68.22719264,38.7040684,160.0873877
-6.014898008,67.5504528,38.12268483,157.0879133,67.5504528,38.47804951,157.4779271
-5.88419335,63.11441978,36.61544881,140.4516408,63.11441978,36.96161973,140.8595936
-5.816757739,60.95994449,35.86098439,132.6811679,60.95994449,36.21434166,133.0947227
-5.768458305,59.46991997,35.33007246,127.4260207,59.46991997,35.71041648,127.8422829
-5.730728869,58.33573348,34.92075246,123.4912544,58.33573348,35.25512474,123.9089588
-5.699726202,57.42279644,34.58792229,120.3651455,57.42279644,34.91979273,120.7836199
-5.673388788,56.66043734,34.3076382,117.7828103,56.66043734,34.63735679,118.2016681
-5.650480454,56.00702024,34.0656742,115.6027365,56.00702024,34.39349998,116.0089038
-5.630200741,55.43597822,33.85288296,113.7268248,55.43597822,34.17901613,114.10791
-5.490851752,51.69270276,32.36519106,101.7707308,51.69270276,32.73998619,102.0013898
-5.418801167,49.87466897,31.5775271,96.17839588,49.87466897,32.01922254,96.34465669
-5.36712864,48.61732234,31.02552291,92.3932666,48.61732234,31.51184899,92.51825312
-5.326723886,47.66025062,30.60123061,89.55747263,47.66025062,31.12057954,89.65281378
-5.293495799,46.88987113,30.25704972,87.30342085,46.88987113,30.80235979,87.37600434
-5.265248311,46.24655515,29.96778403,85.44071411,46.24655515,30.53433639,85.49504382
-5.240663789,45.6951695,29.71848975,83.85838899,45.6951695,30.30292227,83.90002223
-5.218888582,45.21329847,29.4995761,82.48630156,45.21329847,30.09938316,82.58724297
-5.06895775,42.05452298,28.14881658,73.8375082,42.05452298,28.73377739,74.18750152
-4.99121714,40.52035973,27.49825019,69.80800543,40.52035973,28.04978681,70.23790604
-4.935367445,39.45933329,27.03986801,67.0772334,39.45933329,27.56829806,67.4758753
-4.891638476,38.65169511,26.68613815,65.02946114,38.65169511,27.19698926,65.27510164
-4.855637585,38.00159835,26.39829394,63.40057737,38.00159835,26.89500323,63.52918194
-4.825004652,37.45872546,26.1557458,61.98357764,37.45872546,26.64065249,62.18216796
-4.798322513,36.99342849,25.94624691,60.77616347,36.99342849,26.42104326,61.04373702
-4.77467243,36.58679215,25.76192135,59.73018205,36.58679215,26.22788681,60.0558888
-4.611382362,33.92118453,24.52371601,53.0865613,33.92118453,24.83486529,53.74430055
-4.526389321,32.62653587,23.90253701,50.04339197,32.62653587,24.12403373,50.78230983
-4.465183916,31.73115395,23.5300038,47.99357276,31.73115395,23.62625906,48.7737011
-4.417173413,31.04959993,23.24759623,46.4593302,31.04959993,23.27380392,47.25191264
-4.377587847,30.50099142,22.98212912,45.24075079,30.50099142,23.0588331,45.98324743
-4.343861183,30.04286681,22.74315498,44.2367471,30.04286681,22.81613022,44.93611203
-4.314451022,29.65020692,22.53348433,43.40721594,29.65020692,22.59314271,44.04751362
-4.288356537,29.30704963,22.34917293,42.68766246,29.30704963,22.39736472,43.27767501
-4.107479655,27.05754816,21.09990676,38.1945267,27.05754816,21.09231837,38.38693313
-4.012810811,25.96498464,20.45045788,36.11498877,25.96498464,20.44950823,36.20007615
-3.944400084,25.20935932,20.0022441,34.70152233,25.20935932,19.99025881,34.62260479
-3.890591886,24.6341824,19.66051626,33.63926428,24.6341824,19.64143511,33.44245663
-3.846126145,24.1711979,19.38314722,32.79283142,24.1711979,19.35855092,32.50872785
-3.808168264,23.78457273,19.14991959,32.09191788,23.78457273,19.12085663,31.75535104
-3.775011939,23.45319332,18.94611826,31.4954615,23.45319332,18.91604676,31.11603337
-3.745548593,23.16358929,18.76667723,30.97745899,23.16358929,18.7362275,30.56215727
-3.540083799,21.26509516,17.5697967,27.6346236,21.26509516,17.53753229,27.21877713
-3.431614404,20.34296477,16.97493021,26.03042801,20.34296477,16.94223092,25.71062662
-3.352794781,19.7051829,16.55506133,24.93207069,19.7051829,16.52521188,24.6954437
-3.290526731,19.21968579,16.22731664,24.10893481,19.21968579,16.20476882,23.93094623
-3.238880118,18.82887108,15.96176302,23.45448941,18.82887108,15.94488837,23.32078339
-3.194651054,18.5024985,15.73879322,22.91354566,18.5024985,15.72651296,22.8148338
-3.155906758,18.22274984,15.54678882,22.45393375,18.22274984,15.53834059,22.38378355
-3.121389149,17.9782571,15.38002606,22.05531531,17.9782571,15.37542004,22.00904741
-2.878161739,16.37512831,14.22868032,19.55076936,16.37512831,14.21441278,19.5729393
-2.747781385,15.59609848,13.66367307,18.31157979,15.59609848,13.64352828,18.32090027
-2.652069808,15.05705877,13.29734684,17.49414715,15.05705877,13.25029325,17.56674191
-2.575829304,14.64655131,13.01415318,16.89827159,14.64655131,12.93761983,16.95317484
-2.512144328,14.31596053,12.78071952,16.41711086,14.31596053,12.69526773,16.43973464
-2.45726339,14.03976363,12.58363234,16.01361357,14.03976363,12.5030164,16.04982511
-2.408915546,13.80292176,12.40597373,15.68309705,13.80292176,12.33681387,15.71671177
-2.365618127,13.59584001,12.24320923,15.3981971,13.59584001,12.19045988,15.41967302
-2.053748911,12.2349662,11.18799254,13.49903619,12.2349662,11.13225085,13.57221619
-1.880793608,11.57053362,10.64560392,12.62504682,11.57053362,10.59238271,12.7058216
-1.750686071,11.10874951,10.27495109,12.01626641,11.10874951,10.21669888,12.13900102
-1.644853627,10.75550333,9.996297739,11.60018529,10.75550333,9.939457461,11.70334905
-1.554773595,10.46973918,9.767821763,11.26223274,10.46973918,9.719572063,11.32775741
-1.475791028,10.22989938,9.566315943,10.96342765,10.22989938,9.519409246,11.02671771
