Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
2.053748911,5.373750616,5.141398499,5.567560957,5.373750616,5.139004062,5.565533798
1.880793608,5.499516662,5.276692487,5.694404879,5.499516662,5.271000955,5.693504296
1.750686071,5.59949209,5.378687119,5.797468398,5.59949209,5.375350616,5.795335558
1.644853627,5.684422525,5.469217046,5.882739415,5.684422525,5.467501602,5.882845118
1.554773595,5.759389051,5.549167588,5.96043228,5.759389051,5.548968415,5.96067098
1.475791028,5.82723219,5.619088575,6.032384098,5.82723219,5.617850695,6.032476389
1.40507156,5.889715191,5.682633594,6.100758818,5.889715191,5.680445033,6.101094349
1.340755034,5.948014701,5.742139993,6.163319257,5.948014701,5.73876279,6.163617655
0.841621234,6.453361871,6.276152587,6.679925516,6.453361871,6.273254882,6.680552867
0.524400513,6.830968267,6.645803161,7.064085056,6.830968267,6.645329377,7.077283053
0.253347103,7.195404962,6.979879496,7.440188972,7.195404962,6.979566321,7.461341056
-0.253347103,8.002329356,7.706993134,8.308977453,8.002329356,7.691915214,8.338518437
-0.524400513,8.515258545,8.148741313,8.871016519,8.515258545,8.133277174,8.890123355
-0.841621234,9.203155423,8.736260014,9.643917881,9.203155423,8.703943891,9.656327406
-1.340755034,10.51804169,9.878378742,11.17351241,10.51804169,9.77012705,11.18933976
-1.40507156,10.71150152,10.04071077,11.41905947,10.71150152,9.924990329,11.42662066
-1.475791028,10.93124665,10.22333148,11.68414068,10.93124665,10.10551637,11.70493464
-1.554773595,11.18567385,10.43433148,12.0005119,11.18567385,10.30937163,12.01317223
-1.644853627,11.48790408,10.67155772,12.34747653,11.48790408,10.54663343,12.38579508
-1.750686071,11.860126,10.95422838,12.78832241,11.860126,10.84484583,12.84357462
-1.880793608,12.34442099,11.31690278,13.39998089,12.34442099,11.23311719,13.43827889
-2.053748911,13.03672,11.82789724,14.30629755,13.03672,11.7846299,14.3241953
-2.365618127,14.43843637,12.90143671,16.1986272,14.43843637,12.88056114,16.22794527
