Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,61.06154586,32.70745855,149.1645756,61.06154586,32.96318335,147.5072653
-6.190430798,59.05587486,32.09035153,141.2558648,59.05587486,32.34295231,139.7990201
-6.14492758,57.66762452,31.65539333,135.8950234,57.66762452,31.852931,134.5699002
-6.109410192,56.61027439,31.31966514,131.8743855,56.61027439,31.47581196,130.6457291
-6.080243717,55.75877041,31.04641671,128.6758812,55.75877041,31.16960452,127.5224363
-6.055479517,55.0474289,30.81612712,126.0307596,55.0474289,30.91203534,124.9385687
-6.033949594,54.43753095,30.6171926,123.7824454,54.43753095,30.68990189,122.7415699
-6.014898008,53.90436642,30.44213833,121.8318104,53.90436642,30.49472632,120.8349145
-5.88419335,50.40560125,29.26571533,109.3049587,50.40560125,29.18994285,108.646929
-5.816757739,48.70388266,28.67519385,103.4240442,48.70388266,28.59342948,102.9234042
-5.768458305,47.52600955,28.25897975,99.43937651,47.52600955,28.17755397,99.04066421
-5.730728869,46.62888755,27.93771168,96.46000687,46.62888755,27.8565452,96.12685934
-5.699726202,45.90641566,27.67623182,94.10254989,45.90641566,27.59527522,93.80772104
-5.673388788,45.30286191,27.45586364,92.15295513,45.30286191,27.37508303,91.8891196
-5.650480454,44.78538203,27.26549615,90.49577711,44.78538203,27.18417742,90.2577738
-5.630200741,44.33300707,27.09798292,89.05799337,44.33300707,27.00810969,88.84201487
-5.490851752,41.36437861,25.9755955,79.90261267,41.36437861,25.89260605,79.68589874
-5.418801167,39.92049119,25.4038781,75.62000363,39.92049119,25.32794717,75.34155277
-5.36712864,38.92107355,24.99920001,72.71586745,38.92107355,24.92995795,72.39869663
-5.326723886,38.15986797,24.69612804,70.53708021,38.15986797,24.6227553,70.19259404
-5.293495799,37.54685038,24.44941604,68.80233282,37.54685038,24.37272222,68.43821492
-5.265248311,37.03473572,24.24146391,67.3625664,37.03473572,24.16200017,66.98785337
-5.240663789,36.59565114,24.06179988,66.13871102,36.59565114,23.97996508,65.75538726
-5.218888582,36.21180762,23.90368783,65.08275425,36.21180762,23.81978348,64.68635718
-5.06895775,33.69288552,22.8037202,58.30989194,33.69288552,22.74074514,57.86560717
-4.99121714,32.46771351,22.25072298,55.12963596,32.46771351,22.13059344,54.81868974
-4.935367445,31.61967965,21.834296,52.9735202,31.61967965,21.7417547,52.75590384
-4.891638476,30.97377242,21.54102112,51.35619439,30.97377242,21.44689675,51.20576433
-4.855637585,30.45360553,21.30231478,50.06940248,30.45360553,21.17540826,49.97064368
-4.825004652,30.01905699,21.10113236,49.00516563,30.01905699,20.9457322,48.94345876
-4.798322513,29.64647623,20.92733349,48.1004997,29.64647623,20.74330883,48.03705841
-4.77467243,29.32076899,20.77091237,47.31556218,29.32076899,20.56574772,47.25069916
-4.611382362,27.18334056,19.72154035,42.30193808,27.18334056,19.42134003,42.22990002
-4.526389321,26.14371068,19.21360442,39.96426799,26.14371068,18.88229132,39.93276894
-4.465183916,25.42409976,18.85181212,38.40730061,25.42409976,18.5067203,38.38058134
-4.417173413,24.87600348,18.57124291,37.18833068,24.87600348,18.21758634,37.18467836
-4.377587847,24.43460467,18.33033632,36.28524666,24.43460467,17.9827519,36.23312817
-4.343861183,24.06585789,18.11980838,35.53687283,24.06585789,17.78518272,35.44611426
-4.314451022,23.74969445,17.93838831,34.88745482,23.74969445,17.61476335,34.77707732
-4.288356537,23.47330605,17.77909069,34.3075122,23.47330605,17.46499759,34.19656362
-4.107479655,21.65951009,16.7010749,30.63617929,21.65951009,16.48540691,30.62952744
-4.012810811,20.77727918,16.15882816,28.94351602,20.77727918,16.02020068,28.89792245
-3.944400084,20.16661029,15.7805649,27.78135917,20.16661029,15.67839472,27.71717964
-3.890591886,19.70148633,15.49814563,26.86334197,19.70148633,15.43347011,26.83107312
-3.846126145,19.32690472,15.26904211,26.13377902,19.32690472,15.20390346,26.12579564
-3.808168264,19.01397512,15.0764875,25.53853396,19.01397512,15.01004023,25.52718853
-3.775011939,18.7456675,14.92237416,25.03711376,18.7456675,14.85516315,25.0461894
-3.745548593,18.51111288,14.78234896,24.6020917,18.51111288,14.72020004,24.61562193
-3.540083799,16.97180418,13.85483479,21.84507433,16.97180418,13.76850471,21.8631191
-3.431614404,16.22304135,13.39886297,20.56594529,16.22304135,13.268403,20.58637223
-3.352794781,15.704732,13.09885933,19.68746751,15.704732,12.91927991,19.73895014
-3.290526731,15.3099363,12.86145065,19.02236735,15.3099363,12.6629878,19.12577861
-3.238880118,14.99197801,12.66421637,18.49331307,14.99197801,12.45484785,18.63566311
-3.194651054,14.72634008,12.4865413,18.05583844,14.72634008,12.27749344,18.21347081
-3.155906758,14.49857037,12.32310031,17.69161934,14.49857037,12.12861628,17.87196956
-3.121389149,14.29944513,12.1791333,17.37651608,14.29944513,11.99600233,17.54806229
-2.878161739,12.99234804,11.22284798,15.4028791,12.99234804,11.10832012,15.50109749
-2.747781385,12.35623836,10.75008876,14.48722862,12.35623836,10.66544573,14.52999045
-2.652069808,11.91571827,10.41972284,13.84399505,11.91571827,10.35433152,13.88174215
-2.575829304,11.58002957,10.17478005,13.36415826,11.58002957,10.11474436,13.3785845
-2.512144328,11.30955807,9.972343548,12.96863365,11.30955807,9.920083765,12.98309571
-2.45726339,11.08349569,9.802316946,12.64377486,11.08349569,9.75625231,12.65737327
-2.408915546,10.88957643,9.65588101,12.36849086,10.88957643,9.614879481,12.38034563
-2.365618127,10.71997165,9.527357125,12.13964388,10.71997165,9.490590171,12.14672057
-2.053748911,9.604136102,8.662257062,10.65929708,9.604136102,8.639055077,10.6692457
-1.880793608,9.058523472,8.236907141,9.960776742,9.058523472,8.222788781,9.965604976
-1.750686071,8.678989389,7.937199458,9.452304959,8.678989389,7.924597449,9.469243612
-1.644853627,8.388472724,7.703070533,9.079308385,8.388472724,7.69361793,9.093787047
-1.554773595,8.153332245,7.514818245,8.78765607,8.153332245,7.50410057,8.792984071
-1.475791028,7.955894324,7.362115925,8.547812474,7.955894324,7.342844124,8.581075996
-1.40507156,7.785738814,7.228832831,8.3419377,7.785738814,7.204704056,8.365818668
-1.340755034,7.636213924,7.110486539,8.16166147,7.636213924,7.079557994,8.175337932
-0.841621234,6.626224153,6.261576952,6.970927357,6.626224153,6.257781634,6.977730661
-0.524400513,6.101321453,5.827099627,6.370188037,6.101321453,5.812159209,6.384579971
-0.253347103,5.710698762,5.486161775,5.945932423,5.710698762,5.482472725,5.952934583
0.253347103,5.095381212,4.947987116,5.281364408,5.095381212,4.933592572,5.288644787
0.524400513,4.815962983,4.684720028,4.984890457,4.815962983,4.678185001,4.987618786
0.841621234,4.524296106,4.399646933,4.690883811,4.524296106,4.394914151,4.682951698
1.340755034,4.128079444,3.999414691,4.288933646,4.128079444,3.997306306,4.289991786
1.40507156,4.081743541,3.954019587,4.241760486,4.081743541,3.953184592,4.241323367
1.475791028,4.031899784,3.904215537,4.194313846,4.031899784,3.900669835,4.193138069
1.554773595,3.977549011,3.848360782,4.143737351,3.977549011,3.841651163,4.1430448
1.644853627,3.917187381,3.78655701,4.084724667,3.917187381,3.778542966,4.087292207
1.750686071,3.848379618,3.717023299,4.016442385,3.848379618,3.710974769,4.018262319
1.880793608,3.766741273,3.633597557,3.936687306,3.766741273,3.631804987,3.940344512
2.053748911,3.662919812,3.525054259,3.846452303,3.662919812,3.523422684,3.842377854
