Z,FittedP.450,L95.450,U95.450,FittedP.600,L95.600,U95.600
-6.254027694,55.96146373,36.45378561,160.0803271,55.96146373,36.44508948,156.7558562
-6.190430798,54.24800861,35.65395135,151.5098647,54.24800861,35.64667179,148.4363877
-6.14492758,53.05924233,35.08142713,145.7038172,53.05924233,35.06335815,142.7981053
-6.109410192,52.15229731,34.64146643,141.3511498,52.15229731,34.61532792,138.490443
-6.080243717,51.42093735,34.28464232,137.889508,51.42093735,34.2521033,135.0174692
-6.055479517,50.80930445,33.98479709,135.0276109,50.80930445,33.94698145,132.1483074
-6.033949594,50.28437513,33.72641998,132.5956087,50.28437513,33.68413029,129.7114653
-6.014898008,49.82510748,33.49955252,130.4860408,49.82510748,33.45338968,127.5834129
-5.88419335,46.8022056,32.03782147,117.0250316,46.8022056,31.98417438,114.3062138
-5.816757739,45.32603705,31.34726302,110.7188535,45.32603705,31.30265106,108.2358307
-5.768458305,44.30192337,30.8507034,106.3283948,44.30192337,30.82327188,104.1201575
-5.730728869,43.5205879,30.4662562,103.0129757,43.5205879,30.45380164,101.0328917
-5.699726202,42.89051401,30.15402843,100.3796188,42.89051401,30.15344746,98.57652866
-5.673388788,42.36356571,29.87295085,98.20479085,42.36356571,29.86374559,96.54496444
-5.650480454,41.91133045,29.62980425,96.35828274,41.91133045,29.61230668,94.81799751
-5.630200741,41.51566162,29.41636239,94.75784498,41.51566162,29.39169226,93.31956453
-5.490851752,38.91130837,27.99439226,84.57397854,38.91130837,27.92451958,83.7482943
-5.418801167,37.63949666,27.28877434,79.82095266,37.63949666,27.19817315,79.25815377
-5.36712864,36.75715204,26.789636,76.60790607,36.75715204,26.69028167,76.21388436
-5.326723886,36.08397121,26.39568637,74.2029165,36.08397121,26.30053984,73.93029567
-5.293495799,35.54111006,26.07658647,72.30575785,35.54111006,25.98480093,72.1133738
-5.265248311,35.08709607,25.80872649,70.77036522,35.08709607,25.71959856,70.61067306
-5.240663789,34.69745361,25.57811925,69.46584646,34.69745361,25.49052625,69.33044002
-5.218888582,34.35654684,25.37579991,68.33447354,34.35654684,25.28954189,68.15465783
-5.06895775,32.11260858,24.03073488,61.10709427,32.11260858,23.95946629,60.68070502
-4.99121714,31.01677951,23.37568895,57.57069161,31.01677951,23.31422132,57.19733669
-4.935367445,30.25651686,22.94904077,55.18328848,30.25651686,22.88770261,54.84447274
-4.891638476,29.676473,22.62066303,53.39805847,29.676473,22.53148849,53.08438112
-4.855637585,29.20871529,22.35400398,51.98119029,29.20871529,22.2429156,51.69210403
-4.825004652,28.81751053,22.12969405,50.81177744,28.81751053,22.0006537,50.61606516
-4.798322513,28.48177046,21.93623307,49.81944738,28.48177046,21.79206459,49.70094242
-4.77467243,28.18802277,21.76623668,48.95976489,28.18802277,21.6090472,48.90661124
-4.611382362,26.25446689,20.56954918,43.52151367,26.25446689,20.51814701,43.56067285
-4.526389321,25.31019309,20.05335804,41.00174781,25.31019309,20.01394672,41.0078908
-4.465183916,24.65506809,19.68918905,39.39247346,24.65506809,19.64037763,39.40891093
-4.417173413,24.15523455,19.4078967,38.19896747,24.15523455,19.30643245,38.22748337
-4.377587847,23.75215687,19.17882547,37.24858926,23.75215687,19.03610559,37.28633446
-4.343861183,23.41504453,18.97736403,36.46203908,23.41504453,18.80930449,36.50715585
-4.314451022,23.12572613,18.78366575,35.79302825,23.12572613,18.61413223,35.84422111
-4.288356537,22.87259275,18.6113936,35.21225778,22.87259275,18.44296719,35.26857833
-4.107479655,21.20634529,17.44693446,31.49579399,21.20634529,17.33895532,31.61949209
-4.012810811,20.39259371,16.87194237,29.67251485,20.39259371,16.83642213,29.81439123
-3.944400084,19.8280141,16.48450631,28.42073783,19.8280141,16.46403995,28.5304982
-3.890591886,19.39725732,16.18780118,27.48377016,19.39725732,16.1568689,27.5710263
-3.846126145,19.04988085,15.94457308,26.73955239,19.04988085,15.9082161,26.80990008
-3.808168264,18.75935104,15.74037757,26.12491287,18.75935104,15.69959976,26.18195766
-3.775011939,18.51000863,15.56029596,25.60305795,18.51000863,15.52007666,25.64928787
-3.745548593,18.29184958,15.39832456,25.15074167,18.29184958,15.36263615,25.18796092
-3.540083799,16.8557653,14.32057177,22.26812852,16.8557653,14.31498937,22.27798184
-3.431614404,16.15437192,13.80372867,20.91273366,16.15437192,13.77936368,20.92157929
-3.352794781,15.66771935,13.44285008,19.99509505,15.66771935,13.43551929,20.00283123
-3.290526731,15.29639921,13.17163452,19.3166711,15.29639921,13.16415065,19.35715333
-3.238880118,14.99693943,12.95029195,18.78049138,14.99693943,12.94038452,18.86655729
-3.194651054,14.74647274,12.764137,18.35303884,14.74647274,12.75263929,18.43793015
-3.155906758,14.53150355,12.60235463,18.00492226,14.53150355,12.59106943,18.06497839
-3.121389149,14.34341003,12.45789031,17.70828927,14.34341003,12.45383379,17.74144152
-2.878161739,13.10494178,11.58092427,15.67398108,13.10494178,11.51144568,15.80270526
-2.747781385,12.49976958,11.10286472,14.72241102,12.49976958,11.04713219,14.90344218
-2.652069808,12.07969153,10.76325013,14.0757564,12.07969153,10.71852267,14.28869597
-2.575829304,11.75902684,10.50379991,13.59641502,11.75902684,10.46934778,13.82469177
-2.512144328,11.50030573,10.29436265,13.21557094,11.50030573,10.267546,13.45365628
-2.45726339,11.28381786,10.11903996,12.89713111,11.28381786,10.0940903,13.13621583
-2.408915546,11.09793053,9.968444861,12.62613527,11.09793053,9.942465979,12.84301327
-2.365618127,10.93521189,9.836578047,12.40167,10.93521189,9.810009543,12.58890272
-2.053748911,9.861359655,8.982913822,10.93937939,9.861359655,8.962242212,11.02217619
-1.880793608,9.334097712,8.560756598,10.23682562,9.334097712,8.527964826,10.27058644
-1.750686071,8.966447542,8.264972222,9.749883333,8.966447542,8.233277245,9.804793647
-1.644853627,8.684525295,8.037341884,9.400115322,8.684525295,8.003500128,9.435194125
-1.554773595,8.456015099,7.852102766,9.115684372,8.456015099,7.816521597,9.149597412
