Date_wrong,Date,Elev_NGVD29,Project
10/1/2035,10/1/1935,1309.60,Blue River
10/2/2035,10/2/1935,1307.59,Blue River
10/3/2035,10/3/1935,1306.82,Blue River
10/4/2035,10/4/1935,1306.54,Blue River
10/5/2035,10/5/1935,1305.07,Blue River
10/6/2035,10/6/1935,1303.60,Blue River
10/7/2035,10/7/1935,1301.94,Blue River
10/8/2035,10/8/1935,1300.28,Blue River
10/9/2035,10/9/1935,1298.61,Blue River
10/10/2035,10/10/1935,1296.95,Blue River
10/11/2035,10/11/1935,1295.29,Blue River
10/12/2035,10/12/1935,1293.63,Blue River
10/13/2035,10/13/1935,1291.96,Blue River
10/14/2035,10/14/1935,1290.30,Blue River
10/15/2035,10/15/1935,1288.33,Blue River
10/16/2035,10/16/1935,1286.35,Blue River
10/17/2035,10/17/1935,1284.38,Blue River
10/18/2035,10/18/1935,1282.40,Blue River
10/19/2035,10/19/1935,1280.43,Blue River
10/20/2035,10/20/1935,1278.45,Blue River
10/21/2035,10/21/1935,1276.48,Blue River
10/22/2035,10/22/1935,1274.50,Blue River
10/23/2035,10/23/1935,1271.93,Blue River
10/24/2035,10/24/1935,1269.35,Blue River
10/25/2035,10/25/1935,1266.78,Blue River
10/26/2035,10/26/1935,1264.20,Blue River
10/27/2035,10/27/1935,1261.63,Blue River
10/28/2035,10/28/1935,1259.05,Blue River
10/29/2035,10/29/1935,1256.48,Blue River
10/30/2035,10/30/1935,1253.90,Blue River
10/31/2035,10/31/1935,1250.40,Blue River
11/1/2035,11/1/1935,1246.90,Blue River
11/2/2035,11/2/1935,1243.40,Blue River
11/3/2035,11/3/1935,1239.90,Blue River
11/4/2035,11/4/1935,1236.40,Blue River
11/5/2035,11/5/1935,1232.90,Blue River
11/6/2035,11/6/1935,1229.40,Blue River
11/7/2035,11/7/1935,1223.24,Blue River
11/8/2035,11/8/1935,1217.08,Blue River
11/9/2035,11/9/1935,1210.91,Blue River
11/10/2035,11/10/1935,1204.75,Blue River
11/11/2035,11/11/1935,1198.59,Blue River
11/12/2035,11/12/1935,1192.43,Blue River
11/13/2035,11/13/1935,1186.26,Blue River
11/14/2035,11/14/1935,1180.10,Blue River
11/15/2035,11/15/1935,1180.00,Blue River
11/16/2035,11/16/1935,1180.10,Blue River
11/17/2035,11/17/1935,1180.10,Blue River
11/18/2035,11/18/1935,1180.10,Blue River
11/19/2035,11/19/1935,1180.10,Blue River
11/20/2035,11/20/1935,1180.10,Blue River
11/21/2035,11/21/1935,1180.10,Blue River
11/22/2035,11/22/1935,1180.10,Blue River
11/23/2035,11/23/1935,1180.10,Blue River
11/24/2035,11/24/1935,1180.10,Blue River
11/25/2035,11/25/1935,1180.10,Blue River
11/26/2035,11/26/1935,1180.10,Blue River
11/27/2035,11/27/1935,1180.10,Blue River
11/28/2035,11/28/1935,1180.10,Blue River
11/29/2035,11/29/1935,1180.10,Blue River
11/30/2035,11/30/1935,1180.10,Blue River
12/1/2035,12/1/1935,1180.10,Blue River
12/2/2035,12/2/1935,1180.10,Blue River
12/3/2035,12/3/1935,1180.10,Blue River
12/4/2035,12/4/1935,1180.09,Blue River
12/5/2035,12/5/1935,1180.04,Blue River
12/6/2035,12/6/1935,1180.10,Blue River
12/7/2035,12/7/1935,1180.10,Blue River
12/8/2035,12/8/1935,1180.10,Blue River
12/9/2035,12/9/1935,1180.10,Blue River
12/10/2035,12/10/1935,1180.10,Blue River
12/11/2035,12/11/1935,1180.10,Blue River
12/12/2035,12/12/1935,1180.10,Blue River
12/13/2035,12/13/1935,1180.10,Blue River
12/14/2035,12/14/1935,1180.10,Blue River
12/15/2035,12/15/1935,1180.10,Blue River
12/16/2035,12/16/1935,1180.10,Blue River
12/17/2035,12/17/1935,1180.10,Blue River
12/18/2035,12/18/1935,1180.10,Blue River
12/19/2035,12/19/1935,1180.10,Blue River
12/20/2035,12/20/1935,1180.10,Blue River
12/21/2035,12/21/1935,1180.10,Blue River
12/22/2035,12/22/1935,1180.10,Blue River
12/23/2035,12/23/1935,1180.10,Blue River
12/24/2035,12/24/1935,1180.10,Blue River
12/25/2035,12/25/1935,1180.10,Blue River
12/26/2035,12/26/1935,1180.10,Blue River
12/27/2035,12/27/1935,1180.10,Blue River
12/28/2035,12/28/1935,1180.10,Blue River
12/29/2035,12/29/1935,1180.10,Blue River
12/30/2035,12/30/1935,1180.10,Blue River
12/31/2035,12/31/1935,1180.19,Blue River
1/1/2036,1/1/1936,1180.47,Blue River
1/2/2036,1/2/1936,1216.86,Blue River
1/3/2036,1/3/1936,1214.82,Blue River
1/4/2036,1/4/1936,1239.50,Blue River
1/5/2036,1/5/1936,1238.89,Blue River
1/6/2036,1/6/1936,1227.44,Blue River
1/7/2036,1/7/1936,1212.75,Blue River
1/8/2036,1/8/1936,1199.87,Blue River
1/9/2036,1/9/1936,1195.46,Blue River
1/10/2036,1/10/1936,1210.50,Blue River
1/11/2036,1/11/1936,1229.55,Blue River
1/12/2036,1/12/1936,1231.72,Blue River
1/13/2036,1/13/1936,1230.86,Blue River
1/14/2036,1/14/1936,1224.36,Blue River
1/15/2036,1/15/1936,1216.89,Blue River
1/16/2036,1/16/1936,1206.90,Blue River
1/17/2036,1/17/1936,1196.24,Blue River
1/18/2036,1/18/1936,1187.16,Blue River
1/19/2036,1/19/1936,1183.05,Blue River
1/20/2036,1/20/1936,1181.17,Blue River
1/21/2036,1/21/1936,1180.10,Blue River
1/22/2036,1/22/1936,1180.10,Blue River
1/23/2036,1/23/1936,1180.10,Blue River
1/24/2036,1/24/1936,1180.10,Blue River
1/25/2036,1/25/1936,1180.10,Blue River
1/26/2036,1/26/1936,1180.10,Blue River
1/27/2036,1/27/1936,1180.10,Blue River
1/28/2036,1/28/1936,1180.10,Blue River
1/29/2036,1/29/1936,1180.10,Blue River
1/30/2036,1/30/1936,1180.10,Blue River
1/31/2036,1/31/1936,1182.26,Blue River
2/1/2036,2/1/1936,1185.28,Blue River
2/2/2036,2/2/1936,1188.40,Blue River
2/3/2036,2/3/1936,1191.26,Blue River
2/4/2036,2/4/1936,1193.95,Blue River
2/5/2036,2/5/1936,1196.43,Blue River
