Date,Elev_NGVD29,Project
10/1/1935,1516,Hills Creek
10/2/1935,1515,Hills Creek
10/3/1935,1514,Hills Creek
10/4/1935,1513,Hills Creek
10/5/1935,1511,Hills Creek
10/6/1935,1510,Hills Creek
10/7/1935,1509,Hills Creek
10/8/1935,1507,Hills Creek
10/9/1935,1506,Hills Creek
10/10/1935,1504,Hills Creek
10/11/1935,1503,Hills Creek
10/12/1935,1502,Hills Creek
10/13/1935,1500,Hills Creek
10/14/1935,1499,Hills Creek
10/15/1935,1498,Hills Creek
10/16/1935,1498,Hills Creek
10/17/1935,1498,Hills Creek
10/18/1935,1497,Hills Creek
10/19/1935,1497,Hills Creek
10/20/1935,1497,Hills Creek
10/21/1935,1497,Hills Creek
10/22/1935,1497,Hills Creek
10/23/1935,1497,Hills Creek
10/24/1935,1497,Hills Creek
10/25/1935,1497,Hills Creek
10/26/1935,1497,Hills Creek
10/27/1935,1496,Hills Creek
10/28/1935,1495,Hills Creek
10/29/1935,1494,Hills Creek
10/30/1935,1493,Hills Creek
10/31/1935,1493,Hills Creek
11/1/1935,1492,Hills Creek
11/2/1935,1491,Hills Creek
11/3/1935,1490,Hills Creek
11/4/1935,1489,Hills Creek
11/5/1935,1488,Hills Creek
11/6/1935,1487,Hills Creek
11/7/1935,1486,Hills Creek
11/8/1935,1485,Hills Creek
11/9/1935,1484,Hills Creek
11/10/1935,1483,Hills Creek
11/11/1935,1483,Hills Creek
11/12/1935,1482,Hills Creek
11/13/1935,1481,Hills Creek
11/14/1935,1480,Hills Creek
11/15/1935,1478,Hills Creek
11/16/1935,1476,Hills Creek
11/17/1935,1474,Hills Creek
11/18/1935,1472,Hills Creek
11/19/1935,1470,Hills Creek
11/20/1935,1468,Hills Creek
11/21/1935,1466,Hills Creek
11/22/1935,1464,Hills Creek
11/23/1935,1461,Hills Creek
11/24/1935,1459,Hills Creek
11/25/1935,1457,Hills Creek
11/26/1935,1455,Hills Creek
11/27/1935,1453,Hills Creek
11/28/1935,1451,Hills Creek
11/29/1935,1450,Hills Creek
11/30/1935,1448,Hills Creek
12/1/1935,1448,Hills Creek
12/2/1935,1448,Hills Creek
12/3/1935,1448,Hills Creek
12/4/1935,1448,Hills Creek
12/5/1935,1447,Hills Creek
12/6/1935,1447,Hills Creek
12/7/1935,1447,Hills Creek
12/8/1935,1448,Hills Creek
12/9/1935,1448,Hills Creek
12/10/1935,1448,Hills Creek
12/11/1935,1448,Hills Creek
12/12/1935,1448,Hills Creek
12/13/1935,1448,Hills Creek
12/14/1935,1448,Hills Creek
12/15/1935,1448,Hills Creek
12/16/1935,1448,Hills Creek
12/17/1935,1448,Hills Creek
12/18/1935,1448,Hills Creek
12/19/1935,1448,Hills Creek
12/20/1935,1448,Hills Creek
12/21/1935,1448,Hills Creek
12/22/1935,1448,Hills Creek
12/23/1935,1448,Hills Creek
12/24/1935,1448,Hills Creek
12/25/1935,1448,Hills Creek
12/26/1935,1448,Hills Creek
12/27/1935,1448,Hills Creek
12/28/1935,1448,Hills Creek
12/29/1935,1448,Hills Creek
12/30/1935,1448,Hills Creek
12/31/1935,1448,Hills Creek
1/1/1936,1448,Hills Creek
1/2/1936,1455,Hills Creek
1/3/1936,1456,Hills Creek
1/4/1936,1462,Hills Creek
1/5/1936,1464,Hills Creek
1/6/1936,1463,Hills Creek
1/7/1936,1461,Hills Creek
1/8/1936,1460,Hills Creek
1/9/1936,1459,Hills Creek
1/10/1936,1460,Hills Creek
1/11/1936,1465,Hills Creek
1/12/1936,1466,Hills Creek
1/13/1936,1469,Hills Creek
1/14/1936,1471,Hills Creek
1/15/1936,1471,Hills Creek
1/16/1936,1470,Hills Creek
1/17/1936,1468,Hills Creek
1/18/1936,1465,Hills Creek
1/19/1936,1463,Hills Creek
1/20/1936,1461,Hills Creek
1/21/1936,1459,Hills Creek
1/22/1936,1457,Hills Creek
1/23/1936,1456,Hills Creek
1/24/1936,1455,Hills Creek
1/25/1936,1455,Hills Creek
1/26/1936,1454,Hills Creek
1/27/1936,1453,Hills Creek
1/28/1936,1453,Hills Creek
1/29/1936,1452,Hills Creek
1/30/1936,1452,Hills Creek
1/31/1936,1451,Hills Creek
2/1/1936,1451,Hills Creek
2/2/1936,1452,Hills Creek
2/3/1936,1452,Hills Creek
2/4/1936,1453,Hills Creek
2/5/1936,1453,Hills Creek
2/6/1936,1453,Hills Creek
2/7/1936,1454,Hills Creek
2/8/1936,1454,Hills Creek
2/9/1936,1454,Hills Creek
2/10/1936,1455,Hills Creek
2/11/1936,1455,Hills Creek
2/12/1936,1455,Hills Creek
2/13/1936,1456,Hills Creek
2/14/1936,1457,Hills Creek
2/15/1936,1458,Hills Creek
2/16/1936,1459,Hills Creek
2/17/1936,1459,Hills Creek
2/18/1936,1460,Hills Creek
2/19/1936,1461,Hills Creek
2/20/1936,1461,Hills Creek
2/21/1936,1465,Hills Creek
2/22/1936,1469,Hills Creek
2/23/1936,1472,Hills Creek
2/24/1936,1474,Hills Creek
2/25/1936,1475,Hills Creek
2/26/1936,1477,Hills Creek
2/27/1936,1478,Hills Creek
2/28/1936,1480,Hills Creek
2/29/1936,1481,Hills Creek
3/1/1936,1483,Hills Creek
3/2/1936,1485,Hills Creek
3/3/1936,1487,Hills Creek
3/4/1936,1488,Hills Creek
3/5/1936,1489,Hills Creek
3/6/1936,1490,Hills Creek
3/7/1936,1491,Hills Creek
3/8/1936,1492,Hills Creek
3/9/1936,1493,Hills Creek
3/10/1936,1494,Hills Creek
3/11/1936,1495,Hills Creek
3/12/1936,1496,Hills Creek
3/13/1936,1497,Hills Creek
3/14/1936,1497,Hills Creek
3/15/1936,1498,Hills Creek
3/16/1936,1498,Hills Creek
3/17/1936,1499,Hills Creek
3/18/1936,1499,Hills Creek
3/19/1936,1499,Hills Creek
3/20/1936,1500,Hills Creek
3/21/1936,1500,Hills Creek
3/22/1936,1501,Hills Creek
3/23/1936,1501,Hills Creek
3/24/1936,1502,Hills Creek
3/25/1936,1502,Hills Creek
3/26/1936,1503,Hills Creek
3/27/1936,1503,Hills Creek
3/28/1936,1504,Hills Creek
3/29/1936,1505,Hills Creek
3/30/1936,1505,Hills Creek
3/31/1936,1506,Hills Creek
4/1/1936,1506,Hills Creek
4/2/1936,1506,Hills Creek
4/3/1936,1507,Hills Creek
4/4/1936,1507,Hills Creek
4/5/1936,1507,Hills Creek
4/6/1936,1508,Hills Creek
4/7/1936,1508,Hills Creek
4/8/1936,1509,Hills Creek
4/9/1936,1510,Hills Creek
4/10/1936,1511,Hills Creek
4/11/1936,1512,Hills Creek
4/12/1936,1514,Hills Creek
4/13/1936,1516,Hills Creek
4/14/1936,1518,Hills Creek
4/15/1936,1520,Hills Creek
4/16/1936,1522,Hills Creek
4/17/1936,1523,Hills Creek
4/18/1936,1525,Hills Creek
4/19/1936,1526,Hills Creek
4/20/1936,1527,Hills Creek
4/21/1936,1528,Hills Creek
4/22/1936,1529,Hills Creek
4/23/1936,1530,Hills Creek
4/24/1936,1531,Hills Creek
4/25/1936,1531,Hills Creek
4/26/1936,1531,Hills Creek
4/27/1936,1531,Hills Creek
4/28/1936,1531,Hills Creek
4/29/1936,1531,Hills Creek
4/30/1936,1532,Hills Creek
5/1/1936,1532,Hills Creek
5/2/1936,1533,Hills Creek
5/3/1936,1534,Hills Creek
5/4/1936,1535,Hills Creek
5/5/1936,1536,Hills Creek
5/6/1936,1537,Hills Creek
5/7/1936,1538,Hills Creek
5/8/1936,1538,Hills Creek
5/9/1936,1539,Hills Creek
5/10/1936,1539,Hills Creek
5/11/1936,1540,Hills Creek
5/12/1936,1540,Hills Creek
5/13/1936,1541,Hills Creek
5/14/1936,1541,Hills Creek
5/15/1936,1541,Hills Creek
5/16/1936,1541,Hills Creek
5/17/1936,1541,Hills Creek
5/18/1936,1541,Hills Creek
5/19/1936,1541,Hills Creek
5/20/1936,1541,Hills Creek
5/21/1936,1541,Hills Creek
5/22/1936,1541,Hills Creek
5/23/1936,1541,Hills Creek
5/24/1936,1541,Hills Creek
5/25/1936,1541,Hills Creek
5/26/1936,1541,Hills Creek
5/27/1936,1541,Hills Creek
5/28/1936,1541,Hills Creek
5/29/1936,1541,Hills Creek
5/30/1936,1541,Hills Creek
5/31/1936,1541,Hills Creek
6/1/1936,1541,Hills Creek
6/2/1936,1541,Hills Creek
6/3/1936,1541,Hills Creek
6/4/1936,1540,Hills Creek
6/5/1936,1540,Hills Creek
6/6/1936,1541,Hills Creek
6/7/1936,1541,Hills Creek
6/8/1936,1541,Hills Creek
6/9/1936,1541,Hills Creek
6/10/1936,1541,Hills Creek
6/11/1936,1540,Hills Creek
6/12/1936,1540,Hills Creek
6/13/1936,1540,Hills Creek
6/14/1936,1541,Hills Creek
6/15/1936,1541,Hills Creek
6/16/1936,1541,Hills Creek
6/17/1936,1541,Hills Creek
6/18/1936,1541,Hills Creek
6/19/1936,1541,Hills Creek
6/20/1936,1541,Hills Creek
6/21/1936,1541,Hills Creek
6/22/1936,1541,Hills Creek
6/23/1936,1541,Hills Creek
6/24/1936,1541,Hills Creek
6/25/1936,1541,Hills Creek
6/26/1936,1541,Hills Creek
6/27/1936,1541,Hills Creek
6/28/1936,1541,Hills Creek
6/29/1936,1541,Hills Creek
6/30/1936,1541,Hills Creek
7/1/1936,1541,Hills Creek
7/2/1936,1541,Hills Creek
7/3/1936,1541,Hills Creek
7/4/1936,1541,Hills Creek
7/5/1936,1541,Hills Creek
7/6/1936,1541,Hills Creek
7/7/1936,1541,Hills Creek
7/8/1936,1541,Hills Creek
7/9/1936,1541,Hills Creek
7/10/1936,1541,Hills Creek
7/11/1936,1541,Hills Creek
7/12/1936,1541,Hills Creek
7/13/1936,1541,Hills Creek
7/14/1936,1541,Hills Creek
7/15/1936,1540,Hills Creek
7/16/1936,1539,Hills Creek
7/17/1936,1539,Hills Creek
7/18/1936,1539,Hills Creek
7/19/1936,1539,Hills Creek
7/20/1936,1539,Hills Creek
7/21/1936,1538,Hills Creek
7/22/1936,1538,Hills Creek
7/23/1936,1538,Hills Creek
7/24/1936,1537,Hills Creek
7/25/1936,1536,Hills Creek
7/26/1936,1536,Hills Creek
7/27/1936,1536,Hills Creek
7/28/1936,1536,Hills Creek
7/29/1936,1535,Hills Creek
7/30/1936,1534,Hills Creek
7/31/1936,1533,Hills Creek
8/1/1936,1533,Hills Creek
8/2/1936,1532,Hills Creek
8/3/1936,1532,Hills Creek
8/4/1936,1531,Hills Creek
8/5/1936,1530,Hills Creek
8/6/1936,1530,Hills Creek
8/7/1936,1529,Hills Creek
8/8/1936,1528,Hills Creek
8/9/1936,1528,Hills Creek
8/10/1936,1527,Hills Creek
8/11/1936,1526,Hills Creek
8/12/1936,1526,Hills Creek
8/13/1936,1525,Hills Creek
8/14/1936,1524,Hills Creek
8/15/1936,1524,Hills Creek
8/16/1936,1523,Hills Creek
8/17/1936,1522,Hills Creek
8/18/1936,1521,Hills Creek
8/19/1936,1521,Hills Creek
8/20/1936,1520,Hills Creek
8/21/1936,1519,Hills Creek
8/22/1936,1518,Hills Creek
8/23/1936,1518,Hills Creek
8/24/1936,1517,Hills Creek
8/25/1936,1516,Hills Creek
8/26/1936,1515,Hills Creek
8/27/1936,1514,Hills Creek
8/28/1936,1513,Hills Creek
8/29/1936,1512,Hills Creek
8/30/1936,1511,Hills Creek
8/31/1936,1510,Hills Creek
9/1/1936,1510,Hills Creek
9/2/1936,1510,Hills Creek
9/3/1936,1509,Hills Creek
9/4/1936,1509,Hills Creek
9/5/1936,1509,Hills Creek
9/6/1936,1508,Hills Creek
9/7/1936,1508,Hills Creek
9/8/1936,1507,Hills Creek
9/9/1936,1507,Hills Creek
9/10/1936,1507,Hills Creek
9/11/1936,1506,Hills Creek
9/12/1936,1506,Hills Creek
9/13/1936,1506,Hills Creek
9/14/1936,1506,Hills Creek
9/15/1936,1506,Hills Creek
9/16/1936,1505,Hills Creek
9/17/1936,1505,Hills Creek
9/18/1936,1505,Hills Creek
9/19/1936,1504,Hills Creek
9/20/1936,1503,Hills Creek
9/21/1936,1502,Hills Creek
9/22/1936,1502,Hills Creek
9/23/1936,1501,Hills Creek
9/24/1936,1501,Hills Creek
9/25/1936,1500,Hills Creek
9/26/1936,1500,Hills Creek
9/27/1936,1499,Hills Creek
9/28/1936,1499,Hills Creek
9/29/1936,1499,Hills Creek
9/30/1936,1498,Hills Creek
10/1/1936,1497,Hills Creek
10/2/1936,1495,Hills Creek
10/3/1936,1494,Hills Creek
10/4/1936,1492,Hills Creek
10/5/1936,1491,Hills Creek
10/6/1936,1491,Hills Creek
10/7/1936,1491,Hills Creek
10/8/1936,1490,Hills Creek
10/9/1936,1490,Hills Creek
10/10/1936,1489,Hills Creek
10/11/1936,1489,Hills Creek
10/12/1936,1488,Hills Creek
10/13/1936,1486,Hills Creek
10/14/1936,1484,Hills Creek
10/15/1936,1484,Hills Creek
10/16/1936,1483,Hills Creek
10/17/1936,1483,Hills Creek
10/18/1936,1482,Hills Creek
10/19/1936,1482,Hills Creek
10/20/1936,1482,Hills Creek
10/21/1936,1481,Hills Creek
10/22/1936,1481,Hills Creek
10/23/1936,1480,Hills Creek
10/24/1936,1480,Hills Creek
10/25/1936,1480,Hills Creek
10/26/1936,1479,Hills Creek
10/27/1936,1478,Hills Creek
10/28/1936,1478,Hills Creek
10/29/1936,1477,Hills Creek
10/30/1936,1476,Hills Creek
10/31/1936,1476,Hills Creek
11/1/1936,1476,Hills Creek
11/2/1936,1475,Hills Creek
11/3/1936,1475,Hills Creek
11/4/1936,1474,Hills Creek
11/5/1936,1474,Hills Creek
11/6/1936,1474,Hills Creek
11/7/1936,1473,Hills Creek
11/8/1936,1473,Hills Creek
11/9/1936,1472,Hills Creek
11/10/1936,1472,Hills Creek
11/11/1936,1472,Hills Creek
11/12/1936,1471,Hills Creek
11/13/1936,1471,Hills Creek
11/14/1936,1470,Hills Creek
11/15/1936,1470,Hills Creek
11/16/1936,1470,Hills Creek
11/17/1936,1469,Hills Creek
11/18/1936,1469,Hills Creek
11/19/1936,1468,Hills Creek
11/20/1936,1468,Hills Creek
11/21/1936,1466,Hills Creek
11/22/1936,1464,Hills Creek
11/23/1936,1461,Hills Creek
11/24/1936,1459,Hills Creek
11/25/1936,1457,Hills Creek
11/26/1936,1455,Hills Creek
11/27/1936,1453,Hills Creek
11/28/1936,1451,Hills Creek
11/29/1936,1449,Hills Creek
11/30/1936,1448,Hills Creek
12/1/1936,1448,Hills Creek
12/2/1936,1447,Hills Creek
12/3/1936,1447,Hills Creek
12/4/1936,1446,Hills Creek
12/5/1936,1446,Hills Creek
12/6/1936,1446,Hills Creek
12/7/1936,1446,Hills Creek
12/8/1936,1446,Hills Creek
12/9/1936,1446,Hills Creek
12/10/1936,1445,Hills Creek
12/11/1936,1445,Hills Creek
12/12/1936,1445,Hills Creek
12/13/1936,1444,Hills Creek
12/14/1936,1444,Hills Creek
12/15/1936,1444,Hills Creek
12/16/1936,1443,Hills Creek
12/17/1936,1443,Hills Creek
12/18/1936,1443,Hills Creek
12/19/1936,1442,Hills Creek
12/20/1936,1442,Hills Creek
12/21/1936,1442,Hills Creek
12/22/1936,1441,Hills Creek
12/23/1936,1442,Hills Creek
12/24/1936,1442,Hills Creek
12/25/1936,1442,Hills Creek
12/26/1936,1442,Hills Creek
12/27/1936,1442,Hills Creek
12/28/1936,1442,Hills Creek
12/29/1936,1442,Hills Creek
12/30/1936,1442,Hills Creek
12/31/1936,1442,Hills Creek
1/1/1937,1442,Hills Creek
1/2/1937,1442,Hills Creek
1/3/1937,1442,Hills Creek
1/4/1937,1442,Hills Creek
1/5/1937,1442,Hills Creek
1/6/1937,1442,Hills Creek
1/7/1937,1442,Hills Creek
1/8/1937,1442,Hills Creek
1/9/1937,1442,Hills Creek
1/10/1937,1442,Hills Creek
1/11/1937,1442,Hills Creek
1/12/1937,1442,Hills Creek
1/13/1937,1442,Hills Creek
1/14/1937,1442,Hills Creek
1/15/1937,1442,Hills Creek
1/16/1937,1442,Hills Creek
1/17/1937,1442,Hills Creek
1/18/1937,1442,Hills Creek
1/19/1937,1442,Hills Creek
1/20/1937,1442,Hills Creek
1/21/1937,1442,Hills Creek
1/22/1937,1442,Hills Creek
1/23/1937,1442,Hills Creek
1/24/1937,1442,Hills Creek
1/25/1937,1442,Hills Creek
1/26/1937,1442,Hills Creek
1/27/1937,1442,Hills Creek
1/28/1937,1442,Hills Creek
1/29/1937,1442,Hills Creek
1/30/1937,1442,Hills Creek
1/31/1937,1442,Hills Creek
2/1/1937,1442,Hills Creek
2/2/1937,1442,Hills Creek
2/3/1937,1442,Hills Creek
2/4/1937,1442,Hills Creek
2/5/1937,1442,Hills Creek
2/6/1937,1443,Hills Creek
2/7/1937,1443,Hills Creek
2/8/1937,1443,Hills Creek
2/9/1937,1443,Hills Creek
2/10/1937,1443,Hills Creek
2/11/1937,1443,Hills Creek
2/12/1937,1443,Hills Creek
2/13/1937,1444,Hills Creek
2/14/1937,1444,Hills Creek
2/15/1937,1444,Hills Creek
2/16/1937,1445,Hills Creek
2/17/1937,1445,Hills Creek
2/18/1937,1446,Hills Creek
2/19/1937,1447,Hills Creek
2/20/1937,1447,Hills Creek
2/21/1937,1447,Hills Creek
2/22/1937,1448,Hills Creek
2/23/1937,1448,Hills Creek
2/24/1937,1449,Hills Creek
2/25/1937,1449,Hills Creek
2/26/1937,1450,Hills Creek
2/27/1937,1450,Hills Creek
2/28/1937,1451,Hills Creek
3/1/1937,1452,Hills Creek
3/2/1937,1455,Hills Creek
