Date,Elev_NGVD29,Project
10/1/1935,899.59,Lookout Point
10/2/1935,898.60,Lookout Point
10/3/1935,898.06,Lookout Point
10/4/1935,897.17,Lookout Point
10/5/1935,896.29,Lookout Point
10/6/1935,895.40,Lookout Point
10/7/1935,894.49,Lookout Point
10/8/1935,893.58,Lookout Point
10/9/1935,892.66,Lookout Point
10/10/1935,891.75,Lookout Point
10/11/1935,890.84,Lookout Point
10/12/1935,889.93,Lookout Point
10/13/1935,889.01,Lookout Point
10/14/1935,888.10,Lookout Point
10/15/1935,887.15,Lookout Point
10/16/1935,886.20,Lookout Point
10/17/1935,885.25,Lookout Point
10/18/1935,884.30,Lookout Point
10/19/1935,883.35,Lookout Point
10/20/1935,882.40,Lookout Point
10/21/1935,881.45,Lookout Point
10/22/1935,880.50,Lookout Point
10/23/1935,879.50,Lookout Point
10/24/1935,878.50,Lookout Point
10/25/1935,877.50,Lookout Point
10/26/1935,876.50,Lookout Point
10/27/1935,875.50,Lookout Point
10/28/1935,874.50,Lookout Point
10/29/1935,873.50,Lookout Point
10/30/1935,872.50,Lookout Point
10/31/1935,871.44,Lookout Point
11/1/1935,870.39,Lookout Point
11/2/1935,869.33,Lookout Point
11/3/1935,868.27,Lookout Point
11/4/1935,867.21,Lookout Point
11/5/1935,866.16,Lookout Point
11/6/1935,865.10,Lookout Point
11/7/1935,863.98,Lookout Point
11/8/1935,862.85,Lookout Point
11/9/1935,861.73,Lookout Point
11/10/1935,860.60,Lookout Point
11/11/1935,859.48,Lookout Point
11/12/1935,858.35,Lookout Point
11/13/1935,857.23,Lookout Point
11/14/1935,856.10,Lookout Point
11/15/1935,854.19,Lookout Point
11/16/1935,852.27,Lookout Point
11/17/1935,850.36,Lookout Point
11/18/1935,848.44,Lookout Point
11/19/1935,846.53,Lookout Point
11/20/1935,844.61,Lookout Point
11/21/1935,842.70,Lookout Point
11/22/1935,840.50,Lookout Point
11/23/1935,838.30,Lookout Point
11/24/1935,836.10,Lookout Point
11/25/1935,833.90,Lookout Point
11/26/1935,831.70,Lookout Point
11/27/1935,830.12,Lookout Point
11/28/1935,828.30,Lookout Point
11/29/1935,826.15,Lookout Point
11/30/1935,825.10,Lookout Point
12/1/1935,824.19,Lookout Point
12/2/1935,823.57,Lookout Point
12/3/1935,823.16,Lookout Point
12/4/1935,822.72,Lookout Point
12/5/1935,822.26,Lookout Point
12/6/1935,821.84,Lookout Point
12/7/1935,821.51,Lookout Point
12/8/1935,821.47,Lookout Point
12/9/1935,821.35,Lookout Point
12/10/1935,821.38,Lookout Point
12/11/1935,822.01,Lookout Point
12/12/1935,824.83,Lookout Point
12/13/1935,825.10,Lookout Point
12/14/1935,825.10,Lookout Point
12/15/1935,825.10,Lookout Point
12/16/1935,825.10,Lookout Point
12/17/1935,825.10,Lookout Point
12/18/1935,825.06,Lookout Point
12/19/1935,824.90,Lookout Point
12/20/1935,824.68,Lookout Point
12/21/1935,824.44,Lookout Point
12/22/1935,824.17,Lookout Point
12/23/1935,823.88,Lookout Point
12/24/1935,823.58,Lookout Point
12/25/1935,823.31,Lookout Point
12/26/1935,823.06,Lookout Point
12/27/1935,823.06,Lookout Point
12/28/1935,823.06,Lookout Point
12/29/1935,823.10,Lookout Point
12/30/1935,823.54,Lookout Point
12/31/1935,824.34,Lookout Point
1/1/1936,825.10,Lookout Point
1/2/1936,827.59,Lookout Point
1/3/1936,830.02,Lookout Point
1/4/1936,835.51,Lookout Point
1/5/1936,839.63,Lookout Point
1/6/1936,840.60,Lookout Point
1/7/1936,839.97,Lookout Point
1/8/1936,838.76,Lookout Point
1/9/1936,838.28,Lookout Point
1/10/1936,838.53,Lookout Point
1/11/1936,841.84,Lookout Point
1/12/1936,842.73,Lookout Point
1/13/1936,844.37,Lookout Point
1/14/1936,844.84,Lookout Point
1/15/1936,845.52,Lookout Point
1/16/1936,845.55,Lookout Point
1/17/1936,844.79,Lookout Point
1/18/1936,843.48,Lookout Point
1/19/1936,841.94,Lookout Point
1/20/1936,840.43,Lookout Point
1/21/1936,838.93,Lookout Point
1/22/1936,837.36,Lookout Point
1/23/1936,835.96,Lookout Point
1/24/1936,834.84,Lookout Point
1/25/1936,833.91,Lookout Point
1/26/1936,833.07,Lookout Point
1/27/1936,832.33,Lookout Point
1/28/1936,831.73,Lookout Point
1/29/1936,830.92,Lookout Point
1/30/1936,829.97,Lookout Point
1/31/1936,828.82,Lookout Point
2/1/1936,827.88,Lookout Point
2/2/1936,827.24,Lookout Point
2/3/1936,827.10,Lookout Point
2/4/1936,827.52,Lookout Point
2/5/1936,827.89,Lookout Point
2/6/1936,828.29,Lookout Point
2/7/1936,828.90,Lookout Point
2/8/1936,829.35,Lookout Point
2/9/1936,829.74,Lookout Point
2/10/1936,830.05,Lookout Point
2/11/1936,830.38,Lookout Point
2/12/1936,830.83,Lookout Point
2/13/1936,831.97,Lookout Point
2/14/1936,833.07,Lookout Point
2/15/1936,833.95,Lookout Point
2/16/1936,834.69,Lookout Point
2/17/1936,835.37,Lookout Point
2/18/1936,836.03,Lookout Point
2/19/1936,836.68,Lookout Point
2/20/1936,837.61,Lookout Point
2/21/1936,839.81,Lookout Point
2/22/1936,843.33,Lookout Point
2/23/1936,846.50,Lookout Point
2/24/1936,848.98,Lookout Point
2/25/1936,850.90,Lookout Point
2/26/1936,852.48,Lookout Point
2/27/1936,854.06,Lookout Point
2/28/1936,856.14,Lookout Point
2/29/1936,858.22,Lookout Point
3/1/1936,860.10,Lookout Point
3/2/1936,862.19,Lookout Point
3/3/1936,864.37,Lookout Point
3/4/1936,866.26,Lookout Point
3/5/1936,867.92,Lookout Point
3/6/1936,869.37,Lookout Point
3/7/1936,870.57,Lookout Point
3/8/1936,871.63,Lookout Point
3/9/1936,873.16,Lookout Point
3/10/1936,874.54,Lookout Point
3/11/1936,875.66,Lookout Point
3/12/1936,876.68,Lookout Point
3/13/1936,877.64,Lookout Point
3/14/1936,878.49,Lookout Point
3/15/1936,879.30,Lookout Point
3/16/1936,880.02,Lookout Point
3/17/1936,880.63,Lookout Point
3/18/1936,881.18,Lookout Point
3/19/1936,881.64,Lookout Point
3/20/1936,882.12,Lookout Point
3/21/1936,882.67,Lookout Point
3/22/1936,883.24,Lookout Point
3/23/1936,883.75,Lookout Point
3/24/1936,884.25,Lookout Point
3/25/1936,884.68,Lookout Point
3/26/1936,885.05,Lookout Point
3/27/1936,885.63,Lookout Point
3/28/1936,886.88,Lookout Point
3/29/1936,887.78,Lookout Point
3/30/1936,888.45,Lookout Point
3/31/1936,888.97,Lookout Point
4/1/1936,889.40,Lookout Point
4/2/1936,889.76,Lookout Point
4/3/1936,890.13,Lookout Point
4/4/1936,890.63,Lookout Point
4/5/1936,891.09,Lookout Point
4/6/1936,891.46,Lookout Point
4/7/1936,891.95,Lookout Point
4/8/1936,892.70,Lookout Point
4/9/1936,893.48,Lookout Point
4/10/1936,894.37,Lookout Point
4/11/1936,895.75,Lookout Point
4/12/1936,897.73,Lookout Point
4/13/1936,899.85,Lookout Point
4/14/1936,901.84,Lookout Point
4/15/1936,903.82,Lookout Point
4/16/1936,905.94,Lookout Point
4/17/1936,907.92,Lookout Point
4/18/1936,909.79,Lookout Point
4/19/1936,911.35,Lookout Point
4/20/1936,912.69,Lookout Point
4/21/1936,913.90,Lookout Point
4/22/1936,915.07,Lookout Point
4/23/1936,916.18,Lookout Point
4/24/1936,916.84,Lookout Point
4/25/1936,917.48,Lookout Point
4/26/1936,918.11,Lookout Point
4/27/1936,918.74,Lookout Point
4/28/1936,919.37,Lookout Point
4/29/1936,920.00,Lookout Point
4/30/1936,920.51,Lookout Point
5/1/1936,920.75,Lookout Point
5/2/1936,921.28,Lookout Point
5/3/1936,922.14,Lookout Point
5/4/1936,922.86,Lookout Point
5/5/1936,923.43,Lookout Point
5/6/1936,924.00,Lookout Point
5/7/1936,924.67,Lookout Point
5/8/1936,925.33,Lookout Point
5/9/1936,926.00,Lookout Point
5/10/1936,926.00,Lookout Point
5/11/1936,926.00,Lookout Point
5/12/1936,926.00,Lookout Point
5/13/1936,926.00,Lookout Point
5/14/1936,926.00,Lookout Point
5/15/1936,926.00,Lookout Point
5/16/1936,926.00,Lookout Point
5/17/1936,926.00,Lookout Point
5/18/1936,926.00,Lookout Point
5/19/1936,926.00,Lookout Point
5/20/1936,926.00,Lookout Point
5/21/1936,926.00,Lookout Point
5/22/1936,926.00,Lookout Point
5/23/1936,926.00,Lookout Point
5/24/1936,926.00,Lookout Point
5/25/1936,926.00,Lookout Point
5/26/1936,926.00,Lookout Point
5/27/1936,926.00,Lookout Point
5/28/1936,926.00,Lookout Point
5/29/1936,926.00,Lookout Point
5/30/1936,926.00,Lookout Point
5/31/1936,926.00,Lookout Point
6/1/1936,926.00,Lookout Point
6/2/1936,926.00,Lookout Point
6/3/1936,926.00,Lookout Point
6/4/1936,926.00,Lookout Point
6/5/1936,925.98,Lookout Point
6/6/1936,925.77,Lookout Point
6/7/1936,926.00,Lookout Point
6/8/1936,926.00,Lookout Point
6/9/1936,926.00,Lookout Point
6/10/1936,926.00,Lookout Point
6/11/1936,926.00,Lookout Point
6/12/1936,926.00,Lookout Point
6/13/1936,926.00,Lookout Point
6/14/1936,926.00,Lookout Point
6/15/1936,926.00,Lookout Point
6/16/1936,926.00,Lookout Point
6/17/1936,926.00,Lookout Point
6/18/1936,926.00,Lookout Point
6/19/1936,926.00,Lookout Point
6/20/1936,926.00,Lookout Point
6/21/1936,926.00,Lookout Point
6/22/1936,926.00,Lookout Point
6/23/1936,926.00,Lookout Point
6/24/1936,926.00,Lookout Point
6/25/1936,926.00,Lookout Point
6/26/1936,926.00,Lookout Point
6/27/1936,925.93,Lookout Point
6/28/1936,925.91,Lookout Point
6/29/1936,926.00,Lookout Point
6/30/1936,926.00,Lookout Point
7/1/1936,926.00,Lookout Point
7/2/1936,926.00,Lookout Point
7/3/1936,926.00,Lookout Point
7/4/1936,926.00,Lookout Point
7/5/1936,926.00,Lookout Point
7/6/1936,925.99,Lookout Point
7/7/1936,925.95,Lookout Point
7/8/1936,925.89,Lookout Point
7/9/1936,925.85,Lookout Point
7/10/1936,925.82,Lookout Point
7/11/1936,925.80,Lookout Point
7/12/1936,925.72,Lookout Point
7/13/1936,925.61,Lookout Point
7/14/1936,925.51,Lookout Point
7/15/1936,925.25,Lookout Point
7/16/1936,925.55,Lookout Point
7/17/1936,925.52,Lookout Point
7/18/1936,924.93,Lookout Point
7/19/1936,924.09,Lookout Point
7/20/1936,923.60,Lookout Point
7/21/1936,923.52,Lookout Point
7/22/1936,923.36,Lookout Point
7/23/1936,922.88,Lookout Point
