Date,Elev_NGVD29,Project,
10/1/1935,1646.4,Cougar,1650.78
10/2/1935,1644.8,Cougar,1649.18
10/3/1935,1643.7,Cougar,1648.08
10/4/1935,1642.5,Cougar,1646.88
10/5/1935,1641.3,Cougar,1645.68
10/6/1935,1640.1,Cougar,1644.48
10/7/1935,1638.9,Cougar,1643.28
10/8/1935,1637.6,Cougar,1641.98
10/9/1935,1636.3,Cougar,1640.68
10/10/1935,1635.1,Cougar,1639.48
10/11/1935,1633.8,Cougar,1638.18
10/12/1935,1632.8,Cougar,1637.18
10/13/1935,1631.9,Cougar,1636.28
10/14/1935,1631,Cougar,1635.38
10/15/1935,1630,Cougar,1634.38
10/16/1935,1626.5,Cougar,1630.88
10/17/1935,1622.9,Cougar,1627.28
10/18/1935,1619.1,Cougar,1623.48
10/19/1935,1615.3,Cougar,1619.68
10/20/1935,1611.4,Cougar,1615.78
10/21/1935,1607.6,Cougar,1611.98
10/22/1935,1603.8,Cougar,1608.18
10/23/1935,1599.7,Cougar,1604.08
10/24/1935,1595.5,Cougar,1599.88
10/25/1935,1591.2,Cougar,1595.58
10/26/1935,1586.7,Cougar,1591.08
10/27/1935,1582.2,Cougar,1586.58
10/28/1935,1577.6,Cougar,1581.98
10/29/1935,1573,Cougar,1577.38
10/30/1935,1568,Cougar,1572.38
10/31/1935,1563.1,Cougar,1567.48
11/1/1935,1557.8,Cougar,1562.18
11/2/1935,1552.3,Cougar,1556.68
11/3/1935,1546.7,Cougar,1551.08
11/4/1935,1540.8,Cougar,1545.18
11/5/1935,1534.6,Cougar,1538.98
11/6/1935,1528.5,Cougar,1532.88
11/7/1935,1522.4,Cougar,1526.78
11/8/1935,1516.6,Cougar,1520.98
11/9/1935,1514.7,Cougar,1519.08
11/10/1935,1512.7,Cougar,1517.08
11/11/1935,1510.8,Cougar,1515.18
11/12/1935,1508.9,Cougar,1513.28
11/13/1935,1506.9,Cougar,1511.28
11/14/1935,1505,Cougar,1509.38
11/15/1935,1505,Cougar,1509.38
11/16/1935,1505,Cougar,1509.38
11/17/1935,1505,Cougar,1509.38
11/18/1935,1505,Cougar,1509.38
11/19/1935,1505,Cougar,1509.38
11/20/1935,1505,Cougar,1509.38
11/21/1935,1505,Cougar,1509.38
11/22/1935,1505,Cougar,1509.38
11/23/1935,1505,Cougar,1509.38
11/24/1935,1505,Cougar,1509.38
11/25/1935,1505,Cougar,1509.38
11/26/1935,1505,Cougar,1509.38
11/27/1935,1505,Cougar,1509.38
11/28/1935,1505,Cougar,1509.38
11/29/1935,1505,Cougar,1509.38
11/30/1935,1505,Cougar,1509.38
12/1/1935,1505,Cougar,1509.38
12/2/1935,1505,Cougar,1509.38
12/3/1935,1505,Cougar,1509.38
12/4/1935,1505,Cougar,1509.38
12/5/1935,1505,Cougar,1509.38
12/6/1935,1505,Cougar,1509.38
12/7/1935,1505,Cougar,1509.38
12/8/1935,1505,Cougar,1509.38
12/9/1935,1505,Cougar,1509.38
12/10/1935,1505,Cougar,1509.38
12/11/1935,1505,Cougar,1509.38
12/12/1935,1506.4,Cougar,1510.78
12/13/1935,1505,Cougar,1509.38
12/14/1935,1505,Cougar,1509.38
12/15/1935,1506,Cougar,1510.38
12/16/1935,1507.1,Cougar,1511.48
12/17/1935,1507.9,Cougar,1512.28
12/18/1935,1508.6,Cougar,1512.98
12/19/1935,1509.1,Cougar,1513.48
12/20/1935,1509.6,Cougar,1513.98
12/21/1935,1510,Cougar,1514.38
12/22/1935,1510.5,Cougar,1514.88
12/23/1935,1510.8,Cougar,1515.18
12/24/1935,1511.1,Cougar,1515.48
12/25/1935,1511.6,Cougar,1515.98
12/26/1935,1512.3,Cougar,1516.68
12/27/1935,1513.3,Cougar,1517.68
12/28/1935,1514.9,Cougar,1519.28
12/29/1935,1516.4,Cougar,1520.78
12/30/1935,1518,Cougar,1522.38
12/31/1935,1520.2,Cougar,1524.58
1/1/1936,1524.5,Cougar,1528.88
1/2/1936,1535.5,Cougar,1539.88
1/3/1936,1542.6,Cougar,1546.98
1/4/1936,1554.8,Cougar,1559.18
1/5/1936,1560.1,Cougar,1564.48
1/6/1936,1559,Cougar,1563.38
1/7/1936,1556.4,Cougar,1560.78
1/8/1936,1554.1,Cougar,1558.48
1/9/1936,1553.7,Cougar,1558.08
1/10/1936,1556.2,Cougar,1560.58
1/11/1936,1564.4,Cougar,1568.78
1/12/1936,1566.4,Cougar,1570.78
1/13/1936,1569.7,Cougar,1574.08
1/14/1936,1569.5,Cougar,1573.88
1/15/1936,1568.9,Cougar,1573.28
1/16/1936,1566.9,Cougar,1571.28
1/17/1936,1563.7,Cougar,1568.08
1/18/1936,1560.1,Cougar,1564.48
1/19/1936,1557.4,Cougar,1561.78
1/20/1936,1555.3,Cougar,1559.68
1/21/1936,1552.5,Cougar,1556.88
1/22/1936,1550.3,Cougar,1554.68
1/23/1936,1548.1,Cougar,1552.48
1/24/1936,1546.5,Cougar,1550.88
1/25/1936,1544.9,Cougar,1549.28
1/26/1936,1543.3,Cougar,1547.68
1/27/1936,1541.7,Cougar,1546.08
1/28/1936,1540.6,Cougar,1544.98
1/29/1936,1539.4,Cougar,1543.78
1/30/1936,1538.3,Cougar,1542.68
1/31/1936,1536.9,Cougar,1541.28
2/1/1936,1532.4,Cougar,1536.78
2/2/1936,1527.9,Cougar,1532.28
2/3/1936,1523.3,Cougar,1527.68
2/4/1936,1520,Cougar,1524.38
2/5/1936,1519.7,Cougar,1524.08
2/6/1936,1520,Cougar,1524.38
2/7/1936,1520.1,Cougar,1524.48
2/8/1936,1520,Cougar,1524.38
2/9/1936,1520,Cougar,1524.38
2/10/1936,1520,Cougar,1524.38
2/11/1936,1520,Cougar,1524.38
2/12/1936,1520,Cougar,1524.38
2/13/1936,1520,Cougar,1524.38
2/14/1936,1520.5,Cougar,1524.88
2/15/1936,1520,Cougar,1524.38
2/16/1936,1520,Cougar,1524.38
2/17/1936,1520,Cougar,1524.38
2/18/1936,1520,Cougar,1524.38
2/19/1936,1520,Cougar,1524.38
2/20/1936,1520.8,Cougar,1525.18
2/21/1936,1521.3,Cougar,1525.68
2/22/1936,1523.4,Cougar,1527.78
2/23/1936,1523.5,Cougar,1527.88
2/24/1936,1522.1,Cougar,1526.48
