Date,Elev_NGVD29,Project
1935-10-01,899.59,Lookout Point
1935-10-02,898.6,Lookout Point
1935-10-03,897.99,Lookout Point
1935-10-04,897.03,Lookout Point
1935-10-05,896.03,Lookout Point
1935-10-06,895.03,Lookout Point
1935-10-07,894.03,Lookout Point
1935-10-08,893.03,Lookout Point
1935-10-09,892.03,Lookout Point
1935-10-10,891.03,Lookout Point
1935-10-11,890.03,Lookout Point
1935-10-12,889.03,Lookout Point
1935-10-13,888.03,Lookout Point
1935-10-14,887.03,Lookout Point
1935-10-15,886.03,Lookout Point
1935-10-16,885.03,Lookout Point
1935-10-17,884.03,Lookout Point
1935-10-18,883.03,Lookout Point
1935-10-19,882.03,Lookout Point
1935-10-20,881.03,Lookout Point
1935-10-21,880.03,Lookout Point
1935-10-22,879.03,Lookout Point
1935-10-23,878.03,Lookout Point
1935-10-24,877.03,Lookout Point
1935-10-25,876.03,Lookout Point
1935-10-26,875.03,Lookout Point
1935-10-27,874.03,Lookout Point
1935-10-28,873.03,Lookout Point
1935-10-29,872.03,Lookout Point
1935-10-30,871.03,Lookout Point
1935-10-31,870.03,Lookout Point
1935-11-01,869.03,Lookout Point
1935-11-02,868.03,Lookout Point
1935-11-03,867.03,Lookout Point
1935-11-04,866.03,Lookout Point
1935-11-05,865.03,Lookout Point
1935-11-06,864.03,Lookout Point
1935-11-07,863.39,Lookout Point
1935-11-08,862.39,Lookout Point
1935-11-09,861.39,Lookout Point
1935-11-10,860.39,Lookout Point
1935-11-11,859.39,Lookout Point
1935-11-12,858.39,Lookout Point
1935-11-13,857.39,Lookout Point
1935-11-14,856.39,Lookout Point
1935-11-15,855.39,Lookout Point
1935-11-16,854.39,Lookout Point
1935-11-17,853.39,Lookout Point
1935-11-18,852.39,Lookout Point
1935-11-19,851.39,Lookout Point
1935-11-20,850.39,Lookout Point
1935-11-21,849.39,Lookout Point
1935-11-22,841.98,Lookout Point
1935-11-23,838.08,Lookout Point
1935-11-24,835.52,Lookout Point
1935-11-25,833.56,Lookout Point
1935-11-26,831.91,Lookout Point
1935-11-27,830.71,Lookout Point
1935-11-28,829.26,Lookout Point
1935-11-29,827.73,Lookout Point
1935-11-30,825.3,Lookout Point
1935-12-01,823.68,Lookout Point
1935-12-02,822.46,Lookout Point
1935-12-03,821.46,Lookout Point
1935-12-04,820.46,Lookout Point
1935-12-05,819.46,Lookout Point
1935-12-06,818.46,Lookout Point
1935-12-07,817.46,Lookout Point
1935-12-08,816.46,Lookout Point
1935-12-09,815.46,Lookout Point
1935-12-10,814.46,Lookout Point
1935-12-11,813.46,Lookout Point
1935-12-12,813.65,Lookout Point
1935-12-13,812.65,Lookout Point
1935-12-14,816.79,Lookout Point
1935-12-15,820.34,Lookout Point
1935-12-16,823.1,Lookout Point
1935-12-17,825.1,Lookout Point
1935-12-18,825.1,Lookout Point
1935-12-19,825.1,Lookout Point
1935-12-20,825.1,Lookout Point
1935-12-21,825.1,Lookout Point
1935-12-22,825.1,Lookout Point
1935-12-23,825,Lookout Point
1935-12-24,825,Lookout Point
1935-12-25,825,Lookout Point
1935-12-26,825,Lookout Point
1935-12-27,825,Lookout Point
1935-12-28,825,Lookout Point
1935-12-29,825.05,Lookout Point
1935-12-30,825.1,Lookout Point
1935-12-31,825.1,Lookout Point
1936-01-01,825.1,Lookout Point
1936-01-02,827.59,Lookout Point
1936-01-03,830.02,Lookout Point
1936-01-04,835.51,Lookout Point
1936-01-05,839.63,Lookout Point
1936-01-06,840.6,Lookout Point
1936-01-07,839.97,Lookout Point
1936-01-08,838.72,Lookout Point
1936-01-09,838.18,Lookout Point
1936-01-10,838.45,Lookout Point
1936-01-11,841.79,Lookout Point
1936-01-12,842.7,Lookout Point
1936-01-13,844.34,Lookout Point
1936-01-14,844.82,Lookout Point
1936-01-15,845.51,Lookout Point
1936-01-16,845.54,Lookout Point
1936-01-17,844.78,Lookout Point
1936-01-18,843.43,Lookout Point
1936-01-19,841.81,Lookout Point
1936-01-20,840.22,Lookout Point
1936-01-21,838.64,Lookout Point
1936-01-22,836.98,Lookout Point
1936-01-23,835.58,Lookout Point
1936-01-24,834.52,Lookout Point
1936-01-25,833.66,Lookout Point
1936-01-26,832.87,Lookout Point
1936-01-27,832.15,Lookout Point
1936-01-28,831.58,Lookout Point
1936-01-29,830.72,Lookout Point
1936-01-30,829.62,Lookout Point
1936-01-31,827.66,Lookout Point
1936-02-01,826.82,Lookout Point
1936-02-02,826.62,Lookout Point
1936-02-03,826.67,Lookout Point
1936-02-04,827.11,Lookout Point
1936-02-05,827.48,Lookout Point
1936-02-06,827.9,Lookout Point
1936-02-07,828.51,Lookout Point
1936-02-08,828.97,Lookout Point
1936-02-09,829.35,Lookout Point
1936-02-10,829.66,Lookout Point
1936-02-11,829.99,Lookout Point
1936-02-12,830.44,Lookout Point
1936-02-13,831.58,Lookout Point
1936-02-14,832.68,Lookout Point
1936-02-15,833.58,Lookout Point
1936-02-16,834.32,Lookout Point
1936-02-17,835.45,Lookout Point
1936-02-18,836.62,Lookout Point
1936-02-19,837.76,Lookout Point
1936-02-20,839.17,Lookout Point
1936-02-21,841.86,Lookout Point
1936-02-22,845.78,Lookout Point
1936-02-23,849.31,Lookout Point
1936-02-24,852.17,Lookout Point
1936-02-25,854.47,Lookout Point
1936-02-26,856.42,Lookout Point
1936-02-27,858.36,Lookout Point
1936-02-28,860.78,Lookout Point
1936-02-29,863.17,Lookout Point
1936-03-01,865.4,Lookout Point
1936-03-02,867.78,Lookout Point
1936-03-03,870.26,Lookout Point
