Reservoir,Elev,Stor
Big Cliff,1106.0,1000000.0
Big Cliff,1108.0,1000002.0
Big Cliff,1110.0,1000004.0
Big Cliff,1111.0,1000007.0
Big Cliff,1112.0,1000011.0
Big Cliff,1113.0,1000016.0
Big Cliff,1114.0,1000021.0
Big Cliff,1115.0,1000027.0
Big Cliff,1116.0,1000034.0
Big Cliff,1117.0,1000042.0
Big Cliff,1118.0,1000051.0
Big Cliff,1119.0,1000060.0
Big Cliff,1120.0,1000071.0
Big Cliff,1121.0,1000082.0
Big Cliff,1122.0,1000093.0
Big Cliff,1123.0,1000105.0
Big Cliff,1124.0,1000118.0
Big Cliff,1125.0,1000132.0
Big Cliff,1126.0,1000146.0
Big Cliff,1127.0,1000162.0
Big Cliff,1128.0,1000178.0
Big Cliff,1129.0,1000196.0
Big Cliff,1130.0,1000214.0
Big Cliff,1131.0,1000233.0
Big Cliff,1132.0,1000252.0
Big Cliff,1133.0,1000272.0
Big Cliff,1134.0,1000293.0
Big Cliff,1135.0,1000314.0
Big Cliff,1136.0,1000337.0
Big Cliff,1137.0,1000359.0
Big Cliff,1138.0,1000383.0
Big Cliff,1139.0,1000408.0
Big Cliff,1140.0,1000433.0
Big Cliff,1141.0,1000459.0
Big Cliff,1142.0,1000486.0
Big Cliff,1143.0,1000513.0
Big Cliff,1144.0,1000541.0
Big Cliff,1145.0,1000570.0
Big Cliff,1146.0,1000600.0
Big Cliff,1147.0,1000631.0
Big Cliff,1148.0,1000663.0
Big Cliff,1149.0,1000696.0
Big Cliff,1150.0,1000729.0
Big Cliff,1151.0,1000763.0
Big Cliff,1152.0,1000797.0
Big Cliff,1153.0,1000833.0
Big Cliff,1154.0,1000870.0
Big Cliff,1155.0,1000907.0
Big Cliff,1156.0,1000945.0
Big Cliff,1157.0,1000984.0
Big Cliff,1158.0,1001025.0
Big Cliff,1159.0,1001066.0
Big Cliff,1160.0,1001108.0
Big Cliff,1161.0,1001151.0
Big Cliff,1162.0,1001195.0
Big Cliff,1163.0,1001240.0
Big Cliff,1164.0,1001285.0
Big Cliff,1165.0,1001332.0
Big Cliff,1166.0,1001380.0
Big Cliff,1167.0,1001429.0
Big Cliff,1168.0,1001479.0
Big Cliff,1169.0,1001530.0
Big Cliff,1170.0,1001582.0
Big Cliff,1171.0,1001635.0
Big Cliff,1172.0,1001689.0
Big Cliff,1173.0,1001745.0
Big Cliff,1174.0,1001803.0
Big Cliff,1175.0,1001861.0
Big Cliff,1176.0,1001922.0
Big Cliff,1177.0,1001984.0
Big Cliff,1178.0,1002047.0
Big Cliff,1179.0,1002112.0
Big Cliff,1180.0,1002179.0
Big Cliff,1181.0,1002247.0
Big Cliff,1182.0,1002318.0
Big Cliff,1183.0,1002390.0
Big Cliff,1184.0,1002465.0
Big Cliff,1185.0,1002543.0
Big Cliff,1186.0,1002622.0
Big Cliff,1187.0,1002704.0
Big Cliff,1188.0,1002788.0
Big Cliff,1189.0,1002875.0
Big Cliff,1190.0,1002964.0
Big Cliff,1191.0,1003056.0
Big Cliff,1192.0,1003150.0
Big Cliff,1193.0,1003246.0
Big Cliff,1194.0,1003345.0
Big Cliff,1195.0,1003447.0
Big Cliff,1196.0,1003552.0
Big Cliff,1197.0,1003659.0
Big Cliff,1198.0,1003768.0
Big Cliff,1199.0,1003881.0
Big Cliff,1200.0,1003996.0
Big Cliff,1201.0,1004114.0
Big Cliff,1202.0,1004234.0
Big Cliff,1203.0,1004356.0
Big Cliff,1204.0,1004481.0
Big Cliff,1205.0,1004608.0
Big Cliff,1206.0,1004738.0
Big Cliff,1207.0,1004870.0
Big Cliff,1208.0,1005004.0
Big Cliff,1209.0,1005141.0
Big Cliff,1210.0,1005280.0
Detroit,1200.0,6.0
Detroit,1201.0,11.0
Detroit,1202.0,17.0
Detroit,1203.0,23.0
Detroit,1204.0,29.0
Detroit,1205.0,36.0
Detroit,1206.0,43.0
Detroit,1207.0,51.0
Detroit,1208.0,59.0
Detroit,1209.0,67.0
Detroit,1210.0,77.0
Detroit,1211.0,86.0
Detroit,1212.0,96.0
Detroit,1213.0,107.0
Detroit,1214.0,118.0
Detroit,1215.0,130.0
Detroit,1216.0,142.0
Detroit,1217.0,155.0
Detroit,1218.0,168.0
Detroit,1219.0,182.0
Detroit,1220.0,197.0
Detroit,1221.0,212.0
Detroit,1222.0,229.0
Detroit,1223.0,246.0
Detroit,1224.0,264.0
Detroit,1225.0,284.0
Detroit,1226.0,304.0
Detroit,1227.0,325.0
Detroit,1228.0,348.0
Detroit,1229.0,371.0
Detroit,1230.0,396.0
Detroit,1231.0,422.0
Detroit,1232.0,449.0
Detroit,1233.0,477.0
Detroit,1234.0,506.0
Detroit,1235.0,537.0
Detroit,1236.0,569.0
Detroit,1237.0,602.0
Detroit,1238.0,637.0
Detroit,1239.0,673.0
Detroit,1240.0,710.0
Detroit,1241.0,749.0
Detroit,1242.0,790.0
Detroit,1243.0,834.0
Detroit,1244.0,880.0
Detroit,1245.0,929.0
Detroit,1246.0,980.0
Detroit,1247.0,1034.0
Detroit,1248.0,1090.0
Detroit,1249.0,1149.0
Detroit,1250.0,1211.0
Detroit,1251.0,1276.0
Detroit,1252.0,1343.0
Detroit,1253.0,1414.0
Detroit,1254.0,1488.0
Detroit,1255.0,1564.0
Detroit,1256.0,1644.0
Detroit,1257.0,1727.0
Detroit,1258.0,1814.0
Detroit,1259.0,1904.0
Detroit,1260.0,1997.0
Detroit,1261.0,2094.0
Detroit,1262.0,2196.0
Detroit,1263.0,2303.0
Detroit,1264.0,2414.0
Detroit,1265.0,2530.0
Detroit,1266.0,2652.0
Detroit,1267.0,2778.0
Detroit,1268.0,2910.0
Detroit,1269.0,3047.0
Detroit,1270.0,3189.0
Detroit,1271.0,3337.0
Detroit,1272.0,3491.0
Detroit,1273.0,3650.0
Detroit,1274.0,3815.0
Detroit,1275.0,3987.0
Detroit,1276.0,4164.0
Detroit,1277.0,4347.0
Detroit,1278.0,4537.0
Detroit,1279.0,4733.0
Detroit,1280.0,4936.0
Detroit,1281.0,5145.0
Detroit,1282.0,5360.0
Detroit,1283.0,5581.0
Detroit,1284.0,5808.0
Detroit,1285.0,6041.0
Detroit,1286.0,6281.0
Detroit,1287.0,6527.0
Detroit,1288.0,6779.0
Detroit,1289.0,7038.0
Detroit,1290.0,7303.0
Detroit,1291.0,7576.0
Detroit,1292.0,7855.0
Detroit,1293.0,8141.0
Detroit,1294.0,8433.0
Detroit,1295.0,8733.0
Detroit,1296.0,9040.0
Detroit,1297.0,9354.0
Detroit,1298.0,9676.0
Detroit,1299.0,10000.0
Detroit,1300.0,10350.0
Detroit,1301.0,10700.0
Detroit,1302.0,11000.0
Detroit,1303.0,11400.0
Detroit,1304.0,11800.0
Detroit,1305.0,12100.0
Detroit,1306.0,12500.0
Detroit,1307.0,12900.0
Detroit,1308.0,13300.0
Detroit,1309.0,13700.0
Detroit,1310.0,14100.0
Detroit,1311.0,14500.0
Detroit,1312.0,14900.0
Detroit,1313.0,15300.0
Detroit,1314.0,15700.0
Detroit,1315.0,16200.0
Detroit,1316.0,16600.0
Detroit,1317.0,17100.0
Detroit,1318.0,17500.0
Detroit,1319.0,18000.0
Detroit,1320.0,18500.0
Detroit,1321.0,19000.0
Detroit,1322.0,19400.0
Detroit,1323.0,19900.0
Detroit,1324.0,20400.0
Detroit,1325.0,20900.0
Detroit,1326.0,21400.0
Detroit,1327.0,22000.0
Detroit,1328.0,22500.0
Detroit,1329.0,23000.0
Detroit,1330.0,23500.0
Detroit,1331.0,24100.0
Detroit,1332.0,24600.0
Detroit,1333.0,25200.0
Detroit,1334.0,25700.0
Detroit,1335.0,26300.0
Detroit,1336.0,26900.0
Detroit,1337.0,27500.0
Detroit,1338.0,28000.0
Detroit,1339.0,28600.0
Detroit,1340.0,29200.0
Detroit,1341.0,29800.0
Detroit,1342.0,30500.0
Detroit,1343.0,31100.0
Detroit,1344.0,31700.0
Detroit,1345.0,32400.0
Detroit,1346.0,33000.0
Detroit,1347.0,33700.0
Detroit,1348.0,34400.0
Detroit,1349.0,35100.0
Detroit,1350.0,35800.0
Detroit,1351.0,36500.0
Detroit,1352.0,37200.0
Detroit,1353.0,38000.0
Detroit,1354.0,38700.0
Detroit,1355.0,39500.0
Detroit,1356.0,40300.0
Detroit,1357.0,41000.0
Detroit,1358.0,41800.0
Detroit,1359.0,42600.0
Detroit,1360.0,43500.0
Detroit,1361.0,44300.0
Detroit,1362.0,45100.0
Detroit,1363.0,46000.0
Detroit,1364.0,46800.0
Detroit,1365.0,47700.0
Detroit,1366.0,48600.0
Detroit,1367.0,49400.0
Detroit,1368.0,50300.0
Detroit,1369.0,51200.0
Detroit,1370.0,52100.0
Detroit,1371.0,53000.0
Detroit,1372.0,53900.0
Detroit,1373.0,54900.0
Detroit,1374.0,55800.0
Detroit,1375.0,56700.0
Detroit,1376.0,57700.0
Detroit,1377.0,58600.0
Detroit,1378.0,59600.0
Detroit,1379.0,60600.0
Detroit,1380.0,61500.0
Detroit,1381.0,62500.0
Detroit,1382.0,63500.0
Detroit,1383.0,64500.0
Detroit,1384.0,65500.0
Detroit,1385.0,66600.0
Detroit,1386.0,67600.0
Detroit,1387.0,68600.0
Detroit,1388.0,69700.0
Detroit,1389.0,70700.0
Detroit,1390.0,71800.0
Detroit,1391.0,72900.0
Detroit,1392.0,74000.0
Detroit,1393.0,75000.0
Detroit,1394.0,76100.0
Detroit,1395.0,77300.0
Detroit,1396.0,78400.0
Detroit,1397.0,79500.0
Detroit,1398.0,80600.0
Detroit,1399.0,81800.0
Detroit,1400.0,82900.0
Detroit,1401.0,84100.0
Detroit,1402.0,85300.0
Detroit,1403.0,86400.0
Detroit,1404.0,87600.0
Detroit,1405.0,88800.0
Detroit,1406.0,90100.0
Detroit,1407.0,91300.0
Detroit,1408.0,92500.0
Detroit,1409.0,93700.0
Detroit,1410.0,95000.0
Detroit,1411.0,96200.0
Detroit,1412.0,97500.0
Detroit,1413.0,98800.0
Detroit,1414.0,100100.0
Detroit,1415.0,101400.0
Detroit,1416.0,102700.0
Detroit,1417.0,104000.0
Detroit,1418.0,105300.0
Detroit,1419.0,106700.0
Detroit,1420.0,108000.0
Detroit,1421.0,109400.0
Detroit,1422.0,110800.0
Detroit,1423.0,112100.0
Detroit,1424.0,113500.0
Detroit,1425.0,115000.0
Detroit,1426.0,116400.0
Detroit,1427.0,117800.0
Detroit,1428.0,119300.0
Detroit,1429.0,120700.0
Detroit,1430.0,122200.0
Detroit,1431.0,123700.0
Detroit,1432.0,125200.0
Detroit,1433.0,126700.0
Detroit,1434.0,128200.0
Detroit,1435.0,129800.0
Detroit,1436.0,131300.0
Detroit,1437.0,132900.0
Detroit,1438.0,134500.0
Detroit,1439.0,136100.0
Detroit,1440.0,137700.0
Detroit,1441.0,139300.0
Detroit,1442.0,140900.0
Detroit,1443.0,142600.0
Detroit,1444.0,144200.0
Detroit,1445.0,145900.0
Detroit,1446.0,147600.0
Detroit,1447.0,149300.0
Detroit,1448.0,151000.0
Detroit,1449.0,152700.0
Detroit,1450.0,154400.0
Detroit,1451.0,156100.0
Detroit,1452.0,157900.0
Detroit,1453.0,159600.0
Detroit,1454.0,161400.0
Detroit,1455.0,163200.0
Detroit,1456.0,164900.0
Detroit,1457.0,166800.0
Detroit,1458.0,168600.0
Detroit,1459.0,170400.0
Detroit,1460.0,172200.0
Detroit,1461.0,174100.0
Detroit,1462.0,175900.0
Detroit,1463.0,177800.0
Detroit,1464.0,179700.0
Detroit,1465.0,181600.0
Detroit,1466.0,183400.0
Detroit,1467.0,185300.0
Detroit,1468.0,187300.0
Detroit,1469.0,189200.0
Detroit,1470.0,191100.0
Detroit,1471.0,193000.0
Detroit,1472.0,195000.0
Detroit,1473.0,197000.0
Detroit,1474.0,198900.0
Detroit,1475.0,200900.0
Detroit,1476.0,202900.0
Detroit,1477.0,204900.0
Detroit,1478.0,206900.0
Detroit,1479.0,208900.0
Detroit,1480.0,210900.0
Detroit,1481.0,213000.0
Detroit,1482.0,215000.0
Detroit,1483.0,217100.0
Detroit,1484.0,219200.0
Detroit,1485.0,221300.0
Detroit,1486.0,223400.0
Detroit,1487.0,225500.0
Detroit,1488.0,227700.0
Detroit,1489.0,229800.0
Detroit,1490.0,232000.0
Detroit,1491.0,234200.0
Detroit,1492.0,236400.0
Detroit,1493.0,238600.0
Detroit,1494.0,240800.0
Detroit,1495.0,243100.0
Detroit,1496.0,245400.0
Detroit,1497.0,247700.0
Detroit,1498.0,249900.0
Detroit,1499.0,252300.0
Detroit,1500.0,254600.0
Detroit,1501.0,256900.0
Detroit,1502.0,259300.0
Detroit,1503.0,261700.0
Detroit,1504.0,264100.0
Detroit,1505.0,266500.0
Detroit,1506.0,268900.0
Detroit,1507.0,271300.0
Detroit,1508.0,273800.0
Detroit,1509.0,276200.0
Detroit,1510.0,278700.0
Detroit,1511.0,281200.0
Detroit,1512.0,283700.0
Detroit,1513.0,286300.0
Detroit,1514.0,288800.0
Detroit,1515.0,291300.0
Detroit,1516.0,293900.0
Detroit,1517.0,296500.0
Detroit,1518.0,299100.0
Detroit,1519.0,301700.0
Detroit,1520.0,304400.0
Detroit,1521.0,307000.0
Detroit,1522.0,309700.0
Detroit,1523.0,312400.0
Detroit,1524.0,315100.0
Detroit,1525.0,317800.0
Detroit,1526.0,320500.0
Detroit,1527.0,323200.0
Detroit,1528.0,326000.0
Detroit,1529.0,328800.0
Detroit,1530.0,331500.0
Detroit,1531.0,334300.0
Detroit,1532.0,337200.0
Detroit,1533.0,340000.0
Detroit,1534.0,342800.0
Detroit,1535.0,345700.0
Detroit,1536.0,348600.0
Detroit,1537.0,351500.0
Detroit,1538.0,354400.0
Detroit,1539.0,357300.0
Detroit,1540.0,360200.0
Detroit,1541.0,363200.0
Detroit,1542.0,366200.0
Detroit,1543.0,369200.0
Detroit,1544.0,372200.0
Detroit,1545.0,375300.0
Detroit,1546.0,378400.0
Detroit,1547.0,381500.0
Detroit,1548.0,384600.0
Detroit,1549.0,387700.0
Detroit,1550.0,390900.0
Detroit,1551.0,394100.0
Detroit,1552.0,397300.0
Detroit,1553.0,400600.0
Detroit,1554.0,403800.0
Detroit,1555.0,407100.0
Detroit,1556.0,410400.0
Detroit,1557.0,413800.0
Detroit,1558.0,417200.0
Detroit,1559.0,420500.0
Detroit,1560.0,424000.0
Detroit,1561.0,427400.0
Detroit,1562.0,430800.0
Detroit,1563.0,434300.0
Detroit,1564.0,437700.0
Detroit,1565.0,441200.0
Detroit,1566.0,444700.0
Detroit,1567.0,448100.0
Detroit,1568.0,451600.0
Detroit,1569.0,455100.0
Detroit,1570.0,458600.0
Detroit,1571.0,462100.0
Detroit,1572.0,465600.0
Detroit,1573.0,469100.0
Detroit,1574.0,472600.0
Detroit,1575.0,476200.0
Detroit,1580.0,492000.0
Foster,526.5,0.0
Foster,530.0,16.0
Foster,531.0,27.0
Foster,532.0,41.0
Foster,533.0,59.0
Foster,534.0,80.0
Foster,535.0,104.0
Foster,536.0,133.0
Foster,537.0,166.0
Foster,538.0,204.0
Foster,539.0,247.0
Foster,540.0,295.0
Foster,541.0,348.0
Foster,542.0,406.0
Foster,543.0,470.0
Foster,544.0,538.0
Foster,545.0,611.0
Foster,546.0,691.0
Foster,547.0,776.0
Foster,548.0,867.0
Foster,549.0,964.0
Foster,550.0,1068.0
Foster,551.0,1178.0
Foster,552.0,1293.0
Foster,553.0,1415.0
Foster,554.0,1542.0
Foster,555.0,1676.0
Foster,556.0,1816.0
Foster,557.0,1962.0
Foster,558.0,2115.0
Foster,559.0,2274.0
Foster,560.0,2441.0
Foster,561.0,2616.0
Foster,562.0,2800.0
Foster,563.0,2995.0
Foster,564.0,3200.0
Foster,565.0,3416.0
Foster,566.0,3642.0
Foster,567.0,3880.0
Foster,568.0,4129.0
Foster,569.0,4390.0
Foster,570.0,4663.0
Foster,571.0,4949.0
Foster,572.0,5248.0
Foster,573.0,5561.0
Foster,574.0,5889.0
Foster,575.0,6231.0
Foster,576.0,6588.0
Foster,577.0,6961.0
Foster,578.0,7348.0
Foster,579.0,7752.0
Foster,580.0,8172.0
Foster,581.0,8609.0
Foster,582.0,9064.0
Foster,583.0,9537.0
Foster,584.0,10000.0
Foster,585.0,10500.0
Foster,586.0,11100.0
Foster,587.0,11600.0
Foster,588.0,12200.0
Foster,589.0,12800.0
Foster,590.0,13400.0
Foster,591.0,14000.0
Foster,592.0,14700.0
Foster,593.0,15300.0
Foster,594.0,16000.0
Foster,595.0,16700.0
Foster,596.0,17400.0
Foster,597.0,18100.0
Foster,598.0,18800.0
Foster,599.0,19600.0
Foster,600.0,20300.0
Foster,601.0,21100.0
Foster,602.0,21800.0
Foster,603.0,22600.0
Foster,604.0,23400.0
Foster,605.0,24200.0
Foster,606.0,25100.0
Foster,607.0,25900.0
Foster,608.0,26700.0
Foster,609.0,27600.0
Foster,610.0,28400.0
Foster,611.0,29300.0
Foster,612.0,30200.0
Foster,613.0,31100.0
Foster,614.0,32000.0
Foster,615.0,32900.0
Foster,616.0,33800.0
Foster,617.0,34700.0
Foster,618.0,35700.0
Foster,619.0,36600.0
Foster,620.0,37600.0
Foster,621.0,38500.0
Foster,622.0,39500.0
Foster,623.0,40500.0
Foster,624.0,41500.0
Foster,625.0,42600.0
Foster,626.0,43600.0
Foster,627.0,44600.0
Foster,628.0,45700.0
Foster,629.0,46800.0
Foster,630.0,47900.0
Foster,631.0,49000.0
Foster,632.0,50100.0
Foster,633.0,51200.0
Foster,634.0,52400.0
Foster,635.0,53500.0
Foster,636.0,54700.0
Foster,637.0,55900.0
Foster,638.0,57100.0
Foster,639.0,58300.0
Foster,640.0,59500.0
Foster,641.0,60800.0
Foster,642.0,62100.0
Foster,643.0,63400.0
Foster,644.0,64700.0
Foster,645.0,66000.0
Foster,646.0,67400.0
Foster,647.0,68800.0
Foster,648.0,70200.0
Foster,649.0,71600.0
Foster,650.0,73100.0
Green Peter,700.0,0.0
Green Peter,701.0,25.0
Green Peter,702.0,50.0
Green Peter,703.0,75.0
