"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
14777,2022-05-14,"5/14/2022",2022,1355.55,"Blue River",2022.45499657769
15528,2024-06-03,"6/3/2024",2024,1354.88,"Blue River",2024.50821355236
15153,2023-05-25,"5/25/2023",2023,1353.84,"Blue River",2023.48511293635
3077,1990-04-29,"4/29/1990",1990,1353.2,"Blue River",1990.41273100616
4603,1994-07-03,"7/3/1994",1994,1352.7,"Blue River",1994.59154688569
5325,1996-06-24,"6/24/1996",1996,1352.5,"Blue River",1996.56570841889
7509,2002-06-17,"6/17/2002",2002,1352.4,"Blue River",2002.54654346338
7847,2003-05-21,"5/21/2003",2003,1352.3,"Blue River",2003.4741615332
5682,1997-06-16,"6/16/1997",1997,1352,"Blue River",1997.54380561259
925,1984-06-07,"6/7/1984",1984,1351.8,"Blue River",1984.51916495551
182,1982-05-26,"5/26/1982",1982,1351.7,"Blue River",1982.48785078713
4926,1995-05-22,"5/22/1995",1995,1351.6,"Blue River",1995.47689938398
8226,2004-06-03,"6/3/2004",2004,1351.6,"Blue River",2004.50821355236
8598,2005-06-10,"6/10/2005",2005,1351.6,"Blue River",2005.52737850787
10419,2010-06-05,"6/5/2010",2010,1351.2,"Blue River",2010.51368925394
3462,1991-05-19,"5/19/1991",1991,1350.9,"Blue River",1991.46868583162
4206,1993-06-01,"6/1/1993",1993,1350.8,"Blue River",1993.50273785079
2738,1989-05-25,"5/25/1989",1989,1350.7,"Blue River",1989.48511293635
537,1983-05-16,"5/16/1983",1983,1350.6,"Blue River",1983.46047227926
1667,1986-06-19,"6/19/1986",1986,1350.6,"Blue River",1986.55201916496
2380,1988-06-01,"6/1/1988",1988,1350.6,"Blue River",1988.50273785079
6058,1998-06-27,"6/27/1998",1998,1350.6,"Blue River",1998.57392197125
11858,2014-05-14,"5/14/2014",2014,1350.5,"Blue River",2014.45499657769
1269,1985-05-17,"5/17/1985",1985,1350.3,"Blue River",1985.46321013005
6421,1999-06-25,"6/25/1999",1999,1350.3,"Blue River",1999.56844626968
12958,2017-05-18,"5/18/2017",2017,1350.3,"Blue River",2017.46594798084
8973,2006-06-20,"6/20/2006",2006,1350.2,"Blue River",2006.55475701574
14064,2020-05-28,"5/28/2020",2020,1350.2,"Blue River",2020.49332648871
13649,2019-04-09,"4/9/2019",2019,1350.1,"Blue River",2019.35797399042
9732,2008-07-18,"7/18/2008",2008,1350,"Blue River",2008.6326146475
11128,2012-05-14,"5/14/2012",2012,1349.9,"Blue River",2012.45499657769
10836,2011-07-27,"7/27/2011",2011,1349.8,"Blue River",2011.65725530459
10051,2009-06-02,"6/2/2009",2009,1349.7,"Blue River",2009.50547570157
13318,2018-05-13,"5/13/2018",2018,1349.6,"Blue River",2018.4522587269
11520,2013-06-10,"6/10/2013",2013,1349.5,"Blue River",2013.52737850787
3837,1992-05-28,"5/28/1992",1992,1349.3,"Blue River",1992.49332648871
9301,2007-05-14,"5/14/2007",2007,1347.7,"Blue River",2007.45499657769
15917,2025-06-27,"6/27/2025",2025,1346.21,"Blue River",2025.57392197125
12581,2016-05-06,"5/6/2016",2016,1345.1,"Blue River",2016.43309377139
2021,1987-06-08,"6/8/1987",1987,1342,"Blue River",1987.5219028063
14430,2021-05-29,"5/29/2021",2021,1336.5,"Blue River",2021.49606433949
6805,2000-07-13,"7/13/2000",2000,1333.9,"Blue River",2000.61892539357
6885,2000-10-01,"10/1/2000",2001,1309.1,"Blue River",2000.83607118412
12216,2015-05-07,"5/7/2015",2015,1308.4,"Blue River",2015.43583162218
