"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
15382,2022-06-12,"6/12/2022",2022,834.68,"Fall Creek",2022.53285420945
14223,2019-04-09,"4/9/2019",2019,833.57,"Fall Creek",2019.35797399042
4036,1991-05-19,"5/19/1991",1991,832.86,"Fall Creek",1991.46868583162
419,1981-06-23,"6/23/1981",1981,832.09,"Fall Creek",1981.5629705681
1501,1984-06-09,"6/9/1984",1984,831.94,"Fall Creek",1984.52464065708
6274,1997-07-04,"7/4/1997",1997,831.64,"Fall Creek",1997.59428473648
3403,1989-08-24,"8/24/1989",1989,831.57,"Fall Creek",1989.73237508556
8799,2004-06-02,"6/2/2004",2004,831.56,"Fall Creek",2004.50547570157
57,1980-06-26,"6/26/1980",1980,831.45,"Fall Creek",1980.57118412047
3651,1990-04-29,"4/29/1990",1990,831.38,"Fall Creek",1990.41273100616
1159,1983-07-03,"7/3/1983",1983,831.35,"Fall Creek",1983.59154688569
4781,1993-06-02,"6/2/1993",1993,831.26,"Fall Creek",1993.50547570157
7317,2000-05-12,"5/12/2000",2000,831.13,"Fall Creek",2000.44952087611
9143,2005-05-12,"5/12/2005",2005,831.07,"Fall Creek",2005.44952087611
5886,1996-06-11,"6/11/1996",1996,830.98,"Fall Creek",1996.53011635866
13531,2017-05-17,"5/17/2017",2017,830.96,"Fall Creek",2017.46321013005
14664,2020-06-23,"6/23/2020",2020,830.92,"Fall Creek",2020.5629705681
6604,1998-05-30,"5/30/1998",1998,830.9,"Fall Creek",1998.49880219028
5160,1994-06-16,"6/16/1994",1994,830.76,"Fall Creek",1994.54380561259
5524,1995-06-15,"6/15/1995",1995,830.66,"Fall Creek",1995.54106776181
2955,1988-06-02,"6/2/1988",1988,830.63,"Fall Creek",1988.50547570157
8423,2003-05-23,"5/23/2003",2003,830.57,"Fall Creek",2003.47963723477
9530,2006-06-03,"6/3/2006",2006,830.5,"Fall Creek",2006.50821355236
6952,1999-05-13,"5/13/1999",1999,830.49,"Fall Creek",1999.4522587269
7746,2001-07-15,"7/15/2001",2001,830.45,"Fall Creek",2001.62440109514
1865,1985-06-08,"6/8/1985",1985,830.3,"Fall Creek",1985.5219028063
11403,2011-07-20,"7/20/2011",2011,830.23,"Fall Creek",2011.63809034908
10991,2010-06-03,"6/3/2010",2010,830.22,"Fall Creek",2010.50821355236
2213,1986-05-22,"5/22/1986",1986,830.2,"Fall Creek",1986.47689938398
11713,2012-05-25,"5/25/2012",2012,830.17,"Fall Creek",2012.48511293635
12429,2014-05-11,"5/11/2014",2014,829.99,"Fall Creek",2014.44678302533
10262,2008-06-04,"6/4/2008",2008,829.95,"Fall Creek",2008.51095140315
12084,2013-05-31,"5/31/2013",2013,829.91,"Fall Creek",2013.50154004107
805,1982-07-14,"7/14/1982",1982,829.9,"Fall Creek",1982.62166324435
10628,2009-06-05,"6/5/2009",2009,829.62,"Fall Creek",2009.51368925394
8066,2002-05-31,"5/31/2002",2002,827.68,"Fall Creek",2002.50154004107
16398,2025-03-24,"3/24/2025",2025,826.94,"Fall Creek",2025.31570841889
2672,1987-08-24,"8/24/1987",1987,826.83,"Fall Creek",1987.73237508556
13890,2018-05-11,"5/11/2018",2018,826.8,"Fall Creek",2018.44678302533
16110,2024-06-09,"6/9/2024",2024,825.53,"Fall Creek",2024.52464065708
9858,2007-04-27,"4/27/2007",2007,824.75,"Fall Creek",2007.40725530459
13160,2016-05-11,"5/11/2016",2016,824.35,"Fall Creek",2016.44678302533
4408,1992-05-25,"5/25/1992",1992,819.69,"Fall Creek",1992.48511293635
14956,2021-04-11,"4/11/2021",2021,809.99,"Fall Creek",2021.36344969199
12819,2015-06-05,"6/5/2015",2015,804.97,"Fall Creek",2015.51368925394
15493,2022-10-01,"10/1/2022",2023,786.3,"Fall Creek",2022.83607118412
