"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
19153,2023-05-23,"5/23/2023",2023,641.77,"Foster",2023.47963723477
19531,2024-06-04,"6/4/2024",2024,641.1,"Foster",2024.51095140315
18808,2022-06-12,"6/12/2022",2022,640.95,"Foster",2022.53285420945
19907,2025-06-15,"6/15/2025",2025,640.66,"Foster",2025.54106776181
7076,1990-04-29,"4/29/1990",1990,639.95,"Foster",1990.41273100616
17648,2019-04-09,"4/9/2019",2019,639.34,"Foster",2019.35797399042
1381,1974-09-25,"9/25/1974",1974,638.95,"Foster",1974.81844626968
9298,1996-05-29,"5/29/1996",1996,638.86,"Foster",1996.49606433949
3830,1981-06-09,"6/9/1981",1981,638.37,"Foster",1981.52464065708
5765,1986-09-26,"9/26/1986",1986,638.24,"Foster",1986.82118412047
5290,1985-06-08,"6/8/1985",1985,638.19,"Foster",1985.5219028063
13672,2008-05-20,"5/20/2008",2008,638.08,"Foster",2008.47142368241
11935,2003-08-18,"8/18/2003",2003,638.05,"Foster",2003.71594798084
2469,1977-09-17,"9/17/1977",1977,638.01,"Foster",1977.79654346338
6062,1987-07-20,"7/20/1987",1987,638,"Foster",1987.63809034908
7610,1991-10-15,"10/15/1991",1992,637.91,"Foster",1991.87440109514
8997,1995-08-02,"8/2/1995",1995,637.86,"Foster",1995.67214236824
14476,2010-08-02,"8/2/2010",2010,637.86,"Foster",2010.67214236824
7497,1991-06-24,"6/24/1991",1991,637.85,"Foster",1991.56570841889
6861,1989-09-26,"9/26/1989",1989,637.84,"Foster",1989.82118412047
8256,1993-07-22,"7/22/1993",1993,637.83,"Foster",1993.64356605065
1020,1973-09-29,"9/29/1973",1973,637.8,"Foster",1973.82939767283
2074,1976-08-18,"8/18/1976",1976,637.8,"Foster",1976.71594798084
9751,1997-08-25,"8/25/1997",1997,637.77,"Foster",1997.73511293635
9797,1997-10-10,"10/10/1997",1998,637.77,"Foster",1997.8607118412
8576,1994-06-07,"6/7/1994",1994,637.71,"Foster",1994.51916495551
12950,2006-05-29,"5/29/2006",2006,637.69,"Foster",2006.49606433949
12232,2004-06-10,"6/10/2004",2004,637.66,"Foster",2004.52737850787
11246,2001-09-28,"9/28/2001",2001,637.65,"Foster",2001.82665982204
10473,1999-08-17,"8/17/1999",1999,637.61,"Foster",1999.71321013005
1723,1975-09-02,"9/2/1975",1975,637.6,"Foster",1975.75547570157
3944,1981-10-01,"10/1/1981",1982,637.6,"Foster",1981.83607118412
4924,1984-06-07,"6/7/1984",1984,637.59,"Foster",1984.51916495551
6500,1988-09-30,"9/30/1988",1988,637.58,"Foster",1988.83213552361
3131,1979-07-11,"7/11/1979",1979,637.57,"Foster",1979.61344969199
11249,2001-10-01,"10/1/2001",2002,637.57,"Foster",2001.83607118412
498,1972-04-25,"4/25/1972",1972,637.54,"Foster",1972.40177960301
2836,1978-09-19,"9/19/1978",1978,637.53,"Foster",1978.80201916496
12615,2005-06-28,"6/28/2005",2005,637.52,"Foster",2005.57665982204
13311,2007-05-25,"5/25/2007",2007,637.51,"Foster",2007.48511293635
4642,1983-08-30,"8/30/1983",1983,637.49,"Foster",1983.74880219028
3536,1980-08-19,"8/19/1980",1980,637.47,"Foster",1980.71868583162
14052,2009-06-04,"6/4/2009",2009,637.42,"Foster",2009.51095140315
10772,2000-06-11,"6/11/2000",2000,637.26,"Foster",2000.53011635866
194,1971-06-26,"6/26/1971",1971,637.12,"Foster",1971.57118412047
18082,2020-06-16,"6/16/2020",2020,636.84,"Foster",2020.54380561259
14873,2011-09-03,"9/3/2011",2011,636.81,"Foster",2011.75821355236
18418,2021-05-18,"5/18/2021",2021,636.73,"Foster",2021.46594798084
15138,2012-05-25,"5/25/2012",2012,636.7,"Foster",2012.48511293635
15853,2014-05-10,"5/10/2014",2014,636.58,"Foster",2014.44404517454
17082,2017-09-20,"9/20/2017",2017,636.26,"Foster",2017.80475701574
15267,2012-10-01,"10/1/2012",2013,636.21,"Foster",2012.83607118412
16312,2015-08-12,"8/12/2015",2015,636.16,"Foster",2015.69952087611
16574,2016-04-30,"4/30/2016",2016,635.82,"Foster",2016.41546885695
17433,2018-09-06,"9/6/2018",2018,635.71,"Foster",2018.76642710472
