"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
19360,2022-05-14,"5/14/2022",2022,1015.91,"Green Peter",2022.45499657769
18229,2019-04-09,"4/9/2019",2019,1013.6,"Green Peter",2019.35797399042
10599,1998-05-19,"5/19/1998",1998,1012.9,"Green Peter",1998.46868583162
18667,2020-06-20,"6/20/2020",2020,1012.7,"Green Peter",2020.55475701574
8776,1993-05-22,"5/22/1993",1993,1012.2,"Green Peter",1993.47689938398
19727,2023-05-16,"5/16/2023",2023,1011.74,"Green Peter",2023.46047227926
44,1969-06-25,"6/25/1969",1969,1011.5,"Green Peter",1969.56844626968
9505,1995-05-21,"5/21/1995",1995,1011.5,"Green Peter",1995.4741615332
9845,1996-04-25,"4/25/1996",1996,1011.5,"Green Peter",1996.40177960301
17539,2017-05-19,"5/19/2017",2017,1011.5,"Green Peter",2017.46868583162
8041,1991-05-18,"5/18/1991",1991,1011.2,"Green Peter",1991.46594798084
9165,1994-06-15,"6/15/1994",1994,1011.1,"Green Peter",1994.54106776181
12421,2003-05-15,"5/15/2003",2003,1010.9,"Green Peter",2003.45773442847
10287,1997-07-11,"7/11/1997",1997,1010.8,"Green Peter",1997.61344969199
16445,2014-05-21,"5/21/2014",2014,1010.6,"Green Peter",2014.4741615332
382,1970-05-29,"5/29/1970",1970,1010.5,"Green Peter",1970.49606433949
1148,1972-07-03,"7/3/1972",1972,1010.5,"Green Peter",1972.59154688569
11362,2000-06-20,"6/20/2000",2000,1010.5,"Green Peter",2000.55475701574
12026,2002-04-15,"4/15/2002",2002,1010.5,"Green Peter",2002.37440109514
771,1971-06-22,"6/22/1971",1971,1010.3,"Green Peter",1971.56023271732
11002,1999-06-26,"6/26/1999",1999,1010.3,"Green Peter",1999.57118412047
14616,2009-05-18,"5/18/2009",2009,1010.2,"Green Peter",2009.46594798084
13160,2005-05-23,"5/23/2005",2005,1010.1,"Green Peter",2005.47963723477
15341,2011-05-13,"5/13/2011",2011,1010,"Green Peter",2011.4522587269
15699,2012-05-05,"5/5/2012",2012,1009.9,"Green Peter",2012.4303559206
17885,2018-04-30,"4/30/2018",2018,1009.6,"Green Peter",2018.41546885695
14999,2010-06-05,"6/5/2010",2010,1009.5,"Green Peter",2010.51368925394
14297,2008-07-03,"7/3/2008",2008,1009.1,"Green Peter",2008.59154688569
8391,1992-05-02,"5/2/1992",1992,1008.6,"Green Peter",1992.42214236824
13495,2006-04-23,"4/23/2006",2006,1008,"Green Peter",2006.39630390144
6134,1986-02-26,"2/26/1986",1986,1007,"Green Peter",1986.23785078713
16096,2013-06-06,"6/6/2013",2013,1006.8,"Green Peter",2013.51642710472
1479,1973-05-30,"5/30/1973",1973,1006.7,"Green Peter",1973.49880219028
20112,2024-06-06,"6/6/2024",2024,1005.65,"Green Peter",2024.51642710472
4669,1982-02-22,"2/22/1982",1982,1004.2,"Green Peter",1982.22689938398
7656,1990-04-28,"4/28/1990",1990,1001.4,"Green Peter",1990.40999315537
13862,2007-04-25,"4/25/2007",2007,1001.3,"Green Peter",2007.40177960301
2220,1975-06-10,"6/10/1975",1975,1001.2,"Green Peter",1975.52737850787
2585,1976-06-09,"6/9/1976",1976,1001.2,"Green Peter",1976.52464065708
2945,1977-06-04,"6/4/1977",1977,1001.2,"Green Peter",1977.51095140315
4411,1981-06-09,"6/9/1981",1981,1001.2,"Green Peter",1981.52464065708
5153,1983-06-21,"6/21/1983",1983,1001.2,"Green Peter",1983.55749486653
6935,1988-05-07,"5/7/1988",1988,1001.2,"Green Peter",1988.43583162218
4043,1980-06-06,"6/6/1980",1980,1001.1,"Green Peter",1980.51642710472
5505,1984-06-07,"6/7/1984",1984,1001.1,"Green Peter",1984.51916495551
5871,1985-06-08,"6/8/1985",1985,1001.1,"Green Peter",1985.5219028063
7332,1989-06-08,"6/8/1989",1989,1001.1,"Green Peter",1989.5219028063
1842,1974-05-28,"5/28/1974",1974,1001,"Green Peter",1974.49332648871
3323,1978-06-17,"6/17/1978",1978,1001,"Green Peter",1978.54654346338
3653,1979-05-13,"5/13/1979",1979,1001,"Green Peter",1979.4522587269
20422,2025-04-12,"4/12/2025",2025,1000.57,"Green Peter",2025.36618754278
6572,1987-05-10,"5/10/1987",1987,1000.3,"Green Peter",1987.44404517454
17146,2016-04-21,"4/21/2016",2016,998.6,"Green Peter",2016.39082819986
18990,2021-05-09,"5/9/2021",2021,993.7,"Green Peter",2021.44130732375
11694,2001-05-18,"5/18/2001",2001,993.5,"Green Peter",2001.46594798084
12742,2004-03-31,"3/31/2004",2004,993.1,"Green Peter",2004.3348733744
16787,2015-04-28,"4/28/2015",2015,984.3,"Green Peter",2015.40999315537
