"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
3463,1971-06-25,"6/25/1971",1971,1546.08,"Hills Creek",1971.56844626968
190,1962-07-09,"7/9/1962",1962,1545.93,"Hills Creek",1962.60797399042
1280,1965-07-03,"7/3/1965",1965,1545.88,"Hills Creek",1965.59154688569
6001,1978-06-06,"6/6/1978",1978,1545.84,"Hills Creek",1978.51642710472
17688,2010-06-05,"6/5/2010",2010,1545.81,"Hills Creek",2010.51368925394
492,1963-05-07,"5/7/1963",1963,1545.8,"Hills Creek",1963.43583162218
12965,1997-06-30,"6/30/1997",1997,1545.8,"Hills Creek",1997.58213552361
11476,1993-06-02,"6/2/1993",1993,1545.75,"Hills Creek",1993.50547570157
13284,1998-05-15,"5/15/1998",1998,1545.75,"Hills Creek",1998.45773442847
10731,1991-05-19,"5/19/1991",1991,1545.71,"Hills Creek",1991.46868583162
15120,2003-05-25,"5/25/2003",2003,1545.67,"Hills Creek",2003.48511293635
7100,1981-06-09,"6/9/1981",1981,1545.66,"Hills Creek",1981.52464065708
9334,1987-07-22,"7/22/1987",1987,1545.65,"Hills Creek",1987.64356605065
4936,1975-07-07,"7/7/1975",1975,1545.57,"Hills Creek",1975.60249828884
6344,1979-05-15,"5/15/1979",1979,1545.5,"Hills Creek",1979.45773442847
14024,2000-05-24,"5/24/2000",2000,1545.5,"Hills Creek",2000.48237508556
12243,1995-07-09,"7/9/1995",1995,1545.44,"Hills Creek",1995.60797399042
1999,1967-06-22,"6/22/1967",1967,1545.38,"Hills Creek",1967.56023271732
9629,1988-05-12,"5/12/1988",1988,1545.37,"Hills Creek",1988.44952087611
12594,1996-06-24,"6/24/1996",1996,1545.35,"Hills Creek",1996.56570841889
10428,1990-07-20,"7/20/1990",1990,1545.34,"Hills Creek",1990.63809034908
8195,1984-06-08,"6/8/1984",1984,1545.19,"Hills Creek",1984.5219028063
3849,1972-07-15,"7/15/1972",1972,1545.15,"Hills Creek",1972.62440109514
10028,1989-06-15,"6/15/1989",1989,1545.08,"Hills Creek",1989.54106776181
19124,2014-05-11,"5/11/2014",2014,1545.08,"Hills Creek",2014.44678302533
8562,1985-06-10,"6/10/1985",1985,1545.07,"Hills Creek",1985.52737850787
2736,1969-06-28,"6/28/1969",1969,1545.04,"Hills Creek",1969.57665982204
5344,1976-08-18,"8/18/1976",1976,1545.04,"Hills Creek",1976.71594798084
924,1964-07-12,"7/12/1964",1964,1545.02,"Hills Creek",1964.61618754278
7483,1982-06-27,"6/27/1982",1982,1545.01,"Hills Creek",1982.57392197125
13733,1999-08-07,"8/7/1999",1999,1545,"Hills Creek",1999.68583162218
8907,1986-05-21,"5/21/1986",1986,1544.97,"Hills Creek",1986.4741615332
18057,2011-06-09,"6/9/2011",2011,1544.95,"Hills Creek",2011.52464065708
6758,1980-07-02,"7/2/1980",1980,1544.94,"Hills Creek",1980.58880903491
16237,2006-06-15,"6/15/2006",2006,1544.88,"Hills Creek",2006.54106776181
14746,2002-05-16,"5/16/2002",2002,1544.86,"Hills Creek",2002.46047227926
20229,2017-05-24,"5/24/2017",2017,1544.86,"Hills Creek",2017.48237508556
7810,1983-05-20,"5/20/1983",1983,1544.84,"Hills Creek",1983.47142368241
18439,2012-06-25,"6/25/2012",2012,1544.78,"Hills Creek",2012.56844626968
16956,2008-06-03,"6/3/2008",2008,1544.73,"Hills Creek",2008.50821355236
4556,1974-06-22,"6/22/1974",1974,1544.7,"Hills Creek",1974.56023271732
17305,2009-05-18,"5/18/2009",2009,1544.69,"Hills Creek",2009.46594798084
15875,2005-06-18,"6/18/2005",2005,1544.51,"Hills Creek",2005.54928131417
20912,2019-04-09,"4/9/2019",2019,1543.61,"Hills Creek",2019.35797399042
1660,1966-07-18,"7/18/1966",1966,1543.55,"Hills Creek",1966.6326146475
18763,2013-05-15,"5/15/2013",2013,1541.28,"Hills Creek",2013.45773442847
15515,2004-06-23,"6/23/2004",2004,1540.35,"Hills Creek",2004.5629705681
4197,1973-06-28,"6/28/1973",1973,1539.99,"Hills Creek",1973.57665982204
23096,2025-04-01,"4/1/2025",2025,1537.55,"Hills Creek",2025.33607118412
2359,1968-06-16,"6/16/1968",1968,1537.53,"Hills Creek",1968.54380561259
22072,2022-06-12,"6/12/2022",2022,1535.18,"Hills Creek",2022.53285420945
22818,2024-06-27,"6/27/2024",2024,1534.43,"Hills Creek",2024.57392197125
3101,1970-06-28,"6/28/1970",1970,1534.38,"Hills Creek",1970.57665982204
16568,2007-05-12,"5/12/2007",2007,1532.28,"Hills Creek",2007.44952087611
21360,2020-06-30,"6/30/2020",2020,1531.49,"Hills Creek",2020.58213552361
5676,1977-07-16,"7/16/1977",1977,1531.42,"Hills Creek",1977.62713894593
11877,1994-07-08,"7/8/1994",1994,1530.7,"Hills Creek",1994.60523613963
20577,2018-05-09,"5/9/2018",2018,1530.62,"Hills Creek",2018.44130732375
19839,2016-04-25,"4/25/2016",2016,1529.89,"Hills Creek",2016.40177960301
19531,2015-06-22,"6/22/2015",2015,1528.68,"Hills Creek",2015.56023271732
14154,2000-10-01,"10/1/2000",2001,1519.93,"Hills Creek",2000.83607118412
22421,2023-05-27,"5/27/2023",2023,1518.9,"Hills Creek",2023.49058863792
10866,1991-10-01,"10/1/1991",1992,1515.45,"Hills Creek",1991.83607118412
21687,2021-05-23,"5/23/2021",2021,1513.96,"Hills Creek",2021.47963723477
