"Ordinate","DT","Date","WY","Stage_ft_NAVD88","Site","DT_decimal"
5507,1984-06-08,"6/8/1984",1984,928.69,"Lookout Point",1984.5219028063
7658,1990-04-29,"4/29/1990",1990,928.39,"Lookout Point",1990.41273100616
381,1970-05-27,"5/27/1970",1970,928.3,"Lookout Point",1970.49058863792
8789,1993-06-03,"6/3/1993",1993,928.29,"Lookout Point",1993.50821355236
5853,1985-05-20,"5/20/1985",1985,927.68,"Lookout Point",1985.47142368241
6966,1988-06-06,"6/6/1988",1988,927.67,"Lookout Point",1988.51642710472
4418,1981-06-15,"6/15/1981",1981,927.61,"Lookout Point",1981.54106776181
18233,2019-04-12,"4/12/2019",2019,927.59,"Lookout Point",2019.36618754278
10597,1998-05-16,"5/16/1998",1998,927.5,"Lookout Point",1998.46047227926
11330,2000-05-18,"5/18/2000",2000,927.5,"Lookout Point",2000.46594798084
2238,1975-06-27,"6/27/1975",1975,927.37,"Lookout Point",1975.57392197125
20093,2024-05-17,"5/17/2024",2024,927.34,"Lookout Point",2024.46321013005
9537,1995-06-21,"6/21/1995",1995,927.18,"Lookout Point",1995.55749486653
3657,1979-05-16,"5/16/1979",1979,927.11,"Lookout Point",1979.46047227926
2598,1976-06-21,"6/21/1976",1976,927.1,"Lookout Point",1976.55749486653
7330,1989-06-05,"6/5/1989",1989,927.09,"Lookout Point",1989.51368925394
49,1969-06-29,"6/29/1969",1969,927.06,"Lookout Point",1969.57939767283
4804,1982-07-06,"7/6/1982",1982,927.05,"Lookout Point",1982.59976043806
9896,1996-06-14,"6/14/1996",1996,927.02,"Lookout Point",1996.53832991102
8035,1991-05-11,"5/11/1991",1991,926.95,"Lookout Point",1991.44678302533
1878,1974-07-02,"7/2/1974",1974,926.88,"Lookout Point",1974.58880903491
5125,1983-05-23,"5/23/1983",1983,926.8,"Lookout Point",1983.47963723477
10233,1997-05-17,"5/17/1997",1997,926.8,"Lookout Point",1997.46321013005
1115,1972-05-30,"5/30/1972",1972,926.78,"Lookout Point",1972.49880219028
10963,1999-05-17,"5/17/1999",1999,926.69,"Lookout Point",1999.46321013005
6249,1986-06-20,"6/20/1986",1986,926.45,"Lookout Point",1986.55475701574
13539,2006-06-05,"6/5/2006",2006,926.38,"Lookout Point",2006.51368925394
4066,1980-06-28,"6/28/1980",1980,926.35,"Lookout Point",1980.57665982204
800,1971-07-20,"7/20/1971",1971,926.31,"Lookout Point",1971.63809034908
17538,2017-05-17,"5/17/2017",2017,926.28,"Lookout Point",2017.46321013005
14620,2009-05-21,"5/21/2009",2009,926.09,"Lookout Point",2009.4741615332
14295,2008-06-30,"6/30/2008",2008,926.03,"Lookout Point",2008.58213552361
19391,2022-06-13,"6/13/2022",2022,925.3,"Lookout Point",2022.53559206023
13202,2005-07-03,"7/3/2005",2005,922.47,"Lookout Point",2005.59154688569
12048,2002-05-06,"5/6/2002",2002,922.37,"Lookout Point",2002.43309377139
12409,2003-05-02,"5/2/2003",2003,920.67,"Lookout Point",2003.42214236824
18650,2020-06-02,"6/2/2020",2020,917.22,"Lookout Point",2020.50547570157
20442,2025-05-01,"5/1/2025",2025,915.99,"Lookout Point",2025.41940451745
16445,2014-05-20,"5/20/2014",2014,915.01,"Lookout Point",2014.47142368241
15731,2012-06-05,"6/5/2012",2012,914.99,"Lookout Point",2012.51368925394
15366,2011-06-06,"6/6/2011",2011,914.97,"Lookout Point",2011.51642710472
2966,1977-06-24,"6/24/1977",1977,913.66,"Lookout Point",1977.56570841889
13874,2007-05-06,"5/6/2007",2007,913.38,"Lookout Point",2007.43309377139
16061,2013-05-01,"5/1/2013",2013,912.16,"Lookout Point",2013.41940451745
17156,2016-04-30,"4/30/2016",2016,910.29,"Lookout Point",2016.41546885695
17897,2018-05-11,"5/11/2018",2018,905.84,"Lookout Point",2018.44678302533
12742,2004-03-30,"3/30/2004",2004,905.12,"Lookout Point",2004.33213552361
3353,1978-07-16,"7/16/1978",1978,902.09,"Lookout Point",1978.62713894593
15000,2010-06-05,"6/5/2010",2010,901.34,"Lookout Point",2010.51368925394
1488,1973-06-07,"6/7/1973",1973,899.31,"Lookout Point",1973.51916495551
9172,1994-06-21,"6/21/1994",1994,899.05,"Lookout Point",1994.55749486653
6582,1987-05-19,"5/19/1987",1987,897.23,"Lookout Point",1987.46868583162
19733,2023-05-21,"5/21/2023",2023,896.75,"Lookout Point",2023.4741615332
19023,2021-06-10,"6/10/2021",2021,893.41,"Lookout Point",2021.52737850787
8396,1992-05-06,"5/6/1992",1992,887.44,"Lookout Point",1992.43309377139
11466,2000-10-01,"10/1/2000",2001,877.66,"Lookout Point",2000.83607118412
16664,2014-12-25,"12/25/2014",2015,875.29,"Lookout Point",2015.06844626968
