simulation,nice_name,Sensitivity,TOD_Elev,AEP_TOD,TOD_OOM,OOM_Direction,Curve_Shift,desc of sensit
0b - stage_winter_paleo_best_RRFT_noPISBest_Ext,3-Day Final,Final,1709.38,2.22E-06,0.05,0.05x more frequent,Right,final
1a - stage_winter_syst_BestEstimate,3-Day Winter Syst,Record Length,1709.38,1.70E-05,-0.84,0.84x less frequent,Left,stage-frequency sensitivity of increasing record length via volume frequency curves with increased record length
1b - stage_winter_hist_BestEstimate,3-Day Winter Syst + Hist,Record Length,1709.38,1.77E-05,-0.86,0.86x less frequent,Left,stage-frequency sensitivity of increasing record length via volume frequency curves with increased record length
1c - stage_winter_paleoOnly_BestEstimate,3-Day Winter Syst + Hist + Paleo (w/PSIs),Record Length,1709.38,4.42E-05,-1.25,1.25x less frequent,Left,stage-frequency sensitivity of increasing record length via volume frequency curves with increased record length
1d - stage_winter_precip_BestEstimate,3-Day Winter Syst + Hist + PF,Record Length,1709.38,3.51E-06,-0.15,0.15x less frequent,Left,stage-frequency sensitivity of increasing record length via volume frequency curves with increased record length
1e - stage_winter_paleoOnly_noPSI,3-Day Winter Syst + Hist + Paleo (no PSIs),Record Length,1709.38,3.39E-06,-0.14,0.14x less frequent,Left,stage-frequency sensitivity of increasing record length via volume frequency curves with increased record length
2a - stage_annual_syst_BestEstimate,3-Day Annual Syst,Inflow AMS Seasonality,1709.38,7.98E-06,-0.51,0.51x less frequent,Left,stage-frequency sensitivity of all-season AMS inflow-frequency curves
2b - stage_annual_hist_BestEstimate,3-Day Annual Syst + Hist,Inflow AMS Seasonality,1709.38,3.87E-06,-0.2,0.2x less frequent,Left,stage-frequency sensitivity of all-season AMS inflow-frequency curves
3a - stage_winter_paleoNoPSIUpper_Debris_10P,10% Discharge Reduction from Debris,Discharge Capacity,1709.38,3.54E-06,-0.16,0.16x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3b- stage_winter_paleoNoPSIUpper_Debris_25P,25% Discharge Reduction from Debris,Discharge Capacity,1709.38,8.16E-06,-0.52,0.52x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3c - stage_winter_paleoNoPSIUpper_Debris_50P,50% Discharge Reduction from Debris,Discharge Capacity,1709.38,5.70E-05,-1.36,1.36x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3d - stage_winter_paleoNoPSIUpper_Debris_75P,75% Discharge Reduction from Debris,Discharge Capacity,1709.38,4.94E-04,-2.3,2.3x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3e - stage_winter_paleoNoPSIUpper_Debris_100P,100% Discharge Reduction from Debris,Discharge Capacity,1709.38,1.13E-02,-3.66,3.66x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3f - stage_winter_paleoNoPSIUpper_Debris_NoGates,No Gates Operated,Discharge Capacity,1709.38,1.24E-02,-3.7,3.7x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3g - stage_winter_paleoNoPSIUpper_DelayOps_BestEst,Delayed reservoir ops - best estimate discharge,Discharge Capacity,1709.38,7.72E-05,-1.49,1.49x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
3h - stage_winter_paleoNoPSIUpper_DelayOps_Deb_10P,Delayed reservoir ops with 10% reduction from debris,Discharge Capacity,1709.38,8.63E-05,-1.54,1.54x less frequent,Left,sensitivity due to changes in discharge capacit due to debris blockage and response time (delayed reservoir ops)
